preprocessed,original
can you recommend some artists singers whose singing style is a combination of chris cornell and of rufus wainwright,Can you recommend some artists/singers whose singing style is a combination of Chris Cornell and of Rufus Wainwright?
songs like o death shakey graves please,"Songs like ""O Death - Shakey Graves"" please?"
songs like lava glaciers | riff raff ft childish gambino | hip hop,Songs Like Lava Glaciers (Riff Raff Ft Childish Gambino) [Hip Hop]
jim croce time in a bottle or simon and garfunkel sound of silence,"Jim Croce - Time in a Bottle, or Simon and Garfunkel - Sound of Silence."
looking for dark electronic ambient albums to work to similar to clint mansell trent reznor & atticus ross,"Looking for dark electronic ambient albums to work to, similar to Clint Mansell/Trent Reznor & Atticus Ross"
similar to mdc tsol black flag ect,"Similar to MDC, TSOL, Black flag, ect"
songs similar to hunnybee by unknown mortal orchestra,"Songs similar to ""Hunnybee"" by Unknown Mortal Orchestra?"
how about some non satanic black metal,How about some non-satanic black metal?
songs like these ones plz suggest me some,Songs like these ones??? plz suggest me some!
bass boosted,Bass Boosted
electronic psychedelic pop,Electronic Psychedelic pop?
any albums similar in tone to random access memories by daft punk,Any albums similar in tone to Random Access Memories by Daft Punk?
any suggestions of music or artists like king krule,Any suggestions of music or artists like King Krule?
request | more hypnagogic downsampled chiptunes similar to this,"[Request] more hypnagogic, downsampled chiptunes similar to this."
looking for songs with a chill vibe or feel similar to these two,Looking for songs with a chill vibe or feel similar to these two
hip hop songs that would suit a villain,Hip hop songs that would suit a villain.
songs about losing someone to suicide,Songs about losing someone to suicide?
need really really sad song suggestions preferably with regretful undertones,"Need really, really sad song suggestions, preferably with regretful undertones."
give me the edgiest song ever,give me the edgiest song ever
human cannonball by disco ensemble,Human Cannonball by Disco Ensemble
rap songs like yung gravy,Rap songs like Yung Gravy
songs with descending chord progressions | suggestions,Songs with descending chord progressions. Suggestions?
can a metalhead get some help,Can a metalhead get some help? :)
anything that is similar to this | russian folk acoustic a capella,"anything that is similar to this? (Russian folk, acoustic/a capella)"
looking for artists similar to elo and the hoosiers,Looking for artists similar to ELO and The Hoosiers
another orchestral music with different variations of aaaaaaaaaa like in ezio family,"another orchestral music with different variations of ""aaaaaaaaaa"" like in Ezio family"
something similar to late kreator,Something similar to late Kreator
looking for songs with rain sounds in the background and dark depressing undertones,Looking for songs with rain sounds in the background and dark depressing undertones
songs like this with a middle eastern sound | doesnt have to be anything modern or lyric heavy,"Songs like this, with a Middle Eastern sound? Doesn't have to be anything modern or lyric-heavy."
looking for music to help me cope with the loss of my childhood pet,Looking for music to help me cope with the loss of my childhood pet
suggestions for a playlist,Suggestions for a playlist
songs with similar moods granddaughter video,Songs with similar moods - granddaughter video.
looking for vocal based more pop sounding electronic music,Looking for vocal based more pop-sounding electronic music
song like bat country by avenged sevenfold,"Song like ""Bat Country"" by Avenged Sevenfold"
rnb hip hop similar to this japanese group,RnB / Hip Hop similar to this japanese group?
looking for harsh weird sounding electronic stuff,"Looking for harsh, weird sounding electronic stuff."
what genre is this and what are some similar songs,What genre is this and what are some similar songs?
artists similar to askilz & krafty kuts,Artists similar to A.Skilz & Krafty Kuts?
im looking for music similar to the song bernadette by imax its my current favorite song and id love to find songs in a similar style,I'm looking for music similar to the song Bernadette by IMAX it's my current favorite song and I'd love to find songs in a similar style
funky modern love songs,Funky Modern Love Songs
lester p one time,Lester P - One Time
who are some good artists that have good meaningful lyrics that play acoustic guitar,"Who are some good artists that have good, meaningful lyrics, that play acoustic guitar."
sad jazz blues,"""Sad"" jazz/ blues"
energetic funky synth tunes,Energetic funky synth tunes
female artists with a similar sound to car seat headrest weezer,female artists with a similar sound to Car Seat Headrest/Weezer
any thoughts on bands that this sounds similar to | trying to think of for fans of suggestions,"Any thoughts on bands' that this sounds similar to? Trying to think of ""For Fans of"" suggestions!"
where i hear it kudasai where she is,"where i hear it kudasai ""where she is"" ?"
looking for sad slow edm trap songs,Looking for sad-slow edm/trap songs.
music in the style of david holmes oceans 11 soundtrack electronic jazzy fusion style or swing,"Music in the style of David Holmes' ""Ocean's 11"" soundtrack -- electronic, jazzy fusion style or swing?"
rap hip hop songs about anger,Rap/hip hop songs about anger
modern french language music with a good tempo,Modern french-language music with a good tempo?
any song recommendation when working out,Any song recommendation when working out?
looking for hold music,Looking for...hold music?
looking for music that elevates your mind,Looking for music that “elevates your mind”
suave youngin yin and yang,Suave Youngin - Yin and Yang
looking for other songs artists with a sound similar to this bastille rac remix tried lots of other rac stuff but not very keen | also artists like hot chip electronic dance type music with a bit of a live vibe,looking for other songs/artists with a sound similar to this Bastille/RAC remix. Tried lots of other RAC stuff but not very keen. Also artists like Hot Chip....electronic/dance type music with a bit of a live vibe.
looking for songs like panini by lil nas x,"Looking for songs like ""Panini"" by Lil Nas X"
dark hazy cyberpunk electronica,"Dark, hazy cyberpunk electronica"
need more mellow hip hop like these two please,"Need More Mellow(?) Hip-Hop Like These Two, Please!"
trippy music,Trippy music?
synthwave or synth pop songs that give off a melancholy mood,Synthwave or synth-pop songs that give off a melancholy mood.
songs similar in tune to rather melodic and psychedelic electro rock synth rock | also what genre would you classify this style as,"Songs similar in tune to rather melodic and psychedelic electro-rock/synth-rock. Also, what genre would you classify this style as?"
post election music,Post-election music
rock grunge metal etc songs with obscured and distorted vocals,"Rock, grunge, metal, etc songs with obscured and distorted vocals."
songs like going out of my head by the zombies and day tripper by the beatles,Songs like Going Out of My Head by The Zombies and Day Tripper by The Beatles
edm songs from 2010 2015,EDM songs from 2010-2015
artists and songs similar to yoko takahashi,Artists and songs similar to Yoko Takahashi
looking for a song similar to one mans thunder by pythagoras,Looking for a song similar to One Man's Thunder by Pythagoras
know any bands artists that sounds like the garden puzzle enjoy,know any bands/artists that sounds like the garden/puzzle/enjoy?
looking for similar songs to this,Looking for similar songs to this .
looking for music for wedding party,Looking for music for wedding party
albums like pink moon and in the aeroplane over the sea,albums like Pink Moon and In The Aeroplane Over The Sea?
songs like i love you like an alcoholic,"Songs like ""I love you like an alcoholic"""
any albums or music similar to data skywriter,"any albums or music similar to DATA, Skywriter?"
music similar to poppys i disagree choke am i a girl,Music similar to Poppy's I Disagree/Choke/Am I A Girl?
songs similar to across the universe,Songs similar to Across the Universe
songs like voin oruwu amplification,Songs like Voin Oruwu - Amplification?
beautiful sounding songs preferably with some nice harmonies,"Beautiful-sounding songs, preferably with some nice harmonies"
i am lost in the forest of hip hop,I am lost in the forest of hip hop
any songs suggestions similar to miss murder by afi | i love the whole bass guitar vocal dynamic of the song,"Any songs/suggestions similar to Miss Murder by AFI? I love the whole bass, guitar, vocal dynamic of the song."
stuff similar to fobs the phoenix,Stuff similar to F.O.B.’S ‘The Phoenix’?
enya but shes skipping on a sunny day,"Enya, but she’s skipping on a sunny day"
efl teacher in need of kid friendly upbeat english songs from america that are not disney songs,"EFL Teacher in need of kid-friendly, upbeat English songs from America that are NOT Disney songs"
im looking for music similar to this female opera with percussion,I'm looking for music similar to this - female opera with percussion
artists like josh hommes bands,Artist's like Josh Homme's bands
songs like fiona apples pure imagination,"Songs like Fiona Apple's ""Pure Imagination""?"
recommendations like billy talent afraid of heights | reprise,Recommendations like Billy Talent - Afraid of Heights (Reprise)
looking for songs similar to this,Looking for songs similar to this
hi im looking for groups similar to cardigans or groups led by a singer | genre pop rock or alternative rock,"Hi, I'm looking for groups similar to cardigans or groups led by a singer (genre: pop rock, or alternative rock)"
тісk оf thе сlосk еdіt whісh dоеsnt іnсludе thе аnnоуіng nоіsе іn mіddlе оf thе sоng,"""Тісk оf thе сlосk"" еdіt whісh dоеsn't іnсludе thе аnnоуіng nоіsе іn mіddlе оf thе sоng?"
whаt tуре оf sоunds hеlрs уоu соnсеntrаtе fосus,whаt tуре оf sоunds hеlрs уоu соnсеntrаtе/fосus?
any more uk grime like this,Any more UK Grime like this?
looking for music similar to philter,Looking for music similar to Philter.
looking for modern artists similar to the style of my own music so i can expand my horizons,Looking for modern artists similar to the style of my own music so I can expand my horizons.
80s songs about running away being followed,80s songs about running away/being followed?
i have recently discovered sola rosa | i love the blend of scratch electronic and mexican music | for lack of a better term | what kind of similar artists or titles would you recommend,"I have recently discovered Sola Rosa. I love the blend of scratch, electronic, and ""Mexican music"" (for lack of a better term). What kind of similar artists or titles would you recommend?"
music like just one fix by ministry | not in theme but in how the music sounds,Music like Just One Fix by Ministry (not in theme but in how the music sounds)
if i like andrey exx feat terri b | been a long time what else will i like,If I like 'Andrey Exx feat. Terri B! - Been a Long Time' what else will I like?
pop rock 90s,Pop rock 90’s
satanic or occult country folk music,Satanic or Occult Country/Folk music
any song suggestions for something that sounds like jimin parks young,Any song suggestions for something that sounds like Jimin Park's Young?
songs thematically similar to mr brightside,Songs Thematically Similar to Mr. Brightside
looking for angry motivating rock à la queen quasi or fugazi | any recommendations,"Looking for angry/motivating rock à la Queen, Quasi, or Fugazi. Any recommendations?"
suggest some songs like me myself and i,"Suggest some songs like me, myself and I"
anything similar to this song,Anything similar to this song?
i want triumphant but fun songs for a summer video,I want triumphant but fun songs for a summer video
metal like mick gordons doom soundtrack,"Metal like Mick Gordon's ""DOOM"" Soundtrack"
val vicious 2 loves,Val Vicious - 2 Loves
im looking for fast pace vocal renaissance music,I'm looking for fast pace vocal Renaissance music
live music i stockholm,live music i stockholm
help me finish my sad songs playlist,Help me finish my sad songs playlist
looking for songs like would you be so kind by dodie,Looking for songs like Would You Be So Kind by dodie
music like jet set radio sonic rush modnation racers,"Music like Jet Set Radio/Sonic Rush, Modnation Racers?"
looking for things similar to this especially with high pitched sped up vocal samples,"Looking for things similar to this, especially with high pitched/sped up vocal samples."
help me find this genre or more similar music | ethereal celestial out of body,"Help me find this genre, or more similar music (ethereal, celestial, out-of-body)"
music to speak to me about demons in my head,Music to speak to me about demons in my head
playlist to get euphoric,Playlist to get euphoric
searching for music like the song im just your problem advemture time,"Searching for music like the song ""Im just your problem"" advemture time"
looking for poetic melancholy rap,Looking for poetic melancholy rap.
what are the best songs to listen secretly at work,What are the best songs to listen secretly at work?
if i like daft punk prodigy gorillaz who else would i like,"If I like Daft Punk, Prodigy, Gorillaz who else would I like?"
goth neoromantism alternative rock,"Goth, Neoromantism, Alternative Rock"
what is this genre of music and can you suggest more songs like these please,What is this genre of music and can you suggest more songs like these please
what goth bands would you suggest,What Goth bands would you suggest?
what album artist would you recommend me to listen to,What album/artist would you recommend me to listen to?
i need hip hop recommendations,I need hip hop recommendations
deathray davies and archers of loaf esque suggestions,Deathray Davies and Archers of Loaf esque suggestions.
songs like jungle | drake,Songs like Jungle (Drake)
looking for arabic y sounding electronica for d&d ambiance music,Looking for Arabic-y sounding electronica for D&D ambiance music
looking for jangly guitars loose drums and lazy structure,"Looking for jangly guitars, loose drums, and lazy structure"
looking for something dark hot and raw sounding,"looking for something dark, hot and raw-sounding"
could you please recommend me musics like these,Could you please recommend me musics like these?
please help me find new music | a bit alternative indie pop a little hip hop,"please help me find new music? (A bit alternative/indie pop, a little hip hop)"
what should i listen to if i like frank sinatra,What should I listen to if I like Frank Sinatra?
looking for constantly building up drone music,looking for constantly building up drone music
is there anything like dire straits,Is there anything like Dire Straits?
songs that go hard out of nowhere,Songs that go hard out of nowhere
subdued largely instrumental dark country,"Subdued, largely instrumental dark country"
songs similar to these love songs,Songs similar to these love songs?
suggest me something similar to light of the seven by ramin djawadi,Suggest me something similar to 'Light of the Seven' by Ramin Djawadi
artists like post malone the weeknd or drake | also yung emu,"Artists like Post Malone, The Weeknd or Drake? Also Yung EMU"
music with strong beat tempo,Music with strong beat/tempo
looking for jazzy trip hop,Looking for jazzy trip-hop
music for an awards medal ceremony,Music for an awards/medal ceremony?
where do you go to my lovely songs that sound like this,Where Do You Go To (My Lovely) - Songs that sound like this?
just got xbox music looking for music suggestions like matchbook romance monsters,"Just got Xbox Music, looking for music suggestions like matchbook romance - monsters"
music similar to ayur and dj okawari,Music similar to Ayur and DJ Okawari!
i love chilled dance songs like this | got any more,I love chilled dance songs like this. got any more?
love yourself songs like this,Love yourself songs like this?
synthwave artists,Synthwave artists
looking for more happy lighthearted psychedelic music like the song rillo talk by wild child,"Looking for more happy, lighthearted, psychedelic music like the song Rillo Talk by Wild Child."
please help me find something like this,Please help me find something like this
metal in french german or italian,"Metal in French, German, or Italian?"
songs with similar empowering feel as this amiga song,Songs with similar empowering feel as this amiga song
looking for songs about being stoned that are cute and nice,"Looking for Songs About Being Stoned,, That Are Cute and Nice"
something insane,Something insane
looking for upbeat jazzy songs that wont put me to sleep,"Looking for upbeat ""jazzy"" songs that won't put me to sleep"
looking for similar artists | glass phantoms call my name,Looking for similar artists; Glass Phantoms:Call My Name
looking for trance music similar to progressia matt fax fibreglasses chicane and others,"Looking for trance music similar to ... Progressia (Matt Fax), Fibreglasses (Chicane), and others...."
haunting music similar to pinocchio by kai straw lic,Haunting music similar to Pinocchio by Kai Straw LIC
hip house music similar to 212 by azealia banks,Hip house music similar to 212 by Azealia Banks?
songs like in fantasia by kishi bashi,Songs like In Fantasia by Kishi Bashi
looking for jams with a specific keyboard sound,Looking for jams with a specific keyboard sound
any similar songs like into the fire by asking alexandria or a prophecy also by asking alexandria or a greater foundation as i lay dying rock songs with clean vocals,"any similar songs like ""Into the fire by Asking Alexandria"" or ""A prophecy also by Asking Alexandria"" or ""A greater foundation as I lay dying"" rock songs with clean vocals?"
looking for songs like disney hercules i wont say | im in love,"Looking for songs like Disney Hercules ""I Won't Say (I'm in Love)"
looking for artists and or music of a specific type but i dont know what genre to call it,Looking for artists and/or music of a specific type but I don’t know what genre to call it.
anfa rose substance,Anfa Rose - Substance
chill vibe music similar to alina baraz & galimatias,Chill/Vibe Music similar to Alina Baraz & Galimatias
need help in finding that next big artist,Need help in finding that next big artist
bass songs for driving,Bass songs for driving
recommend music in the style of the first 15 seconds of this opening theme,"recommend music in the Style of the FIRST 15 SECONDS, of this opening theme?"
music similair to the opening of kongos come with me now,"Music similair to the opening of Kongos ""Come with me Now""."
looking for music like swans daughters and black midi,"Looking for music like Swans, Daughters, and Black Midi"
the bitter end by placebo,The Bitter End by Placebo
looking for dan romer similar songs,Looking for Dan Romer similar songs..!
looking for good rock metal punk pop bands that are still making music and i havent heard of,"Looking for good rock, metal, punk pop, bands that are still making music and I haven't heard of."
im looking for something grandiose and epic in nature,I'm looking for something grandiose and epic in nature
what genre of music is this | bombom by macklemore & ryan lewis,What genre of music is this? BomBom by Macklemore & Ryan Lewis
suggest me a good concept album,Suggest me a good concept album
songs that youd hear playing at a gas station diner in the country side at night related to oh | sweet nothing night moves,"Songs that you'd hear playing at a gas station/diner in the country side at night (related to Oh! Sweet Nothing, Night Moves)"
suggestions for songs that talk about a lonely girl,Suggestions for songs that talk about a lonely girl?
japenese girl punk bands,Japenese girl punk bands?
suggestions for metal mixed with classical ochestra,Suggestions for Metal mixed with classical ochestra?
7 underrated dance feel songs,7 Underrated Dance Feel Songs
looking for a rock song used as a introduction in movies,Looking for a rock song used as a introduction in movies
i am looking for a specific type of stoner psychadelic songs with desert arabic nomad motives,I am looking for a specific type of stoner/psychadelic songs with desert/arabic/nomad motives
looking for a song similar to carpenter brut turbo killer,Looking for a song similar to Carpenter Brut - Turbo Killer
similar to let her go remix by mike stud or emperors new clothes crazy genius dont threaten me with a good time panoc | at the disco or giant calvin harros ragnbone man,"Similar to Let her go (remix) by Mike Stud or Emperor's new clothes/Crazy=Genius/Don't threaten me with a good time - Panoc! at the disco, or Giant - Calvin Harros/Rag'n'bone man"
looking for other great lyrically focused artists,Looking for other great lyrically focused artists.
oh my sunshine atwood,Oh My Sunshine- Atwood
help me find music like this song,Help me find music like this song!
help me create a summer mix cd,Help me create a summer mix cd!
music of the week,Music of the Week
looking for more music similar to flatbush zombies and underachievers,Looking for more music similar to Flatbush Zombies and Underachievers
looking for music with the same distinct feeling as this song,Looking for music with the same distinct feeling as this song
music that gets you going,Music that get's you going
looking for artists similar to iwan rheon,Looking for artists similar to Iwan Rheon
music for raging,Music for raging?
looking for bands with alt emo punk elements in their album,Looking for bands with Alt/Emo/Punk elements in their album(s)
who is the french luis fonsi,Who is the French Luis Fonsi?
looking for jazz either like the upbeat stuff in lala land or badbadnotgood,Looking for jazz either like the upbeat stuff in Lala land or Badbadnotgood
music to listen to whilst doing yoga,Music to listen to whilst doing yoga?
songs similar to old town road,Songs similar to Old Town Road?
songs like norf norf vince staples,Songs like Norf Norf-Vince Staples
melancholy trippy nostalgic downtempo music suggestions,Melancholy / trippy / nostalgic / downtempo music suggestions?
looking for music similar to baretos,Looking for music similar to Bareto's :)
any songs like the crazy abstract jazz songs from this video,Any songs like the “crazy abstract jazz” songs from this video?
sounds like its from a musical but isnt,"Sounds like it's from a musical, but isn't"
songs with similar vibe and structure as heartbeat by annie,"Songs with similar vibe and structure as ""Heartbeat"" by Annie?"
what genre this is and anything else like it | its retro and future at the same time and i absolutely love it,"what genre this is and anything else like it? It's retro and future at the same time, and I absolutely love it..."
looking for rock metal with chugging bass,Looking for rock/metal with chugging bass!
found an obscure alt emo album from a decade ago and adore it any similar albums or artists,Found an obscure alt/emo album from a decade ago and adore it - any similar albums or artists?
any french songs that are like laura and antons version of la vie en rose by edith piaf,Any French songs that are like Laura and Anton's version of La Vie en Rose by Edith Piaf?
songs like the night we met lord huron,Songs like The Night We Met - Lord Huron?
need something new,Need something new
tracks similar to the repo men soundtrack | william bell rza,"Tracks similar to the repo men soundtrack? (William bell, RZA)"
just anything that seems interesting,Just anything that seems interesting?!
bass beats with slow pacing and no annoying digital sounds or high hats,Bass Beats with slow pacing and no annoying digital sounds or high hats
songs for a coder,Songs for a coder
music or even mixes similar to this epic piece of psychedelic ambience,Music or even Mixes similar to this epic piece of psychedelic ambience?
good sunrise sunset tunes,Good sunrise/sunset tunes
recommend me more songs like more by flying lotus ft anderson park,recommend me more songs like More - by Flying Lotus ft Anderson Park
looking for more music that sounds like modern spaghetti western | like this track from mario odyessey and gerudo valley,Looking for more music that sounds like modern Spaghetti Western (like this track from Mario Odyessey and Gerudo Valley)
looking for sad dark melancholy rock,Looking for sad/dark/melancholy rock
looking for edm music but with metal screaming,Looking for EDM music but with metal screaming
music similar to lil dicky molly,Music similar to Lil Dicky - Molly?
soundtracks with prominent oboe or english horn,Soundtracks with prominent oboe or English horn?
looking for hauntingly beautiful music,Looking for Hauntingly Beautiful Music
something similar to the opening of ray charles ol man river,"Something similar to the opening of Ray Charles ""Ol' Man River"""
suggestions for song inspirations on the line of todd phillips the joker,Suggestions for song inspirations on the line of Todd Phillips The Joker
emotional journey catharsis songs & albums,emotional journey/catharsis songs & albums
looking for new current artists for someone who likes 80s rock metal blues and 90s rock,"Looking for new / current artists for someone who likes 80's rock/metal, blues, and 90's rock."
please suggest songs similar to the one above | both in terms of lyrics and music style,Please suggest songs similar to the one above. Both in terms of lyrics and music style.
suggest music similar to the one created by swedish house mafia,Suggest music similar to the one created by Swedish House mafia .
any advice for beatboxing while singing,Any advice for beatboxing while singing?
looking for songs and music similar to pyramids by frank ocean,Looking for songs and music similar to Pyramids by Frank Ocean.
any music like natalia lafourcade | spanish or french,Any music like Natalia LaFourcade? (Spanish or French)
any suggestions for some sweet flowery sounding love songs,Any suggestions for some sweet flowery sounding love songs
songs like bang bang by green day in terms of vibe & feel,Songs like Bang Bang by Green Day in terms of vibe & feel
love this song what genre would it fall under and who are some similar artist,Love this song what genre would it fall under and who are some similar artist?
mood lifting playlist for whenever you feel lonely heartbroken and or depressed,"Mood-Lifting Playlist For Whenever You Feel Lonely, Heartbroken and or Depressed"
anything like dengue fever,Anything like dengue fever?
songs like red eye by vance joy,Songs like Red Eye by Vance Joy?
need music that sounds painful to sing,Need music that sounds painful to sing
suggestions for creepy old music,Suggestions for creepy old music?
songs similar to alt+j taro,Songs similar to Alt+j Taro
good music what are ur favs,Good music?? what are ur favs
rap hop for when youre down,Rap/hop for when you're down.
some tunes with the xx like guitars,Some tunes with The XX like guitars
i just got a 1974 f 350 fire chief truck | i need cruising songs,I just got a 1974 f-350 fire chief truck. I need cruising songs!
looking for some songs that have really interesting electronic drums comparable to vegyn aphex twin daft punk gesaffelstein,"Looking for some songs that have really interesting (electronic) drums comparable to Vegyn, Aphex twin, Daft Punk, Gesaffelstein"
song suggestions to add to a playlist for a party,Song suggestions to add to a playlist for a party
music similar to stolen dance baker man | some chill music needed,"Music similar to Stolen Dance, Baker Man? Some chill music needed!"
need more synthwave in my life,Need more Synthwave in my life
any underground bands artists | or underrated or how you want to call it,Any underground bands/artists? (or underrated or how you want to call it)
halloween playlist,Halloween Playlist?
similar fantasy magical esq music | the flute is key,Similar fantasy/magical-esq music? The flute is key!
songs for getting over an ex,Songs for getting over an ex?
help me start my day right,Help me start my day right ♡
more music like kero kero bonito,More music like Kero Kero Bonito?
songs like a single song,Songs like a single song
interesting creepy messed up songs,"Interesting, creepy, messed up songs?"
peaceful synthy music like the 1980s my little pony end credits song,"Peaceful, synthy music like the 1980s My Little Pony end credits song"
some dark songs over 5 minutes with electric instruments and a great climax or vocal performance,"Some dark songs over 5 minutes, with electric instruments and a great climax or vocal performance"
im making a playlist for my girl any ideas,"I’m making a playlist for my girl, any ideas?"
help me find lots of songs like this,help me find lots of songs like this?
looking for more songs to add to my gym playlist,Looking for more songs to add to my gym playlist.
help finding a song similar to this background music,Help finding a song similar to this background music!
rap + gospel vibes | like ultralight beam,Rap + gospel vibes (like Ultralight beam)
songs that make you feel like you can take on the world,Songs That Make You Feel Like You Can Take On The World
looking for mixes music similar to this progressive house mix,Looking for mixes / music similar to this progressive house mix :)
broken hearted music,Broken Hearted Music
have a hard time finding new music on my own help,"Have a hard time finding new music on my own, help?"
similar to music like this,Similar to music like this:
this | need song suggestions like this,This. Need song suggestions like this.
so im looking for a bit of a darker themed song,So I’m looking for a bit of a darker themed song.
superfamous music any suggestions,Superfamous music any suggestions?
any recommendations for songs about internet relationships | platonic or romantic,any recommendations for songs about internet relationships (platonic or romantic)?
looking for something similar to the start of this song | dark jazz ish feeling,Looking for something similar to the start of this song. Dark jazz-ish feeling.
any sensual dark music,Any sensual dark music
songs with a sound similar to baybee jay som,"Songs with a sound similar to ""Baybee"" - Jay Som"
what is the longest single cd recorded,What is the longest single CD recorded?
looking for music that is like geotics music,Looking for music that is like Geotic's music
slower songs with a darker vibe,Slower songs with a darker vibe
anything similar to kevin macleods peace of mind,"anything similar to Kevin Macleod's ""Peace Of Mind""?"
songs similar to legend has it by run the jewels,songs similar to Legend Has It by Run the Jewels?
caleb cruise like metro,Caleb Cruise - Like Metro
looking for songs similar to otherside by the red hot chili peppers,Looking for songs similar to Otherside by the Red hot chili peppers
