id,text,start_offset,end_offset,label
11402,looking for stuff similar to tfot | doppelganger manipulator,36,60,Artist_or_WoA_deduced
11403,anything similar to tarkus by emerson lake & palmer,20,26,WoA_deduced
11403,anything similar to tarkus by emerson lake & palmer,30,51,Artist_deduced
11404,looking for similar music to silver sun pickups arcade fire foals,29,47,Artist_deduced
11404,looking for similar music to silver sun pickups arcade fire foals,48,59,Artist_known
11404,looking for similar music to silver sun pickups arcade fire foals,60,65,Artist_deduced
11412,songs similar to serenade for two from yuri on ice ost,39,54,Artist_deduced
11412,songs similar to serenade for two from yuri on ice ost,17,33,WoA_deduced
11413,can you recommend some artists singers whose singing style is a combination of chris cornell and of rufus wainwright,79,92,Artist_known
11413,can you recommend some artists singers whose singing style is a combination of chris cornell and of rufus wainwright,100,116,Artist_known
11414,songs like o death shakey graves please,11,18,WoA_deduced
11414,songs like o death shakey graves please,19,32,Artist_or_WoA_deduced
11415,songs like lava glaciers | riff raff ft childish gambino | hip hop,40,56,Artist_known
11415,songs like lava glaciers | riff raff ft childish gambino | hip hop,27,36,Artist_deduced
11415,songs like lava glaciers | riff raff ft childish gambino | hip hop,11,24,WoA_deduced
11416,jim croce time in a bottle or simon and garfunkel sound of silence,30,49,Artist_known
11416,jim croce time in a bottle or simon and garfunkel sound of silence,50,66,WoA_known
11416,jim croce time in a bottle or simon and garfunkel sound of silence,10,26,WoA_known
11416,jim croce time in a bottle or simon and garfunkel sound of silence,0,9,Artist_deduced
11417,looking for dark electronic ambient albums to work to similar to clint mansell trent reznor & atticus ross,65,78,Artist_deduced
11417,looking for dark electronic ambient albums to work to similar to clint mansell trent reznor & atticus ross,94,106,Artist_deduced
11417,looking for dark electronic ambient albums to work to similar to clint mansell trent reznor & atticus ross,79,92,Artist_deduced
11418,similar to mdc tsol black flag ect,11,19,Artist_or_WoA_deduced
11418,similar to mdc tsol black flag ect,20,30,WoA_deduced
11419,songs similar to hunnybee by unknown mortal orchestra,17,25,WoA_deduced
11419,songs similar to hunnybee by unknown mortal orchestra,29,53,Artist_deduced
11424,any albums similar in tone to random access memories by daft punk,30,52,WoA_known
11424,any albums similar in tone to random access memories by daft punk,56,65,Artist_known
11425,any suggestions of music or artists like king krule,41,51,Artist_deduced
11432,human cannonball by disco ensemble,20,34,Artist_deduced
11432,human cannonball by disco ensemble,0,16,WoA_deduced
11433,rap songs like yung gravy,15,25,Artist_or_WoA_deduced
11437,looking for artists similar to elo and the hoosiers,31,51,Artist_deduced
11438,another orchestral music with different variations of aaaaaaaaaa like in ezio family,73,84,Artist_or_WoA_deduced
11438,another orchestral music with different variations of aaaaaaaaaa like in ezio family,54,64,WoA_deduced
11439,something similar to late kreator,20,33,Artist_deduced
11446,song like bat country by avenged sevenfold,25,42,Artist_deduced
11446,song like bat country by avenged sevenfold,10,21,WoA_deduced
11450,artists similar to askilz & krafty kuts,19,39,Artist_deduced
11451,im looking for music similar to the song bernadette by imax its my current favorite song and id love to find songs in a similar style,41,51,WoA_deduced
11451,im looking for music similar to the song bernadette by imax its my current favorite song and id love to find songs in a similar style,55,59,Artist_deduced
11453,lester p one time,9,17,WoA_deduced
11453,lester p one time,0,8,Artist_deduced
11457,female artists with a similar sound to car seat headrest weezer,57,63,Artist_known
11457,female artists with a similar sound to car seat headrest weezer,39,56,Artist_or_WoA_deduced
11458,any thoughts on bands that this sounds similar to | trying to think of for fans of suggestions,52,67,WoA_deduced
11459,where i hear it kudasai where she is,16,23,Artist_or_WoA_deduced
11461,music in the style of david holmes oceans 11 soundtrack electronic jazzy fusion style or swing,22,34,Artist_deduced
11461,music in the style of david holmes oceans 11 soundtrack electronic jazzy fusion style or swing,34,44,WoA_known
11467,suave youngin yin and yang,14,26,Artist_or_WoA_deduced
11467,suave youngin yin and yang,0,13,Artist_or_WoA_deduced
11468,looking for other songs artists with a sound similar to this bastille rac remix tried lots of other rac stuff but not very keen | also artists like hot chip electronic dance type music with a bit of a live vibe,61,69,Artist_deduced
11469,looking for songs like panini by lil nas x,23,29,WoA_deduced
11469,looking for songs like panini by lil nas x,33,42,Artist_deduced
11477,songs like going out of my head by the zombies and day tripper by the beatles,10,31,WoA_deduced
11477,songs like going out of my head by the zombies and day tripper by the beatles,35,46,Artist_deduced
11477,songs like going out of my head by the zombies and day tripper by the beatles,51,62,WoA_known
11477,songs like going out of my head by the zombies and day tripper by the beatles,66,77,Artist_known
11479,artists and songs similar to yoko takahashi,29,43,Artist_deduced
11480,looking for a song similar to one mans thunder by pythagoras,30,46,WoA_deduced
11480,looking for a song similar to one mans thunder by pythagoras,50,60,Artist_deduced
11484,albums like pink moon and in the aeroplane over the sea,12,21,WoA_deduced
11484,albums like pink moon and in the aeroplane over the sea,29,55,WoA_deduced
11485,songs like i love you like an alcoholic,11,39,WoA_deduced
11486,any albums or music similar to data skywriter,31,45,Artist_or_WoA_deduced
11487,music similar to poppys i disagree choke am i a girl,17,23,Artist_known
11487,music similar to poppys i disagree choke am i a girl,24,52,WoA_deduced
11488,songs similar to across the universe,17,36,WoA_deduced
11489,songs like voin oruwu amplification,11,21,Artist_or_WoA_deduced
11492,any songs suggestions similar to miss murder by afi | i love the whole bass guitar vocal dynamic of the song,33,44,WoA_deduced
11492,any songs suggestions similar to miss murder by afi | i love the whole bass guitar vocal dynamic of the song,48,51,Artist_deduced
11493,stuff similar to fobs the phoenix,21,33,Artist_deduced
11493,stuff similar to fobs the phoenix,17,21,Artist_or_WoA_deduced
11494,enya but shes skipping on a sunny day,0,4,Artist_known
11497,artists like josh hommes bands,13,24,Artist_deduced
11498,songs like fiona apples pure imagination,10,23,Artist_deduced
11498,songs like fiona apples pure imagination,24,40,WoA_deduced
11499,recommendations like billy talent afraid of heights | reprise,21,33,Artist_known
11499,recommendations like billy talent afraid of heights | reprise,34,51,WoA_deduced
11501,hi im looking for groups similar to cardigans or groups led by a singer | genre pop rock or alternative rock,36,45,Artist_deduced
11505,looking for music similar to philter,29,36,Artist_or_WoA_deduced
11508,i have recently discovered sola rosa | i love the blend of scratch electronic and mexican music | for lack of a better term | what kind of similar artists or titles would you recommend,27,36,Artist_deduced
11509,music like just one fix by ministry | not in theme but in how the music sounds,11,23,WoA_deduced
11509,music like just one fix by ministry | not in theme but in how the music sounds,27,35,Artist_deduced
11510,if i like andrey exx feat terri b | been a long time what else will i like,10,20,Artist_deduced
11510,if i like andrey exx feat terri b | been a long time what else will i like,26,33,Artist_deduced
11510,if i like andrey exx feat terri b | been a long time what else will i like,36,52,WoA_deduced
11513,any song suggestions for something that sounds like jimin parks young,52,63,Artist_deduced
11514,songs thematically similar to mr brightside,30,43,WoA_known
11515,looking for angry motivating rock à la queen quasi or fugazi | any recommendations,39,44,Artist_known
11515,looking for angry motivating rock à la queen quasi or fugazi | any recommendations,54,60,Artist_deduced
11519,metal like mick gordons doom soundtrack,11,23,Artist_deduced
11519,metal like mick gordons doom soundtrack,24,28,WoA_deduced
11520,val vicious 2 loves,0,11,Artist_deduced
11520,val vicious 2 loves,12,19,WoA_deduced
11524,looking for songs like would you be so kind by dodie,47,52,Artist_deduced
11524,looking for songs like would you be so kind by dodie,23,43,WoA_deduced
11525,music like jet set radio sonic rush modnation racers,11,24,Artist_or_WoA_deduced
11525,music like jet set radio sonic rush modnation racers,25,35,Artist_or_WoA_deduced
11525,music like jet set radio sonic rush modnation racers,36,52,Artist_or_WoA_deduced
11530,searching for music like the song im just your problem advemture time,34,54,WoA_deduced
11530,searching for music like the song im just your problem advemture time,55,69,Artist_or_WoA_deduced
11533,if i like daft punk prodigy gorillaz who else would i like,10,19,Artist_known
11533,if i like daft punk prodigy gorillaz who else would i like,28,36,Artist_known
11533,if i like daft punk prodigy gorillaz who else would i like,20,27,Artist_deduced
11539,deathray davies and archers of loaf esque suggestions,20,35,Artist_deduced
11539,deathray davies and archers of loaf esque suggestions,0,15,Artist_deduced
11540,songs like jungle | drake,11,17,WoA_deduced
11540,songs like jungle | drake,20,25,Artist_known
11546,what should i listen to if i like frank sinatra,34,47,Artist_known
11548,is there anything like dire straits,23,35,Artist_known
11552,suggest me something similar to light of the seven by ramin djawadi,32,50,WoA_deduced
11552,suggest me something similar to light of the seven by ramin djawadi,54,67,Artist_deduced
11553,artists like post malone the weeknd or drake | also yung emu,13,24,Artist_deduced
11553,artists like post malone the weeknd or drake | also yung emu,24,35,Artist_known
11553,artists like post malone the weeknd or drake | also yung emu,39,44,Artist_known
11553,artists like post malone the weeknd or drake | also yung emu,52,60,Artist_deduced
11558,just got xbox music looking for music suggestions like matchbook romance monsters,65,81,Artist_or_WoA_deduced
11558,just got xbox music looking for music suggestions like matchbook romance monsters,55,64,Artist_or_WoA_deduced
11559,music similar to ayur and dj okawari,26,36,Artist_deduced
11559,music similar to ayur and dj okawari,17,21,Artist_deduced
11560,i love chilled dance songs like this | got any more,39,51,WoA_deduced
11563,looking for more happy lighthearted psychedelic music like the song rillo talk by wild child,82,92,Artist_deduced
11563,looking for more happy lighthearted psychedelic music like the song rillo talk by wild child,67,78,WoA_deduced
11570,looking for similar artists | glass phantoms call my name,30,44,Artist_known
11570,looking for similar artists | glass phantoms call my name,45,57,WoA_deduced
11571,looking for trance music similar to progressia matt fax fibreglasses chicane and others,47,55,Artist_or_WoA_deduced
11571,looking for trance music similar to progressia matt fax fibreglasses chicane and others,36,46,Artist_or_WoA_deduced
11571,looking for trance music similar to progressia matt fax fibreglasses chicane and others,56,68,Artist_or_WoA_deduced
11571,looking for trance music similar to progressia matt fax fibreglasses chicane and others,69,76,Artist_or_WoA_deduced
11572,haunting music similar to pinocchio by kai straw lic,26,35,WoA_deduced
11572,haunting music similar to pinocchio by kai straw lic,39,52,Artist_deduced
11573,hip house music similar to 212 by azealia banks,27,30,WoA_deduced
11573,hip house music similar to 212 by azealia banks,34,47,Artist_deduced
11574,songs like in fantasia by kishi bashi,26,37,Artist_deduced
11574,songs like in fantasia by kishi bashi,14,22,WoA_known
11576,any similar songs like into the fire by asking alexandria or a prophecy also by asking alexandria or a greater foundation as i lay dying rock songs with clean vocals,23,36,WoA_deduced
11576,any similar songs like into the fire by asking alexandria or a prophecy also by asking alexandria or a greater foundation as i lay dying rock songs with clean vocals,40,57,Artist_deduced
11576,any similar songs like into the fire by asking alexandria or a prophecy also by asking alexandria or a greater foundation as i lay dying rock songs with clean vocals,80,97,Artist_deduced
11576,any similar songs like into the fire by asking alexandria or a prophecy also by asking alexandria or a greater foundation as i lay dying rock songs with clean vocals,63,71,WoA_deduced
11577,looking for songs like disney hercules i wont say | im in love,30,38,WoA_known
11577,looking for songs like disney hercules i wont say | im in love,38,49,WoA_deduced
11577,looking for songs like disney hercules i wont say | im in love,52,62,WoA_deduced
11579,anfa rose substance,0,19,Artist_or_WoA_deduced
11580,chill vibe music similar to alina baraz & galimatias,28,39,Artist_deduced
11580,chill vibe music similar to alina baraz & galimatias,42,52,Artist_deduced
11584,music similair to the opening of kongos come with me now,40,56,WoA_deduced
11584,music similair to the opening of kongos come with me now,33,39,WoA_deduced
11585,looking for music like swans daughters and black midi,23,38,Artist_or_WoA_deduced
11585,looking for music like swans daughters and black midi,43,53,Artist_deduced
11586,the bitter end by placebo,18,25,Artist_known
11586,the bitter end by placebo,0,14,WoA_known
11587,looking for dan romer similar songs,12,21,Artist_deduced
11590,what genre of music is this | bombom by macklemore & ryan lewis,40,50,Artist_known
11590,what genre of music is this | bombom by macklemore & ryan lewis,53,63,Artist_known
11590,what genre of music is this | bombom by macklemore & ryan lewis,30,36,WoA_known
11592,songs that youd hear playing at a gas station diner in the country side at night related to oh | sweet nothing night moves,111,122,WoA_deduced
11592,songs that youd hear playing at a gas station diner in the country side at night related to oh | sweet nothing night moves,92,110,WoA_deduced
11599,looking for a song similar to carpenter brut turbo killer,30,44,Artist_known
11599,looking for a song similar to carpenter brut turbo killer,45,57,WoA_deduced
11600,similar to let her go remix by mike stud or emperors new clothes crazy genius dont threaten me with a good time panoc | at the disco or giant calvin harros ragnbone man,31,40,Artist_deduced
11600,similar to let her go remix by mike stud or emperors new clothes crazy genius dont threaten me with a good time panoc | at the disco or giant calvin harros ragnbone man,11,21,WoA_deduced
11600,similar to let her go remix by mike stud or emperors new clothes crazy genius dont threaten me with a good time panoc | at the disco or giant calvin harros ragnbone man,142,155,Artist_deduced
11600,similar to let her go remix by mike stud or emperors new clothes crazy genius dont threaten me with a good time panoc | at the disco or giant calvin harros ragnbone man,156,168,Artist_deduced
11600,similar to let her go remix by mike stud or emperors new clothes crazy genius dont threaten me with a good time panoc | at the disco or giant calvin harros ragnbone man,112,132,Artist_deduced
11600,similar to let her go remix by mike stud or emperors new clothes crazy genius dont threaten me with a good time panoc | at the disco or giant calvin harros ragnbone man,78,111,WoA_deduced
11600,similar to let her go remix by mike stud or emperors new clothes crazy genius dont threaten me with a good time panoc | at the disco or giant calvin harros ragnbone man,65,77,Artist_or_WoA_deduced
11600,similar to let her go remix by mike stud or emperors new clothes crazy genius dont threaten me with a good time panoc | at the disco or giant calvin harros ragnbone man,44,64,Artist_or_WoA_deduced
11602,oh my sunshine atwood,0,14,WoA_deduced
11602,oh my sunshine atwood,15,21,Artist_known
11606,looking for more music similar to flatbush zombies and underachievers,34,50,Artist_or_WoA_deduced
11606,looking for more music similar to flatbush zombies and underachievers,55,69,Artist_or_WoA_deduced
11609,looking for artists similar to iwan rheon,31,41,Artist_deduced
11612,who is the french luis fonsi,18,28,Artist_known
11613,looking for jazz either like the upbeat stuff in lala land or badbadnotgood,48,58,WoA_deduced
11613,looking for jazz either like the upbeat stuff in lala land or badbadnotgood,62,75,WoA_deduced
11615,songs similar to old town road,16,30,WoA_deduced
11616,songs like norf norf vince staples,10,20,WoA_deduced
11616,songs like norf norf vince staples,21,34,Artist_deduced
11618,looking for music similar to baretos,29,36,Artist_or_WoA_deduced
11621,songs with similar vibe and structure as heartbeat by annie,54,59,Artist_deduced
11621,songs with similar vibe and structure as heartbeat by annie,41,50,WoA_deduced
11625,any french songs that are like laura and antons version of la vie en rose by edith piaf,59,73,WoA_known
11625,any french songs that are like laura and antons version of la vie en rose by edith piaf,77,87,Artist_known
11625,any french songs that are like laura and antons version of la vie en rose by edith piaf,31,47,Artist_deduced
11626,songs like the night we met lord huron,11,27,WoA_deduced
11626,songs like the night we met lord huron,28,38,Artist_deduced
11628,tracks similar to the repo men soundtrack | william bell rza,44,60,Artist_deduced
11628,tracks similar to the repo men soundtrack | william bell rza,18,41,WoA_deduced
11633,good sunrise sunset tunes,13,25,Artist_deduced
11633,good sunrise sunset tunes,0,12,WoA_deduced
11634,recommend me more songs like more by flying lotus ft anderson park,37,49,Artist_deduced
11634,recommend me more songs like more by flying lotus ft anderson park,53,66,Artist_deduced
11634,recommend me more songs like more by flying lotus ft anderson park,29,33,WoA_deduced
11635,looking for more music that sounds like modern spaghetti western | like this track from mario odyessey and gerudo valley,40,64,WoA_deduced
11635,looking for more music that sounds like modern spaghetti western | like this track from mario odyessey and gerudo valley,88,102,Artist_deduced
11635,looking for more music that sounds like modern spaghetti western | like this track from mario odyessey and gerudo valley,107,120,Artist_deduced
11638,music similar to lil dicky molly,17,32,Artist_deduced
11641,something similar to the opening of ray charles ol man river,36,47,Artist_known
11641,something similar to the opening of ray charles ol man river,48,60,WoA_deduced
11642,suggestions for song inspirations on the line of todd phillips the joker,49,62,Artist_deduced
11642,suggestions for song inspirations on the line of todd phillips the joker,63,72,WoA_deduced
11645,please suggest songs similar to the one above | both in terms of lyrics and music style,32,45,WoA_deduced
11646,suggest music similar to the one created by swedish house mafia,44,63,Artist_deduced
11646,suggest music similar to the one created by swedish house mafia,25,40,WoA_deduced
11648,looking for songs and music similar to pyramids by frank ocean,39,47,WoA_deduced
11648,looking for songs and music similar to pyramids by frank ocean,51,62,Artist_known
11649,any music like natalia lafourcade | spanish or french,14,33,Artist_deduced
11651,songs like bang bang by green day in terms of vibe & feel,11,20,WoA_known
11651,songs like bang bang by green day in terms of vibe & feel,24,33,Artist_deduced
11654,anything like dengue fever,14,26,Artist_known
11655,songs like red eye by vance joy,22,31,Artist_known
11655,songs like red eye by vance joy,10,18,WoA_deduced
11658,songs similar to alt+j taro,17,22,Artist_known
11658,songs similar to alt+j taro,23,27,WoA_known
11663,looking for some songs that have really interesting electronic drums comparable to vegyn aphex twin daft punk gesaffelstein,89,99,Artist_known
11663,looking for some songs that have really interesting electronic drums comparable to vegyn aphex twin daft punk gesaffelstein,100,109,Artist_known
11663,looking for some songs that have really interesting electronic drums comparable to vegyn aphex twin daft punk gesaffelstein,83,88,Artist_deduced
11663,looking for some songs that have really interesting electronic drums comparable to vegyn aphex twin daft punk gesaffelstein,110,123,Artist_deduced
11665,music similar to stolen dance baker man | some chill music needed,17,29,WoA_known
11665,music similar to stolen dance baker man | some chill music needed,30,39,Artist_or_WoA_deduced
11672,more music like kero kero bonito,16,32,WoA_deduced
11675,peaceful synthy music like the 1980s my little pony end credits song,27,36,Artist_or_WoA_deduced
11675,peaceful synthy music like the 1980s my little pony end credits song,37,51,Artist_or_WoA_deduced
11675,peaceful synthy music like the 1980s my little pony end credits song,52,63,Artist_or_WoA_deduced
11681,rap + gospel vibes | like ultralight beam,26,41,Artist_or_WoA_deduced
11833,songs like syd dales the hellraisers,11,20,Artist_or_WoA_deduced
11833,songs like syd dales the hellraisers,21,36,Artist_or_WoA_deduced
11693,songs with a sound similar to baybee jay som,30,44,Artist_or_WoA_deduced
11695,looking for music that is like geotics music,31,38,Artist_deduced
11697,anything similar to kevin macleods peace of mind,20,34,Artist_deduced
11697,anything similar to kevin macleods peace of mind,35,48,WoA_deduced
11698,songs similar to legend has it by run the jewels,16,30,WoA_deduced
11698,songs similar to legend has it by run the jewels,34,48,Artist_deduced
11699,caleb cruise like metro,0,12,Artist_deduced
11700,looking for songs similar to otherside by the red hot chili peppers,42,67,Artist_known
11700,looking for songs similar to otherside by the red hot chili peppers,29,38,WoA_known
11701,any suggestions for songs albums with similar sounds to ghost by machine girl,56,61,WoA_deduced
11701,any suggestions for songs albums with similar sounds to ghost by machine girl,65,77,Artist_deduced
11702,songs like playinwitme by kyle and ispy by kyle,11,22,WoA_deduced
11702,songs like playinwitme by kyle and ispy by kyle,26,30,Artist_deduced
11702,songs like playinwitme by kyle and ispy by kyle,43,47,Artist_deduced
11702,songs like playinwitme by kyle and ispy by kyle,35,39,WoA_deduced
11710,songs like old doll from mad father or hide and seek vocaloid english cover by lizz robinett,11,19,WoA_deduced
11710,songs like old doll from mad father or hide and seek vocaloid english cover by lizz robinett,25,35,Artist_deduced
11710,songs like old doll from mad father or hide and seek vocaloid english cover by lizz robinett,79,92,Artist_deduced
11710,songs like old doll from mad father or hide and seek vocaloid english cover by lizz robinett,39,61,WoA_deduced
11712,sorta like alex turners stuff from submarine,11,29,WoA_deduced
11712,sorta like alex turners stuff from submarine,35,44,Artist_deduced
11713,songs similar to leroyce team | ft t gallardo & loners club | hiphop recommendation,17,29,Artist_deduced
11713,songs similar to leroyce team | ft t gallardo & loners club | hiphop recommendation,35,59,Artist_deduced
11714,looking for the similar beat tune flow | nxworries droogs,40,57,Artist_or_WoA_deduced
11717,autopsychosis by katalepsy is my favorite brutal slam album | any bands like them,17,26,Artist_deduced
11719,songs similar to seizure of power or the drowning,17,33,Artist_or_WoA_deduced
11719,songs similar to seizure of power or the drowning,36,49,Artist_or_WoA_deduced
11721,kyg holiday on my way,0,11,Artist_deduced
11721,kyg holiday on my way,12,21,WoA_deduced
11722,nature boy remix,0,10,WoA_deduced
11724,something similar to burden in my hand by soundgarden,21,38,WoA_deduced
11724,something similar to burden in my hand by soundgarden,42,53,Artist_known
11725,songs like in the city nyxen,11,22,WoA_deduced
11725,songs like in the city nyxen,23,28,Artist_known
11729,any bands albums similar to spiderland by slint,28,38,WoA_deduced
11729,any bands albums similar to spiderland by slint,42,47,Artist_deduced
11732,music like souls of fire firelink shrine or nameless song from dark souls,10,24,Artist_known
11732,music like souls of fire firelink shrine or nameless song from dark souls,63,73,Artist_deduced
11732,music like souls of fire firelink shrine or nameless song from dark souls,44,57,WoA_deduced
11732,music like souls of fire firelink shrine or nameless song from dark souls,25,41,Artist_or_WoA_deduced
11733,songs similar to jin tekken theme,16,27,WoA_deduced
11738,something with a garage heavy fuzz sound similar to this track by ty segall,66,75,Artist_deduced
11741,song similar to naïve the shroud,22,32,WoA_deduced
11741,song similar to naïve the shroud,16,21,Artist_known
11743,suggest some music similar to fleet foxes,29,41,Artist_or_WoA_deduced
11744,looking for music like shakey graves,23,36,Artist_deduced
11748,looking for songs like i cant stop drinking by the menzingers,23,43,WoA_deduced
11748,looking for songs like i cant stop drinking by the menzingers,47,61,Artist_deduced
11749,southern gothic dark johnny cash true detective season 1 intro,21,32,Artist_known
11749,southern gothic dark johnny cash true detective season 1 intro,32,47,WoA_deduced
11752,which songs like prayer in c are really slow and mellow | bonus points if they contain unorthodox instruments such as the flute,17,28,WoA_known
11753,caleb cruise u mad | ft kaleb mitchell,0,12,Artist_deduced
11753,caleb cruise u mad | ft kaleb mitchell,13,18,WoA_deduced
11753,caleb cruise u mad | ft kaleb mitchell,24,38,Artist_deduced
11754,old school rock pop like a ha led zepplin or the eagles,25,29,Artist_known
11754,old school rock pop like a ha led zepplin or the eagles,30,41,Artist_known
11754,old school rock pop like a ha led zepplin or the eagles,45,55,Artist_known
11756,i like wow main themes more like this,7,10,Artist_known
11758,music like this | filmmaker the love market specific songs,18,27,Artist_or_WoA_deduced
11761,do you know some great songs or bands with good vibes like viene de mi de la yegros,59,83,Artist_or_WoA_deduced
11763,music like sun high from the us dawn of the dead soundtrack,11,19,WoA_deduced
11763,music like sun high from the us dawn of the dead soundtrack,32,48,Artist_or_WoA_deduced
11764,need something similar to lcd soundsystem in my ears,26,41,Artist_known
11765,suggestions for artists similar to harry chapin and jim croce,35,47,Artist_deduced
11765,suggestions for artists similar to harry chapin and jim croce,52,61,Artist_deduced
11767,hans zimmers interstellar music type musics,0,12,Artist_known
11767,hans zimmers interstellar music type musics,13,25,WoA_known
11771,looking for something similar to runaway jamiroquai,41,51,Artist_known
11771,looking for something similar to runaway jamiroquai,33,40,WoA_deduced
11773,looking for bittersweet soft rock love songs similar to mathematics by cherry ghost,71,85,Artist_deduced
11773,looking for bittersweet soft rock love songs similar to mathematics by cherry ghost,56,67,WoA_deduced
11774,dark and heavy blues rock like early sabbath,31,44,Artist_or_WoA_deduced
11777,looking for bands or music that are like they might be giants,41,61,Artist_deduced
11778,looking for female artists like the mountain goats,32,50,Artist_deduced
11782,songs like the pointer sisters im so excited,11,30,Artist_known
11782,songs like the pointer sisters im so excited,31,44,WoA_known
11784,looking for music similar to cant stop wont stop stop drop roll,29,48,Artist_or_WoA_deduced
11784,looking for music similar to cant stop wont stop stop drop roll,49,63,Artist_or_WoA_deduced
11786,happy big band jazz like jump up super star,25,43,Artist_or_WoA_deduced
11788,songs like seven lions serpent of old feat | ciscandra nostalgia,11,22,Artist_or_WoA_deduced
11788,songs like seven lions serpent of old feat | ciscandra nostalgia,23,42,Artist_or_WoA_deduced
11788,songs like seven lions serpent of old feat | ciscandra nostalgia,45,64,Artist_or_WoA_deduced
11789,similar songs to the very beginning of tuesday by burak yeter,49,61,Artist_deduced
11789,similar songs to the very beginning of tuesday by burak yeter,17,46,WoA_deduced
11790,rub a dub dub by daniel hart similar classical music,17,28,Artist_deduced
11793,artists like last dinosaurs and two doors cinemas club,13,27,Artist_deduced
11796,any cute romantic esque christmas songs similar to snsds diamond,51,64,Artist_deduced
11793,artists like last dinosaurs and two doors cinemas club,32,54,Artist_known
11795,franco battiato one of my favorites,0,15,Artist_deduced
11802,looking for music like kaleo,23,28,Artist_or_WoA_deduced
11803,got really into mgmt recently but theres not enough of their stuff | any other bands that have that same sort of odd sound about them,16,20,Artist_deduced
11804,similar to frank ocean,11,22,Artist_known
11805,looking for something similar to koven the glitch mob or mark petrie,33,38,Artist_deduced
11805,looking for something similar to koven the glitch mob or mark petrie,38,53,WoA_deduced
11805,looking for something similar to koven the glitch mob or mark petrie,57,68,Artist_known
11806,songs similar to walk & skank jah screechy,17,29,WoA_deduced
11806,songs similar to walk & skank jah screechy,29,42,Artist_deduced
11814,looking for music with a similar feel to sarah mclachlans fear,41,57,Artist_deduced
11816,recently started listening to the imagined village | any other suggestions for similar music,30,50,Artist_or_WoA_deduced
11818,songs voices like this one | from netflix luke cage | raphael saadiq angel,42,51,Artist_known
11818,songs voices like this one | from netflix luke cage | raphael saadiq angel,54,74,Artist_deduced
11821,looking for music like i killed the prom queen but without all the screaming,23,40,Artist_or_WoA_deduced
