mention,type,query,wiki_link,wikidata_type,wiki_name,exposure
the talking heads,Artist,looking for vocals that are occasionally yelled with some voice cracking like modest mouse and the talking heads | no screamo | female vocals would be cool,https://en.wikipedia.org/wiki/Talking_Heads,rock group,Talking_Heads,5.595224894091164
doom,WoA,looking for something similar to the doom 2016 soundtrack,https://en.wikipedia.org/wiki/Doom_(EP),extended play,Doom_(EP),0.0483413154422791
hobo johnson,Artist,im looking for artists similar to hobo johnson and dandelion hands artists that use spoken word,https://en.wikipedia.org/wiki/Hobo_Johnson,human,Hobo_Johnson,0.0
dandelion hands,Artist,im looking for artists similar to hobo johnson and dandelion hands artists that use spoken word,,,,0.0
barenaked ladies,Artist,there any other good 90s 2000s pop alternative rock bands like barenaked ladies,https://en.wikipedia.org/wiki/Barenaked_Ladies,rock group,Barenaked_Ladies,4.93553906528461
sebastien telliers,Artist,something relaxing and kind of hollow like sebastien telliers look,https://en.wikipedia.org/wiki/S%C3%A9bastien_Tellier,human,S%C3%A9bastien_Tellier,2.5826876649277217
look,WoA,something relaxing and kind of hollow like sebastien telliers look,https://en.wikipedia.org/wiki/Look_(Song_for_Children),musical work/composition,Look_(Song_for_Children),0.19823155851841
neil cicierega,Artist,weird request based on meme remixes | neil cicierega,https://en.wikipedia.org/wiki/Neil_Cicierega,human,Neil_Cicierega,2.083299924216533
feels like summer,WoA,songs similar to feels like summer | by donald glover,https://en.wikipedia.org/wiki/Feels_Like_Summer_(Childish_Gambino_song),single,Feels_Like_Summer_(Childish_Gambino_song),0.0
donald glover,Artist,songs similar to feels like summer | by donald glover,https://en.wikipedia.org/wiki/Donald_Glover,human,Donald_Glover,4.559153054829544
depeche modes,Artist,looking for something as depeche modes black celebration,https://en.wikipedia.org/wiki/Depeche_Mode,musical group,Depeche_Mode,6.285366112294382
black celebration,WoA,looking for something as depeche modes black celebration,https://en.wikipedia.org/wiki/Black_Celebration,album,Black_Celebration,2.2787294304549306
stranger things,WoA,watching stranger things and drive synthy suggestions,https://en.wikipedia.org/wiki/Stranger_Things_(Kygo_song),single,Stranger_Things_(Kygo_song),0.0
drive,WoA,watching stranger things and drive synthy suggestions,https://en.wikipedia.org/wiki/Drive_(R.E.M._song),song,Drive_(R.E.M._song),1.4988839868496076
mcafferty,Artist,band similar to mcafferty and hotel books,,,,0.0
hotel books,Artist,band similar to mcafferty and hotel books,https://en.wikipedia.org/wiki/Hotel_Books,human,Hotel_Books,0.8894810907417288
pornography,WoA,really enjoyed the album pornography by the cure | anything similar,https://en.wikipedia.org/wiki/Pornography_(album),album,Pornography_(album),2.179281584695003
the cure,Artist,really enjoyed the album pornography by the cure | anything similar,https://en.wikipedia.org/wiki/The_Cure,musical group,The_Cure,6.074007734965191
 linkin parks,Artist,music similar to cringe linkin parks remix album reanimation,https://en.wikipedia.org/wiki/Linkin_Park,rock group,Linkin_Park,5.981412668407696
reanimation,WoA,music similar to cringe linkin parks remix album reanimation,https://en.wikipedia.org/wiki/Reanimation_(Linkin_Park_album),album,Reanimation_(Linkin_Park_album),2.00921761842576
neros,Artist,similar music to neros into the past,https://en.wikipedia.org/wiki/Nero_(band),musical group,Nero_(band),3.006991873350101
into the past,WoA,similar music to neros into the past,,,,0.0
deez nuts,Artist,looking for bands similar to deez nuts hacktivist dvsr,https://en.wikipedia.org/wiki/Deez_Nuts_(band),musical group,Deez_Nuts_(band),2.322479215360625
hacktivist,Artist,looking for bands similar to deez nuts hacktivist dvsr,https://en.wikipedia.org/wiki/Hacktivist_(band),musical group,Hacktivist_(band),1.3923498225971311
dvsr,Artist,looking for bands similar to deez nuts hacktivist dvsr,https://en.wikipedia.org/wiki/DVSR,musical group,DVSR,0.0
waterflame,Artist,looking for any music similar to waterflame cant sleep,,,,0.0
cant sleep,WoA,looking for any music similar to waterflame cant sleep,,,,0.0
yes to heaven,WoA,songs similar to yes to heaven by lana del rey,,,,0.0
lana del rey,Artist,songs similar to yes to heaven by lana del rey,https://en.wikipedia.org/wiki/Lana_Del_Rey,human,Lana_Del_Rey,5.074174549179384
napkins,WoA,songs similar to napkins riz la vie,,,,0.0
riz la vie,Artist,songs similar to napkins riz la vie,,,,0.0
otis taylor,Artist,artists like this | otis taylor nasty letter,https://en.wikipedia.org/wiki/Otis_Taylor_(musician),human,Otis_Taylor_(musician),1.7522392510627078
nasty letter,WoA,artists like this | otis taylor nasty letter,,,,0.0
portico quartet,Artist,any suggestions for music similar to portico quartet,https://en.wikipedia.org/wiki/Portico_Quartet,musical group,Portico_Quartet,1.8359821801738128
swallowing dust,WoA,songs like swallowing dust | or пыль глотаю,,,,0.0
пыль глотаю,WoA,songs like swallowing dust | or пыль глотаю,,,,0.0
i dont miss you anymore,WoA,looking for similar music like i dont miss you anymore by lisa ekdahl,,,,0.0
lisa ekdahl,Artist,looking for similar music like i dont miss you anymore by lisa ekdahl,https://en.wikipedia.org/wiki/Lisa_Ekdahl,human,Lisa_Ekdahl,1.8623047133548027
tyler childers,Artist,something like tyler childers,https://en.wikipedia.org/wiki/Tyler_Childers,human,Tyler_Childers,0.3110883660688586
smallpools,Artist,music like passenger side | smallpools,https://en.wikipedia.org/wiki/Smallpools,musical group,Smallpools,1.4159910880529978
passenger side,WoA,music like passenger side | smallpools,https://en.wikipedia.org/wiki/Passenger_Side,film,Passenger_Side,0.1902047178988173
locateemilio,Artist,locateemilio jordan year,,,,0.0
 jordan year,WoA,locateemilio jordan year,,,,0.0
rise against,Artist,artists like rise against,https://en.wikipedia.org/wiki/Rise_Against,rock group,Rise_Against,4.618100721271983
eluveitie,Artist,a music band like eluveitie,https://en.wikipedia.org/wiki/Eluveitie,rock group,Eluveitie,2.9995612290886235
michael gira,Artist,im really into michael gira & swans and jeff mangum and neutral milk hotel | any other bands with fascinating frontmen with a truly unique sound to them,https://en.wikipedia.org/wiki/Michael_Gira,human,Michael_Gira,3.2067926366103645
swans,Artist,im really into michael gira & swans and jeff mangum and neutral milk hotel | any other bands with fascinating frontmen with a truly unique sound to them,https://en.wikipedia.org/wiki/Swans_(band),musical group,Swans_(band),4.224308209291371
jeff mangum,Artist,im really into michael gira & swans and jeff mangum and neutral milk hotel | any other bands with fascinating frontmen with a truly unique sound to them,https://en.wikipedia.org/wiki/Neutral_Milk_Hotel,musical group,Neutral_Milk_Hotel,3.717634138811059
neutral milk hotel,Artist,im really into michael gira & swans and jeff mangum and neutral milk hotel | any other bands with fascinating frontmen with a truly unique sound to them,https://en.wikipedia.org/wiki/Neutral_Milk_Hotel,musical group,Neutral_Milk_Hotel,3.717634138811059
seventeen,WoA,what songs are similar to seventeen by sjowgren,https://en.wikipedia.org/wiki/Seventeen_(Ladytron_song),song,Seventeen_(Ladytron_song),0.6021553455316955
sjowgren,Artist,what songs are similar to seventeen by sjowgren,,,,0.0
somebody that i used to know,WoA,can some one find something similar to somebody that i used to know by gotye and passionfruit by drake,https://en.wikipedia.org/wiki/Somebody_That_I_Used_to_Know,single,Somebody_That_I_Used_to_Know,3.1073122819464345
gotye,Artist,can some one find something similar to somebody that i used to know by gotye and passionfruit by drake,https://en.wikipedia.org/wiki/Gotye,human,Gotye,4.007043171871311
passionfruit,WoA,can some one find something similar to somebody that i used to know by gotye and passionfruit by drake,https://en.wikipedia.org/wiki/Passionfruit_(song),song,Passionfruit_(song),0.7155200368116379
drake,Artist,can some one find something similar to somebody that i used to know by gotye and passionfruit by drake,https://en.wikipedia.org/wiki/Drake_(musician),human,Drake_(musician),6.552086778216472
i wish,WoA,looking for music similar to i wish by skee lo,https://en.wikipedia.org/wiki/I_Wish_(Morning_Musume_song),single,I_Wish_(Morning_Musume_song),0.2558000552454782
skee lo,Artist,looking for music similar to i wish by skee lo,https://en.wikipedia.org/wiki/Skee-Lo,human,Skee-Lo,2.1522036323378853
marilyn manson,Artist,similar artists to marilyn manson | other than nine inch nails,https://en.wikipedia.org/wiki/Marilyn_Manson_(band),rock group,Marilyn_Manson_(band),4.888928788685695
nine inch nails,Artist,similar artists to marilyn manson | other than nine inch nails,https://en.wikipedia.org/wiki/Nine_Inch_Nails,musical group,Nine_Inch_Nails,6.2073476484124885
rage against the machine,Artist,i listen to everything from musical theater to rage against the machine so im not partial to genre just looking for songs that make you wanna dance sing along,https://en.wikipedia.org/wiki/Rage_Against_the_Machine,rock group,Rage_Against_the_Machine,5.500131794744316
kid cudis,Artist,songs similar to the chorus of kid cudis scott mescudi vs the world,https://en.wikipedia.org/wiki/Kid_Cudi,human,Kid_Cudi,4.655602130249489
scott mescudi vs the world,WoA,songs similar to the chorus of kid cudis scott mescudi vs the world,,,,0.0
steve lacy,Artist,songs artists similar to yeek steve lacy,https://en.wikipedia.org/wiki/Steve_Lacy_(saxophonist),human,Steve_Lacy_(saxophonist),0.0
yeek,Artist,songs artists similar to yeek steve lacy,https://en.wikipedia.org/wiki/Kanye_West,human,Kanye_West,7.385428427109876
joji,Artist,something like joji,https://en.wikipedia.org/wiki/Joji_(musician),human,Joji_(musician),0.0
ваnk rоbbеrу рrоlоguе,WoA,еріс sоngs lіkе ваnk rоbbеrу рrоlоguе & brоthеrs іn аrms,,,,0.0
brоthеrs іn аrms,WoA,еріс sоngs lіkе ваnk rоbbеrу рrоlоguе & brоthеrs іn аrms,,,,0.0
old town road,WoA,music suggestions similar to old town road by lil nas x,https://en.wikipedia.org/wiki/Old_Town_Road,single,Old_Town_Road,0.0
lil nas x,Artist,music suggestions similar to old town road by lil nas x,https://en.wikipedia.org/wiki/Lil_Nas_X,human,Lil_Nas_X,0.0
onerepublics,Artist,looking for songs similar to the first 40ish seconds of onerepublics feel again,https://en.wikipedia.org/wiki/OneRepublic,musical group,OneRepublic,4.849601686894619
feel again,WoA,looking for songs similar to the first 40ish seconds of onerepublics feel again,https://en.wikipedia.org/wiki/Feel_Again,single,Feel_Again,0.5491210563390467
the magnetic fields,Artist,bands that sound like the magnetic fields i dont want to get over you,https://en.wikipedia.org/wiki/The_Magnetic_Fields,musical group,The_Magnetic_Fields,3.611295981856996
i dont want to get over you,WoA,bands that sound like the magnetic fields i dont want to get over you,,,,0.0
hey there delilah,WoA,songs similar to hey there delilah by the plain white ts,https://en.wikipedia.org/wiki/Hey_There_Delilah,single,Hey_There_Delilah,2.046145792723607
plain white ts,Artist,songs similar to hey there delilah by the plain white ts,https://en.wikipedia.org/wiki/Plain_White_T%27s,musical group,Plain_White_T%27s,3.868864784482776
jamiroquai,Artist,looking for music similiar to jamiroquai,https://en.wikipedia.org/wiki/Jamiroquai,musical group,Jamiroquai,4.870705396638222
nandemonaiya,WoA,songs like nandemonaiya | i dont care about the lyrics just the music is what i like | the powerful piano sound,,,,0.0
a star is born,WoA,bradley coopers song in a star is born trailer,https://en.wikipedia.org/wiki/A_Star_Is_Born_(1976_soundtrack),album,A_Star_Is_Born_(1976_soundtrack),0.0
bradley coopers,Artist,bradley coopers song in a star is born trailer,https://en.wikipedia.org/wiki/Bradley_Cooper,human,Bradley_Cooper,4.243519613544878
sicario,WoA,looking for minimalistic rhytmic music like sicario ost,https://en.wikipedia.org/wiki/Sicario_(album),album,Sicario_(album),0.0
jon bellion,Artist,music like jon bellion,https://en.wikipedia.org/wiki/Jon_Bellion,human,Jon_Bellion,2.245796259530268
maniac,WoA,music similar to maniac | netflix series,https://en.wikipedia.org/wiki/Maniac_(Michael_Sembello_song),single,Maniac_(Michael_Sembello_song),1.7191825124500628
i was feeling down i found a nice witch and were friends,WoA,what songs feel similar to i was feeling down i found a nice witch and were friends by in love with a ghost,,,,0.0
in love with a ghost,Artist,what songs feel similar to i was feeling down i found a nice witch and were friends by in love with a ghost,,,,0.0
routainen maa,WoA,looking for a song like routainen maa | finnish song,,,,0.0
free,WoA,songs like free by rudimental or lost boy by ruth b | i like songs that tell stories,,,,0.0
rudimental,Artist,songs like free by rudimental or lost boy by ruth b | i like songs that tell stories,https://en.wikipedia.org/wiki/Rudimental,musical group,Rudimental,3.615143818444265
lost boy,WoA,songs like free by rudimental or lost boy by ruth b | i like songs that tell stories,https://en.wikipedia.org/wiki/Lost_Boy_(MyChildren_MyBride_album),album,Lost_Boy_(MyChildren_MyBride_album),0.0
ruth b,Artist,songs like free by rudimental or lost boy by ruth b | i like songs that tell stories,https://en.wikipedia.org/wiki/Ruth_(band),musical group,Ruth_(band),1.5002939783225973
red hot chili peppers,Artist,im a huge fan of the red hot chili peppers | what other artists might i like,https://en.wikipedia.org/wiki/Red_Hot_Chili_Peppers,rock group,Red_Hot_Chili_Peppers,6.46590908197542
gorillaz,Artist,albums or bands in the style of the first gorillaz album,https://en.wikipedia.org/wiki/Gorillaz,virtual band,Gorillaz,5.187996574407592
 look at me now,WoA,looking for something similar to look at me now by electric light orchestra,https://en.wikipedia.org/wiki/Look_at_Me_Now_(Chris_Brown_song),single,Look_at_Me_Now_(Chris_Brown_song),2.2639996415389483
electric light orchestra,Artist,looking for something similar to look at me now by electric light orchestra,https://en.wikipedia.org/wiki/Electric_Light_Orchestra,musical group,Electric_Light_Orchestra,5.216232590431394
make you feel good,WoA,stumbled upon some blues edm style stuff | things like make you feel good by zoogma and home by moontricks,,,,0.0
zoogma,Artist,stumbled upon some blues edm style stuff | things like make you feel good by zoogma and home by moontricks,,,,0.0
home,WoA,stumbled upon some blues edm style stuff | things like make you feel good by zoogma and home by moontricks,https://en.wikipedia.org/wiki/Home_(Depeche_Mode_song),musical work/composition,Home_(Depeche_Mode_song),1.943261119455292
moontricks,Artist,stumbled upon some blues edm style stuff | things like make you feel good by zoogma and home by moontricks,,,,0.0
the hound and the fox,WoA,similar songs to the hound and the fox by i the mighty,https://en.wikipedia.org/wiki/The_Fox_and_the_Hound,animated feature film,The_Fox_and_the_Hound,3.355069747160771
i the mighty,Artist,similar songs to the hound and the fox by i the mighty,https://en.wikipedia.org/wiki/I_the_Mighty,musical group,I_the_Mighty,0.6868835894929788
lissie,Artist,female singers similar to lissie jess glynne or the pretty reckless,https://en.wikipedia.org/wiki/Lissi_Dancefloor_Disaster,musical group,Lissi_Dancefloor_Disaster,0.0
 jess glynne,Artist,female singers similar to lissie jess glynne or the pretty reckless,https://en.wikipedia.org/wiki/Jess_Glynne,human,Jess_Glynne,3.2976351283749974
the pretty reckless,Artist,female singers similar to lissie jess glynne or the pretty reckless,https://en.wikipedia.org/wiki/The_Pretty_Reckless,musical group,The_Pretty_Reckless,3.036611997968942
oloff,Artist,oloff stomach sound,https://en.wikipedia.org/wiki/Oloff_Smith,human,Oloff_Smith,0.0
stomach sound,WoA,oloff stomach sound,,,,0.0
 they might be giants,Artist,i cant listen to anything but they might be giants | help,https://en.wikipedia.org/wiki/They_Might_Be_Giants,musical group,They_Might_Be_Giants,4.945084261384688
florence + the machine,Artist,suggest for me music like the violin cello start of this florence + the machine concert,https://en.wikipedia.org/wiki/Florence_and_the_Machine,rock group,Florence_and_the_Machine,4.922687268610648
blonde redhead,Artist,just got into blonde redhead,https://en.wikipedia.org/wiki/Blonde_Redhead,musical group,Blonde_Redhead,3.418886613468386
pisces,WoA,songs similar to pisces by jinjer please,https://en.wikipedia.org/wiki/Pisces_(album),album,Pisces_(album),0.187011377597777
jinjer,Artist,songs similar to pisces by jinjer please,https://en.wikipedia.org/wiki/Jinjer,musical group,Jinjer,0.0
season,WoA,season by ghost halo,https://en.wikipedia.org/wiki/Season_(film),film,Season_(film),0.8105746529784383
ghost halo,Artist,season by ghost halo,,,,0.0
eminem,Artist,are there any rappers that are spiritual successors to eminem,https://en.wikipedia.org/wiki/Eminem,human,Eminem,6.941731741392774
whats a girl to do,WoA,any songs similar to this one | whats a girl to do by fatima yamaha,,,,0.0
fatima yamaha,Artist,any songs similar to this one | whats a girl to do by fatima yamaha,,,,0.0
banks,Artist,dark indie artists playlists like banks lo fang chaos chaos and josef salvat,https://en.wikipedia.org/wiki/Banks_(singer),human,Banks_(singer),2.872152619632404
lo fang,Artist,dark indie artists playlists like banks lo fang chaos chaos and josef salvat,https://en.wikipedia.org/wiki/Lo-Fang,human,Lo-Fang,0.3055092457084978
 chaos chaos,Artist,dark indie artists playlists like banks lo fang chaos chaos and josef salvat,https://en.wikipedia.org/wiki/Chaos_Chaos,musical group,Chaos_Chaos,1.7977163696577048
josef salvat,Artist,dark indie artists playlists like banks lo fang chaos chaos and josef salvat,https://en.wikipedia.org/wiki/Josef_Salvat,human,Josef_Salvat,0.7791228612653232
me and your mama,WoA,songs similar to me and your mama,https://en.wikipedia.org/wiki/Me_and_Your_Mama,single,Me_and_Your_Mama,0.1023980115558114
young,WoA,songs or playlist similar to young by frankie cosmos,,,,0.0
frankie cosmos,Artist,songs or playlist similar to young by frankie cosmos,https://en.wikipedia.org/wiki/Greta_Kline,human,Greta_Kline,0.0
man on fire,WoA,man on fire | relax,https://en.wikipedia.org/wiki/Man_on_Fire_(2018_film),film,Man_on_Fire_(2018_film),0.0
ennio morricones,Artist,suggest similar type of music as ennio morricones,https://en.wikipedia.org/wiki/Ennio_Morricone,human,Ennio_Morricone,5.367131504050734
midnas desperate hour,WoA,songs with the same vibe as midnas desperate hour,,,,0.0
tonight is the night i die,WoA,looking for songs similar to tonight is the night i die,,,,0.0
death letter,WoA,what songs are similar to death letter and little bird by the white stripes,https://en.wikipedia.org/wiki/Death_Letter,musical work/composition,Death_Letter,1.058318210906311
little bird,WoA,what songs are similar to death letter and little bird by the white stripes,https://en.wikipedia.org/wiki/Little_Bird_(Annie_Lennox_song),single,Little_Bird_(Annie_Lennox_song),1.1186232761459234
the white stripes,Artist,what songs are similar to death letter and little bird by the white stripes,https://en.wikipedia.org/wiki/The_White_Stripes,musical group,The_White_Stripes,5.4487110778542505
i talk to the wind,WoA,songs like i talk to the wind by king crimson,https://en.wikipedia.org/wiki/I_Talk_to_the_Wind,musical work/composition,I_Talk_to_the_Wind,0.3573957136346379
king crimson,Artist,songs like i talk to the wind by king crimson,https://en.wikipedia.org/wiki/King_Crimson,rock group,King_Crimson,5.69102309911635
jesse james,Artist,im addicted to jesse james | recommend music that fits this kind of content,https://en.wikipedia.org/wiki/Jesse_Rutherford_(singer),human,Jesse_Rutherford_(singer),0.6389052267226134
prince apollo,Artist,simba shan sixteen ft prince apollo,,,,0.0
sixteen,WoA,simba shan sixteen ft prince apollo,https://en.wikipedia.org/wiki/Sixteen_(Ellie_Goulding_song),single,Sixteen_(Ellie_Goulding_song),0.0
simba shan,Artist,simba shan sixteen ft prince apollo,,,,0.0
steel drivers,Artist,artists similar to steel drivers,,,,0.0
dweeb,WoA,teenage wrist dweeb,,,,0.0
teenage wrist,Artist,teenage wrist dweeb,https://en.wikipedia.org/wiki/Teenage_Wrist,musical group,Teenage_Wrist,0.0
hit this hard,WoA,songs like hit this hard post malone,,,,0.0
post malone,Artist,songs like hit this hard post malone,https://en.wikipedia.org/wiki/Post_Malone,human,Post_Malone,3.190445301013062
styxs,Artist,songs like styxs renegade,https://en.wikipedia.org/wiki/Styx_(band),rock group,Styx_(band),4.864287404291332
renegade,WoA,songs like styxs renegade,https://en.wikipedia.org/wiki/Renegade_(HammerFall_album),album,Renegade_(HammerFall_album),0.8384449589174015
segundo romance,WoA,any recommendations for songs like the segundo romance album by luis miguel,https://en.wikipedia.org/wiki/Segundo_Romance,album,Segundo_Romance,1.6954514245584758
luis miguel,Artist,any recommendations for songs like the segundo romance album by luis miguel,https://en.wikipedia.org/wiki/Luis_Miguel,human,Luis_Miguel,4.520282349508959
cheshme man,WoA,indian songs like cheshme man by dariush,,,,0.0
dariush,Artist,indian songs like cheshme man by dariush,https://en.wikipedia.org/wiki/Dariush_(singer),human,Dariush_(singer),0.0
ariana grandes,Artist,suggest me a genre playlist anything that sounds like ariana grandes vocals on calvin hariss heatstroke,https://en.wikipedia.org/wiki/Ariana_Grande,human,Ariana_Grande,5.294470740072031
calvin hariss,Artist,suggest me a genre playlist anything that sounds like ariana grandes vocals on calvin hariss heatstroke,,,,0.0
heatstroke,WoA,suggest me a genre playlist anything that sounds like ariana grandes vocals on calvin hariss heatstroke,https://en.wikipedia.org/wiki/Heatstroke_(song),single,Heatstroke_(song),0.6251960681849766
stoic,Artist,stoic one note style artists,,,,0.0
santana,Artist,victory is won santana,https://en.wikipedia.org/wiki/Santana_(band),rock group,Santana_(band),5.413214815262661
victory is won,WoA,victory is won santana,,,,0.0
redlines,WoA,looking for music that sounds like redlines ost,,,,0.0
 zach callisons,Artist,more music like zach callisons a picture perfect hollywood heartbreak | sad stuff,https://en.wikipedia.org/wiki/Zach_Callison,human,Zach_Callison,1.5822941244992403
a picture perfect hollywood heartbreak,WoA,more music like zach callisons a picture perfect hollywood heartbreak | sad stuff,,,,0.0
r kellys,Artist,songs like r kellys trapped in the closet long story telling songs with lots of twists | any genre,"https://en.wikipedia.org/wiki/Tyler,_the_Creator",human,"Tyler,_the_Creator",4.158994174584196
 trapped in the closet,WoA,songs like r kellys trapped in the closet long story telling songs with lots of twists | any genre,https://en.wikipedia.org/wiki/Trapped_in_the_Closet_(Chapter_1),single,Trapped_in_the_Closet_(Chapter_1),0.409933134107538
tyler the creator,Artist,artists like tyler the creator,,,,0.0
better give u up,WoA,looking for similar songs to better give u up fkj,,,,0.0
fkj,Artist,looking for similar songs to better give u up fkj,https://en.wikipedia.org/wiki/Freundeskreis,musical group,Freundeskreis,1.318319464404027
is there anybody out there,WoA,looking for something low and melancholic like is there anybody out there by pink floyd or no quarter by led zeppelin,https://en.wikipedia.org/wiki/Is_There_Anybody_Out_There%3F_The_Wall_Live_1980%E2%80%9381,album,Is_There_Anybody_Out_There%3F_The_Wall_Live_1980%E2%80%9381,1.9613911147935248
