preprocessed,original
looking for something similar to the doom 2016 soundtrack,Looking for something similar to the Doom 2016 soundtrack
im looking for artists similar to hobo johnson and dandelion hands artists that use spoken word,"I’m looking for artists similar to hobo Johnson and dandelion hands, artists that use spoken word"
there any other good 90s 2000s pop alternative rock bands like barenaked ladies,There any other good 90s/2000s Pop Alternative Rock bands like Barenaked Ladies?
songs with the theme of good people corrupted by rage and pain wanting to see everything burn,Songs with the theme of good people corrupted by rage and pain wanting to see everything burn.
quality rappers,Quality rappers?
need some songs similar to this,Need some songs similar to this
euphoric or blissful chorus,Euphoric or Blissful Chorus'
looking for upbeat songs,Looking for upbeat songs
something relaxing and kind of hollow like sebastien telliers look,"Something relaxing and kind of hollow like Sebastien Tellier's ""Look"""
good talking fold or story telling music,Good talking fold or story telling music?
weird request based on meme remixes | neil cicierega,"Weird request - based on ""meme remixes"" (Neil Cicierega)"
songs similar to feels like summer | by donald glover,Songs similar to Feels like Summer (by Donald Glover)
looking for something as depeche modes black celebration,Looking For Something As Depeche Mode's - Black Celebration
watching stranger things and drive synthy suggestions,Watching Stranger Things and Drive... Synthy Suggestions?
what are some good songs about an unwanted break up due to a long distance move,What are some good songs about an unwanted break up due to a long distance move?
band similar to mcafferty and hotel books,Band similar to Mcafferty and Hotel Books?
artists that make music like this,Artists that make music like this~
really enjoyed the album pornography by the cure | anything similar,Really enjoyed the album Pornography by the Cure. Anything similar?
looking for new music for my dad,Looking for new music for my dad
acoustic pieces having a semi gloomy dark country style,Acoustic pieces having a semi-gloomy/dark-country style
i need more music like this please help,"I need more music like this, please help."
uppity psychedelic guitar riffs,Uppity psychedelic guitar riffs
looking for songs that can give me this same feeling,Looking for songs that can give me this same feeling!
songs for when you are super tired but you still need to keep working,Songs for when you are super tired but you still need to keep working?
looking for slow happy sad music thats not weepy,Looking for slow happy/sad music that's not weepy
music similar to cringe linkin parks remix album reanimation,"Music similar to *cringe* Linkin Park's remix album, Reanimation?"
looking for a unholy choir song,"Looking for a ""unholy choir"" song ?"
looking for anything punk protopunk,Looking for anything punk/protopunk
similar music to neros into the past,Similar Music To Nero's Into The Past
looking for bands similar to deez nuts hacktivist dvsr,"Looking for Bands similar to: Deez Nuts, Hacktivist, DVSR ..."
tik tok hits tik tok songs,Tik Tok Hits - Tik Tok Songs
looking for any music similar to waterflame cant sleep,looking for Any music similar to Waterflame - Can't Sleep
suggestions for throwback playlist,Suggestions for Throwback Playlist
looking for vocoder style smooth electronic dreamy songs with a few catchy riffs,"looking for vocoder-style, smooth, electronic, dreamy songs with a few catchy riffs!!"
songs similar to yes to heaven by lana del rey,Songs similar to Yes To Heaven by Lana Del Rey
help make my playlist,Help make my playlist
songs similar to napkins riz la vie,Songs similar to Napkins - Riz La Vie
show me a song that i will fall in love with,Show me a song that I will fall in love with.
artists like this | otis taylor nasty letter,Artists like this (Otis Taylor - Nasty Letter)
any suggestions for music similar to portico quartet,any suggestions for music similar to Portico Quartet?
recommend any songs similar to this one,recommend any songs similar to this one?
songs like swallowing dust | or пыль глотаю,Songs like Swallowing Dust (or Пыль Глотаю)
looking for similar music like i dont miss you anymore by lisa ekdahl,Looking for similar music like I don't miss you anymore by Lisa Ekdahl
something like tyler childers,Something Like Tyler Childers
looking for this songs name,Looking for this song's name
all songs about bugs | earthworms and tarantulas | help me with my breakup,All songs about Bugs! (Earthworms and Tarantulas) Help me with my breakup!
basically looking for something like this without the wub wub,Basically looking for something like this without the wub wub
edm funk electro music with rather unpredictable beats and rhythms,EDM/Funk/electro music with rather unpredictable beats and rhythms?
what are some good acoustic guitar albums,What are some good acoustic guitar albums?
so im going on holiday to a summer resort in a few days,So I'm going on Holiday to a summer resort in a few days...
any songs like this one,Any songs like this one?
music like passenger side | smallpools,Music like passenger side (smallpools)
chill playlist song suggestions,Chill Playlist Song Suggestions
trap ish remix of popular songs,Trap ish remix of popular songs
what kind of genre is this music,What kind of genre is this music?
i need help finding more ambient downtempo trip hop songs for a playlist,I need help finding more ambient/downtempo/trip-hop songs for a playlist.
locateemilio jordan year,LocateEmilio - Jordan Year
artists like rise against,Artists like rise against?
a music band like eluveitie,A music band like eluveitie
need songs to bomb down a ski hill to,Need Songs to Bomb Down a Ski Hill to
80s synth artists,80s Synth artists?
looking for slow build up ambient music,Looking for slow build up ambient music!
can you recommend me music that fills you with the determination to go after your goals,Can you recommend me music that fills you with the determination to go after your goals?
im really into michael gira & swans and jeff mangum and neutral milk hotel | any other bands with fascinating frontmen with a truly unique sound to them,"I'm really into Michael Gira & Swans, and Jeff Mangum and Neutral Milk Hotel. Any other bands with fascinating frontmen with a truly unique sound to them?"
crushed by a crush | any songs similar to these,Crushed by a crush. Any songs similar to these?
lyrically similar songs,Lyrically similar songs??
looking for something hip hop rap rnb dancehall,Looking for something hip hop/rap/rnb/dancehall
looking for instrumental music to study to that has a feeling of magic wonder to it that isnt too schmaltzy,"Looking for instrumental music to study to that has a feeling of magic/wonder to it, that isn't too schmaltzy."
looking for depressive thought validation music,Looking for depressive thought validation music
music about creativity or the creative process,Music about creativity or the creative process.
looking down mood sad music chill,Looking Down Mood/Sad Music/Chill
piano eclectic chill modern,"Piano: Eclectic, Chill, Modern!"
what songs are similar to seventeen by sjowgren,What songs are similar to Seventeen by Sjowgren?
similar songs to the following,Similar songs to the following:
thunderstorm fitting music,Thunderstorm fitting music
can some one find something similar to somebody that i used to know by gotye and passionfruit by drake,Can some one find something similar to somebody that i used to know by gotye and passionfruit by drake
looking for music similar to i wish by skee lo,Looking for music similar to ‘I wish’ by Skee Lo
epic jazz with heavy drums,Epic Jazz with heavy drums
i absolutely love japanese songs that sound sweet and pretty like this one,I absolutely love japanese songs that sound sweet and pretty like this one!
songs for would be lovers who know they can only ever be friends,Songs for would-be lovers who know they can only ever be friends?
similar artists to marilyn manson | other than nine inch nails,Similar artists to Marilyn Manson (other than Nine Inch Nails)?
dark pop | music for dancing alone in your house,[DARK POP] Music for dancing alone in your house...
looking for new stuff here are some of my favorite bands,"Looking for new stuff, here are some of my favorite bands"
i need some new music,I need some new music
looking for relatively new artists similar to,Looking for relatively new artists similar to...
i listen to everything from musical theater to rage against the machine so im not partial to genre just looking for songs that make you wanna dance sing along,"I listen to everything from musical theater to rage against the machine so I’m not partial to genre, just looking for songs that make you wanna dance/sing along :)"
songs similar to the chorus of kid cudis scott mescudi vs the world,"Songs similar to the chorus of Kid Cudi's ""Scott Mescudi vs The World"""
looking for more unique aesthetic indie music,Looking for more unique “aesthetic” indie music
music to help with a depression wave,Music to help with a depression wave?
recommend songs with female vocals or songs with female singers,recommend songs with female vocals or songs with female singers ?
songs artists similar to yeek steve lacy,"Songs/Artists similar to Yeek, Steve Lacy"
edm on vinyl,EDM on vinyl??
looking for chain gang work songs,Looking for chain gang/work songs
something like joji,Something like Joji
thematic music please help,Thematic Music- please help
i need help finding good songs for my playlist,I need help finding good songs for my playlist
techno more like this song,Techno: more like this song
bands that have male and female singers,bands that have male and female singers
need newer 2016+ indie music | any recommendations,Need newer (2016+) indie music. any recommendations?
еріс sоngs lіkе ваnk rоbbеrу рrоlоguе & brоthеrs іn аrms,"Еріс sоngs lіkе ""Ваnk rоbbеrу рrоlоguе"" & ""brоthеrs іn аrms""?"
music suggestions similar to old town road by lil nas x,Music suggestions similar to 'Old Town Road' by Lil Nas X?
looking for songs similar to the first 40ish seconds of onerepublics feel again,Looking for songs similar to the first 40ish seconds of OneRepublic's Feel Again.
suggest some necessary rock indie rock albums,Suggest some necessary (Rock/Indie Rock) Albums
bands that sound like the magnetic fields i dont want to get over you,bands that sound like the magnetic fields - i dont want to get over you
looking for metal any subgenre that combines female clean vocals with male growl,Looking for Metal (any subgenre) that combines female clean vocals with male growl
looking for spacey kinda minimal atmospheric house dance music,"Looking for spacey, kinda minimal atmospheric house/dance music"
songs about wanting to give someone significant other their best life,Songs about wanting to give someone (significant other) their best life
songs similar to hey there delilah by the plain white ts,songs similar to hey there delilah by the plain white T’s
any song suggestions like this i think its hiphop rnb,Any song suggestions like this: I think it's hiphop/rnb
looking for weird unapologetically pop pop music,"Looking for weird, unapologetically-pop pop music"
going on a 4 day road trip looking for great road trip soundtrack tunes,Going on a 4 day road trip- looking for great road trip soundtrack tunes!
songs that are new rock,songs that are new rock
recommend something like this to me,recommend something like this to me?
looking for more sad blues songs that have a hint of acceptance,Looking for more sad blues songs that have a hint of acceptance
looking for music similiar to jamiroquai,Looking for music similiar to Jamiroquai
songs like nandemonaiya | i dont care about the lyrics just the music is what i like | the powerful piano sound,"Songs like Nandemonaiya? I don't care about the lyrics, just the music is what I like; the powerful piano sound."
looking for music with celtic influences namely music that makes use of uilleann pipes,"Looking for music with Celtic influences, namely music that makes use of uilleann pipes."
bradley coopers song in a star is born trailer,Bradley Cooper's Song in A Star Is Born Trailer
looking for minimalistic rhytmic music like sicario ost,Looking for minimalistic rhytmic music like Sicario OST
music like jon bellion,Music like Jon Bellion?
music similar to maniac | netflix series,Music similar to Maniac (Netflix Series)
looking for music similar to this | you cant understand the lyrics but the title has the name of the english version,"Looking for music similar to this. You can't understand the lyrics, but the title has the name of the english version"
alt indie pop rock songs with interplay between a male and a female singer,Alt/Indie Pop/Rock songs with interplay between a male and a female singer?
rock metal suggestions,Rock/metal suggestions
trying to fill out an angry playlist,Trying to Fill Out An Angry Playlist
songs similar to this,Songs similar to this?
up to listen to anything | hit me,Up to listen to anything. Hit me
please recommend me some hurricane distractions,Please recommend me some hurricane distractions!
looking for that 80s bass and drum sound,Looking for that 80's bass and drum sound.
what songs feel similar to i was feeling down i found a nice witch and were friends by in love with a ghost,"What songs feel similar to 'I Was Feeling Down, I Found a Nice Witch and We're Friends' by In Love With a Ghost?"
looking for a song like routainen maa | finnish song,Looking for a song like Routainen Maa (Finnish song)
songs that evoke the colour red,Songs that evoke the colour red
songs like free by rudimental or lost boy by ruth b | i like songs that tell stories,Songs like Free by Rudimental or Lost Boy by Ruth B? I like songs that tell stories.
im a huge fan of the red hot chili peppers | what other artists might i like,I'm a huge fan of the Red Hot Chili Peppers. What other artists might I like?
albums or bands in the style of the first gorillaz album,Albums or bands in the style of the first gorillaz album
looking for something similar to look at me now by electric light orchestra,Looking for something similar to ‘Look at Me Now’ by Electric Light Orchestra
driving across the country to western montana in may | looking for songs to listen to while driving out west,Driving across the country to western Montana in May. Looking for songs to listen to while driving out west.
surf rock,Surf rock?
stumbled upon some blues edm style stuff | things like make you feel good by zoogma and home by moontricks,Stumbled upon some blues edm style stuff. Things like make you feel good by Zoogma and home by moontricks
songs with piano similar to this,Songs with piano similar to this
similar songs to the hound and the fox by i the mighty,"Similar songs to ""the Hound and the Fox"" by I The Mighty?"
female singers similar to lissie jess glynne or the pretty reckless,"Female singers similar to Lissie, Jess Glynne or the Pretty Reckless?"
anything similar to this | even her newer albums have had a different sound,Anything similar to this? Even her newer albums have had a different sound
oloff stomach sound,Oloff - Stomach Sound
i cant listen to anything but they might be giants | help,I can't listen to anything but They Might Be Giants. Help.
music to listen to whilst drunk,Music to listen to whilst drunk ?
suggest for me music like the violin cello start of this florence + the machine concert,Suggest for me music like the violin/cello start of this Florence + The Machine concert.
looking for fast paced music like this and i also need to know the genre,"Looking for fast-paced music like this, and I also need to know the genre."
going for an epic long run soon | what epic music should i put on my playlist,"Going for an ""epic"" long run soon. What Epic music should I put on my playlist ?"
toilet jazz,Toilet Jazz
just got into blonde redhead,Just got into Blonde Redhead.
looking for sad songs with a happy beat,Looking for sad songs with a happy beat.
songs similar to pisces by jinjer please,Songs similar to pisces by jinjer please?
morning playlist suggestions,Morning playlist suggestions!
season by ghost halo,Season by Ghost Halo
looking for music like this suitable for meditation,Looking for music like this suitable for meditation
beats to study to focus,Beats to study/to focus
im an idiot when it comes to music what is the name of this sound and what other songs have it,"I'm an idiot when it comes to music, what is the name of this sound and what other songs have it?"
are there any rappers that are spiritual successors to eminem,Are there any rappers that are spiritual successors to Eminem?
any music similar to my definition of the psychadelic genre,any music similar to my definition of the psychadelic genre?
music for a drug excessive weekend,Music for a drug excessive weekend?
any songs similar to this one | whats a girl to do by fatima yamaha,"Any songs similar to this one? ""What's a Girl to do"" by Fatima Yamaha"
what are the most essential albums in these genres,What are the most essential albums in these genres?
dark indie artists playlists like banks lo fang chaos chaos and josef salvat,"Dark Indie Artists/Playlists like Banks, Lo-Fang, Chaos Chaos and Josef Salvat."
songs similar to me and your mama,"songs similar to ""me and your mama"""
songs like this song,Songs like this song?
looking to fill a nostalgic vibe with new music if that makes sense,Looking to fill a nostalgic vibe with new music if that makes sense?
looking for visual music,Looking for visual music
songs or playlist similar to young by frankie cosmos,"Songs or playlist similar to ""Young"" by Frankie Cosmos"
music like vaporwave thats not vaporwave,Music like vaporwave that's not vaporwave
man on fire | relax,Man On Fire (Relax)
suggest similar type of music as ennio morricones,suggest similar type of music as Ennio Morricone's?
something similar to background of this psa please | ignore voice announcement,"Something similar to background of this PSA, please (ignore voice announcement)."
any good songs to sleep to,any good songs to sleep to?
do you know the name of this artist,Do you know the name of this artist ??
songs with the same vibe as midnas desperate hour,Songs with the same vibe as Midna’s desperate hour?
techy glitchy music suggestions,Techy-Glitchy Music Suggestions
recommend some albums similar to these,recommend some albums similar to these?
suggestions for a really dark intense and or scary song that would sound cool and creepy if played by a string quartet | nothing too obscure or underground so at least some people will have heard of it before,"suggestions for a really dark, intense, and/or scary song that would sound cool (and creepy) if played by a string quartet? Nothing too obscure or underground, so at least some people will have heard of it before."
looking for songs similar to tonight is the night i die,"Looking for songs similar to ""Tonight is the night I die"""
what songs are similar to death letter and little bird by the white stripes,What songs are similar to Death letter and Little bird by the white stripes.
songs like i talk to the wind by king crimson,Songs like I Talk to the Wind by King Crimson
im looking for music that had a singer song writer sound with electronic edm vibes,I'm looking for music that had a singer song writer sound with electronic/EDM vibes
folk music suggestions pls,Folk music suggestions pls
modern music with interesting production,Modern Music with interesting production?
looking for powerful deep slow & epic songs,"Looking for powerful, deep, slow & epic songs."
im making a playlist and i need help | dad summer barbecue vibes,I’m making a playlist and I need help. Dad summer barbecue vibes?
im addicted to jesse james | recommend music that fits this kind of content,I'm addicted to Jesse James. recommend music that fits this kind of content?
simba shan sixteen ft prince apollo,Simba Shan - SIXTEEN ft. Prince Apollo
artists similar to steel drivers,Artists similar to steel drivers
music like for lack of a better expression american super market pop,Music like (for lack of a better expression) American super-market pop
multilingual music,Multilingual Music
psychedelic funk disco,psychedelic funk/disco
looking for an album reissue from earlier this year psych country from the 70s help,Looking for an album reissue from earlier this year - Psych / Country from the 70's - HELP!
teenage wrist dweeb,Teenage Wrist - Dweeb
songs like hit this hard post malone,Songs Like Hit This Hard - Post Malone
songs like styxs renegade,Songs like Styx's Renegade
more music like this this gives me mixed feelings | i feel relaxed and liked to study playing this kind of music in background,"more music like this, this gives me mixed feelings. i feel relaxed and liked to study playing this kind of music in background"
any new music,Any new Music
introduce me to house music | with a catch,Introduce me to house music (with a catch)
any recommendations for songs like the segundo romance album by luis miguel,Any recommendations for songs like the Segundo Romance album by Luis Miguel?
i need some tunes,I need Some tunes
looking for something strange or funny,Looking for something strange or funny.
indian songs like cheshme man by dariush,Indian songs like Cheshme Man by Dariush
painful metal vocals like hard volume,*Painful* metal vocals like Hard Volume
upbeat positive energy,Upbeat positive energy?
suggest me a genre playlist anything that sounds like ariana grandes vocals on calvin hariss heatstroke,"suggest me a genre/playlist/anything that sounds like Ariana Grande's vocals on Calvin Hariss' ""Heatstroke"""
stoic one note style artists,"Stoic, one-note style artists?"
victory is won santana,Victory is Won- Santana
any songs similar to this style,Any songs similar to this style ?
looking for music that sounds like redlines ost,Looking for music that sounds like Redline's OST
songs about trying to hate someone,Songs about trying to hate someone?
songs from this era and same rythym,Songs from this era and same rythym?
i need more absolute bangers like,I need more absolute bangers like
looking for music that sounds like a local punk band,Looking for music that sounds like a local punk band
more music like zach callisons a picture perfect hollywood heartbreak | sad stuff,More music like Zach Callison’s A Picture Perfect Hollywood Heartbreak? (Sad stuff)
any interesting songs with interesting puns,Any interesting songs with interesting puns?
songs like r kellys trapped in the closet long story telling songs with lots of twists | any genre,Songs like R. Kelly's Trapped in the Closet: Long story-telling songs with lots of twists (any genre)
any really powerful and angry songs,Any really powerful and angry songs?
a good psychedelic rock band as good as these guys,a good psychedelic rock band as good as these guys?
looking for low vibe dirty trap house electronic | a combo of trap bass and deep house,"Looking for low vibe, dirty trap/house electronic; a combo of trap, bass and deep house"
artists like tyler the creator,artists like tyler the creator??
looking for narative lyricisim,Looking for Narative Lyricisim!!
looking for this type of | latin jazz,Looking for this type of (latin Jazz?)
im looking for love songs,I’m looking for love songs!
more fast tempo punk songs,More fast tempo punk songs
music similar to faun | medieval themed music,Music similar to faun(medieval themed music)
looking for similar songs to better give u up fkj,Looking for similar songs to Better Give U up - FKJ
looking for something low and melancholic like is there anybody out there by pink floyd or no quarter by led zeppelin,"Looking for something low and melancholic like ""is there anybody out there"" by pink floyd or ""No quarter"" by Led Zeppelin"
jackal empathy | anar remix,Jackal -Empathy ( ANAR Remix )
electronic music with vocals,Electronic Music with Vocals
looking for songs like when u love somebody by the fruit bats,"Looking for songs like ""When U Love Somebody"" by the Fruit Bats!"
the fall of troy gouge away and ambient synthy stuff,The fall of troy/Gouge Away and Ambient synthy stuff
any other japanese songs like this,Any other japanese songs like this?
suggestions for downtempo electronic music,suggestions for downTempo electronic music
songs suzie q by ccr with those kinds of guitar riffs,Songs Suzie Q by CCR with those kinds of guitar riffs.
looking for chill nostalgic vibes,Looking for chill nostalgic vibes
songs similar to eu4 guns drums and steel soundtrack,Songs similar to eu4 guns drums and steel soundtrack?
zero 7 in the waiting line,Zero 7 - In The Waiting Line
looking for a certain feel of music,Looking for a certain feel of music.
just discovered cat power | if i like these songs which of her other songs will i like,"Just 'discovered' Cat Power. If I like these songs, which of her other songs will I like?"
new music for eclectic taste,New music for eclectic taste?
a song similar to elvis presleys love me,"a song similar to Elvis Presley's ""Love Me""?"
songs about the entirety of a relationship | from beginning to breakup,songs about the entirety of a relationship? (from beginning to breakup)
im looking for more music like this song epic orchestral score but more specific,"I'm looking for more music like this song, epic orchestral/score but more specific."
im looking for music or keywords similar to this cute acoustic song,I'm looking for music or keywords similar to this cute acoustic song.
duet mashups of two different songs that fit really well,"""Duet mashups"" of two different songs that fit really well?"
something like tool and pink floyd,Something like Tool and Pink Floyd
looking for songs like who i am sim simma by beanie man,Looking for songs like Who I Am (Sim Simma) by Beanie Man
good electropop synthpop,Good electropop/synthpop
mystic women singers like this one,Mystic women singers like this one?
mausoleums gyre,Mausoleums - GYRE
melancholia doom music like trees of eternity,"Melancholia, doom - Music like Trees of Eternity"
appalachian folk music or old gospel,Appalachian folk music or old gospel?
any songs with some minor eldritch themes,any songs with some minor eldritch themes?
songs similar to cold as ice by mop | or good times by styles p,Songs similar to Cold as Ice by M.O.P. or Good Times by Styles P
looking for some pop songs for non english speaking kids,Looking for some pop songs for non-english speaking kids
any suggestions on music that is a fusion of classical indian and western,Any suggestions on music that is a fusion of classical Indian and western?
similar albums in style to labi siffre remember my song,Similar albums in style to 'Labi Siffre - Remember My Song'?
frenzied music like this,Frenzied music like this?
2018 electronic indie dance synth,2018 electronic/indie/dance/synth?
slipknot xix looking for similar,Slipknot - XiX : looking for similar
hip hop with chill beats,Hip Hop with chill beats
looking for song suggestions similar to rezz edge tipper cubic squeal or jade cicada speaking in tongues that isnt one of these artists,"Looking for song suggestions similar to REZZ - Edge, Tipper - Cubic Squeal, or Jade Cicada - Speaking in Tongues that isn't one of these artists."
i would love some new music,I would love some new music
which eminem album is the best in your opinion,Which Eminem album is the best in your opinion?
looking for a specific 90s house subgenre,Looking for a specific 90s house subgenre
songs similar to civilization v gods and kings theme by geoff knorr and michael curran,Songs similar to Civilization V Gods and Kings theme by Geoff Knorr and Michael Curran
looking for more instrumental chill hop for bright sunny spring days,Looking for more instrumental chill hop for bright sunny spring days
music suggestions specifically for the feeling of an apocalyptic sunset dark red purple and otherwordliness,"Music suggestions specifically for the feeling of an apocalyptic sunset, dark, red, purple and ""otherwordliness"""
any strings music similar to this,Any strings music similar to this?
what genre is underneath the lovely london sky,What genre is Underneath the Lovely London Sky?
songs angry sad and spiteful like the mountain goats no children,"Songs angry sad and spiteful like the mountain goats ""no children"""
any more bands with this sound,any more bands with this sound?
suggest music like urn by childish gambino especially like the first 35 40 seconds,"suggest music like 'urn' by childish gambino, especially like the first 35-40 seconds"
looking for rock study music mogwai but not mogwai,Looking for: Rock study music/Mogwai but not Mogwai
suggestions for cello music similar to light of the seven by ramin djawadi,Suggestions for cello music similar to Light of the Seven by Ramin Djawadi?
looking for music like this baths song | ocean death | maybe club music idm,Looking for music like this Baths’ song (Ocean Death). Maybe club music/IDM?
playlist of eerie music box pieces | with a sad nostalgic vibe,Playlist of eerie music box pieces. With a sad nostalgic vibe.
anything that sounds like dramaturgy or wozwald,anything that sounds like dramaturgy or wozwald?
looking for suggestions based on my music library,Looking for suggestions based on my music library!
looking for songs similar to cantara by dead can dance,"Looking for songs similar to ""Cantara"" by Dead Can Dance"
albums musicians songs similar to the album the golden age of apocalypse by thundercat,Albums/musicians/songs similar to the album The Golden Age of Apocalypse by Thundercat
mellow melancholic acoustic music,Mellow / Melancholic acoustic music.
music similar to lowercase,"Music similar to ""lowercase"""
upbeat breakup songs,Upbeat breakup songs?
any similar songs to this,any similar songs to this?
jhashuah rolling stone | remix,JHASHUAH - Rolling Stone (Remix)
pls recommend something similar to this,"Pls, recommend something similar to this..."
looking for songs that are mysterious in a come hither kind of way,"looking for songs that are mysterious in a ""come-hither"" kind of way"
more songs like these,More songs like these?
5 love songs that have to do with rain,5 Love Songs that have to do with rain?
id like some help finding more music to listen to,I'd like some help finding more music to listen to
artists suggestions,Artists suggestions
any songs similar to shut eye by stealing sheep willow by jasmine or somewhere only we know my,"Any songs similar to shut eye by stealing sheep, willow by jasmine, or somewhere only we know my"
warmer weather is finally here and i need some new music to celebrate,warmer weather is finally here and I need some new music to celebrate.
looking for songs like catastrophe brennan savage,Looking for songs like Catastrophe - Brennan savage
songs like this or what genre this song is,"songs like this, or what genre this song is?"
similar to epik high,Similar to Epik High?
rap songs like percs by denzel curry,Rap songs like Percs by Denzel Curry?
what are some high quality great feel good songs,"What are some high quality, great feel-good songs?"
rob thomas little wonders recomendations,Rob Thomas - Little Wonders recomendations
more songs like all for us by labrinth,More songs like All for Us by Labrinth?
wanting suggestion on music like you are entering into another world fairyland peaceful kingdom etc with flutes that sort of thing,"Wanting suggestion on music like you are entering into another world, fairyland...peaceful kingdom etc With flutes that sort of thing"
the internet hold on,The Internet - Hold On
any bands similar to alvvays and pixies,Any bands similar to Alvvays and Pixies?
looking for more songs for a rainy christmas,Looking for more songs for a rainy Christmas
what are some songs that really get you in the feels,What are some songs that really get you in the feels?
suggestions for relaxing melodic music with female vocals,Suggestions for relaxing melodic music with female vocals
any suggestions for songs similar too the ending credits song from bojack horseman,Any suggestions for songs similar too the ending credits song from Bojack Horseman?
anything like machine girl,Anything like Machine Girl?
songs about imperfect sides of love relationships,Songs about imperfect sides of love/relationships?
never heard something similar to lcd soundsystem,Never heard something similar to LCD Soundsystem
give me your favourite acoustic slower songs,Give me your favourite acoustic/slower songs.
suggest me more artist like jackson c frank and sibylle baier,Suggest me more artist Like Jackson C. Frank and Sibylle Baier
fats pace orchestral scores,Fats pace orchestral scores?
something with a similar feel kinda atmospheric to natalie taylor i want it all,Something with a similar feel (kinda atmospheric) to Natalie Taylor - I Want it All
song suggestions for a sad alt type playlist,Song suggestions for a sad/alt type playlist?
songs that have this feel of sorrow but with a catchy beat,Songs that have this feel of sorrow but with a catchy beat.
meaningful lyrics,Meaningful lyrics
songs similar to the sun iii by snakadaktal,Songs similar to The Sun III by Snakadaktal
looking for a very specific sound more info below,"Looking for a very specific sound, more info below"
songs or bands with similar music,Songs or bands with similar music?
aggressive hype rap songs,Aggressive/hype rap songs?
looking for a rapper smooth and lyrically consistent like notorious big,Looking for a rapper smooth and lyrically consistent like Notorious BIG.
