mention,type,query,wiki_link,wikidata_type,wiki_name,exposure
cowboy bebop,WoA,more like the cowboy bebop theme song by tank | energetic jazz,https://en.wikipedia.org/wiki/Cowboy_Bebop:_The_Movie,anime film,Cowboy_Bebop:_The_Movie,2.57056292223648
tank,Artist,more like the cowboy bebop theme song by tank | energetic jazz,https://en.wikipedia.org/wiki/Tank_(band),musical group,Tank_(band),2.2488328247079856
something about us,WoA,looking for songs similar to something about us daft punk remind me royksopp will do tv on the radio & imagination | foster the people | sad electric music,https://en.wikipedia.org/wiki/Something_About_Us_(Daft_Punk_song),song,Something_About_Us_(Daft_Punk_song),0.343966708635758
daft punk,Artist,looking for songs similar to something about us daft punk remind me royksopp will do tv on the radio & imagination | foster the people | sad electric music,https://en.wikipedia.org/wiki/Daft_Punk,electronica duo,Daft_Punk,5.504862620106499
remind me,WoA,looking for songs similar to something about us daft punk remind me royksopp will do tv on the radio & imagination | foster the people | sad electric music,https://en.wikipedia.org/wiki/Remind_Me_(Brad_Paisley_and_Carrie_Underwood_song),single,Remind_Me_(Brad_Paisley_and_Carrie_Underwood_song),1.0597062473248773
royksopp,Artist,looking for songs similar to something about us daft punk remind me royksopp will do tv on the radio & imagination | foster the people | sad electric music,https://en.wikipedia.org/wiki/R%C3%B6yksopp,electronica duo,R%C3%B6yksopp,3.9403490608592033
will do,WoA,looking for songs similar to something about us daft punk remind me royksopp will do tv on the radio & imagination | foster the people | sad electric music,,,,0.0
 tv on the radio,Artist,looking for songs similar to something about us daft punk remind me royksopp will do tv on the radio & imagination | foster the people | sad electric music,https://en.wikipedia.org/wiki/TV_on_the_Radio,musical group,TV_on_the_Radio,4.388359981954265
imagination,WoA,looking for songs similar to something about us daft punk remind me royksopp will do tv on the radio & imagination | foster the people | sad electric music,https://en.wikipedia.org/wiki/Imagination_(Tamia_song),single,Imagination_(Tamia_song),0.0
foster the people,Artist,looking for songs similar to something about us daft punk remind me royksopp will do tv on the radio & imagination | foster the people | sad electric music,https://en.wikipedia.org/wiki/Foster_the_People,musical group,Foster_the_People,3.969538516191932
king crimson,Artist,for fans of 70s psychedelia and progressive rock | think kansas meets king crimson and at the end grateful dead crashes the party,https://en.wikipedia.org/wiki/King_Crimson,rock group,King_Crimson,5.69102309911635
kansas,Artist,for fans of 70s psychedelia and progressive rock | think kansas meets king crimson and at the end grateful dead crashes the party,https://en.wikipedia.org/wiki/Kansas_(band),rock group,Kansas_(band),4.407927255151666
grateful dead,Artist,for fans of 70s psychedelia and progressive rock | think kansas meets king crimson and at the end grateful dead crashes the party,https://en.wikipedia.org/wiki/Grateful_Dead,musical group,Grateful_Dead,6.648478623891538
metal gear risings,WoA,music like metal gear risings ost,,,,0.0
george ezras,Artist,dark unnerving bluesy songs like george ezras spectacular rival,https://en.wikipedia.org/wiki/George_Ezra,human,George_Ezra,2.5880715335304707
spectacular rival,WoA,dark unnerving bluesy songs like george ezras spectacular rival,,,,0.0
allman bros,Artist,allman bros live at fillmore east | cant get enough of it | any recs of similar albums bands,https://en.wikipedia.org/wiki/The_Allman_Brothers_Band,musical group,The_Allman_Brothers_Band,5.460617054157245
at fillmore east,WoA,allman bros live at fillmore east | cant get enough of it | any recs of similar albums bands,https://en.wikipedia.org/wiki/At_Fillmore_East,album,At_Fillmore_East,2.200331294038511
infected mushroom,Artist,like infected mushroom but more edgy,https://en.wikipedia.org/wiki/Infected_Mushroom,musical duo,Infected_Mushroom,2.956108246337884
show me love,WoA,songs similar to show me love by hundred waters,https://en.wikipedia.org/wiki/Show_Me_Love_(t.A.T.u._song),song,Show_Me_Love_(t.A.T.u._song),0.4368129453822025
hundred waters,Artist,songs similar to show me love by hundred waters,https://en.wikipedia.org/wiki/Hundred_Waters,musical group,Hundred_Waters,1.316314965131104
toni braxtons,Artist,newer 2005+ ballads in the style of toni braxtons un break my heart jessica simpson & nick lacheys where you are stevie wonders all in love is fair,https://en.wikipedia.org/wiki/Toni_Braxton,human,Toni_Braxton,4.957021935515456
un break my heart,WoA,newer 2005+ ballads in the style of toni braxtons un break my heart jessica simpson & nick lacheys where you are stevie wonders all in love is fair,https://en.wikipedia.org/wiki/Un-Break_My_Heart,song,Un-Break_My_Heart,2.697990685345399
jessica simpson,Artist,newer 2005+ ballads in the style of toni braxtons un break my heart jessica simpson & nick lacheys where you are stevie wonders all in love is fair,https://en.wikipedia.org/wiki/Jessica_Simpson,human,Jessica_Simpson,4.863587928869359
nick lacheys,Artist,newer 2005+ ballads in the style of toni braxtons un break my heart jessica simpson & nick lacheys where you are stevie wonders all in love is fair,https://en.wikipedia.org/wiki/Nick_Lachey,human,Nick_Lachey,3.7398226645004833
where you are,WoA,newer 2005+ ballads in the style of toni braxtons un break my heart jessica simpson & nick lacheys where you are stevie wonders all in love is fair,https://en.wikipedia.org/wiki/Where_You_Are_(Jessica_Simpson_song),single,Where_You_Are_(Jessica_Simpson_song),0.7604922712047326
stevie wonders,Artist,newer 2005+ ballads in the style of toni braxtons un break my heart jessica simpson & nick lacheys where you are stevie wonders all in love is fair,https://en.wikipedia.org/wiki/Stevie_Wonder%27s_Superego,musical group,Stevie_Wonder%27s_Superego,0.0
all in love is fair,WoA,newer 2005+ ballads in the style of toni braxtons un break my heart jessica simpson & nick lacheys where you are stevie wonders all in love is fair,https://en.wikipedia.org/wiki/All_in_Love_Is_Fair,musical work/composition,All_in_Love_Is_Fair,0.0
kate nash,Artist,what should my wife listen to if she likes the regrettes le tigre kate nash and liz phair,https://en.wikipedia.org/wiki/Kate_Nash,human,Kate_Nash,3.760987996595994
the regrettes,Artist,what should my wife listen to if she likes the regrettes le tigre kate nash and liz phair,https://en.wikipedia.org/wiki/The_Regrettes,musical group,The_Regrettes,0.7273487281566968
le tigre,Artist,what should my wife listen to if she likes the regrettes le tigre kate nash and liz phair,https://en.wikipedia.org/wiki/Le_Tigre,musical group,Le_Tigre,3.4357047112148056
liz phair,Artist,what should my wife listen to if she likes the regrettes le tigre kate nash and liz phair,https://en.wikipedia.org/wiki/Liz_Phair,human,Liz_Phair,3.8918083411103126
reborn,WoA,something giving off similar vibes as reborn from the heriditary soundtrack,https://en.wikipedia.org/wiki/Reborn_(Era_album),album,Reborn_(Era_album),0.0
heriditary,WoA,something giving off similar vibes as reborn from the heriditary soundtrack,,,,0.0
audioslave,Artist,bands similar to audioslave,https://en.wikipedia.org/wiki/Audioslave,rock group,Audioslave,4.0877736089071455
adam lambert,Artist,hey recommend me artists similar to adam lambert,https://en.wikipedia.org/wiki/Adam_Lambert,human,Adam_Lambert,4.710293816827566
rigamortus,WoA,looking for a song like rigamortus by kendrick lamar,,,,0.0
kendrick lamar,Artist,looking for a song like rigamortus by kendrick lamar,https://en.wikipedia.org/wiki/Kendrick_Lamar,human,Kendrick_Lamar,5.759461212724565
love yourz,WoA,rap songs like love yourz j cole and 2009 mac miller,https://en.wikipedia.org/wiki/Love_Yourz,single,Love_Yourz,0.6498825724701778
 j cole,Artist,rap songs like love yourz j cole and 2009 mac miller,https://en.wikipedia.org/wiki/J._Cole,human,J._Cole,4.7019309230135455
2009,WoA,rap songs like love yourz j cole and 2009 mac miller,https://en.wikipedia.org/wiki/2009_(album),album,2009_(album),0.0
mac miller,Artist,rap songs like love yourz j cole and 2009 mac miller,https://en.wikipedia.org/wiki/Mac_Miller,human,Mac_Miller,4.2415335155732485
escape to hangover,WoA,looking for music similar to escape to hangover album by jjy band,,,,0.0
jjy band,Artist,looking for music similar to escape to hangover album by jjy band,https://en.wikipedia.org/wiki/Drug_Restaurant,boy band,Drug_Restaurant,0.7716302572234977
hearthstone,WoA,something like the hearthstone soundtrack,https://en.wikipedia.org/wiki/Hearthstone,video game,Hearthstone,3.345874583492625
tom zanetti,Artist,similar tunes to tom zanetti eargasm | aaron jackson remix,https://en.wikipedia.org/wiki/Tom_Zanetti,human,Tom_Zanetti,0.0
eargasm,WoA,similar tunes to tom zanetti eargasm | aaron jackson remix,https://en.wikipedia.org/wiki/Eargasm,album,Eargasm,0.0
aaron jackson,Artist,similar tunes to tom zanetti eargasm | aaron jackson remix,https://en.wikipedia.org/wiki/Aaron_Jackson_(basketball),human,Aaron_Jackson_(basketball),1.0749155721739267
squib cakes,WoA,looking for songs like squib cakes by tower of power,,,,0.0
tower of power,Artist,looking for songs like squib cakes by tower of power,https://en.wikipedia.org/wiki/Tower_of_Power,musical group,Tower_of_Power,4.178917288091764
reprieve,WoA,anything like reprieve by vallis alps,https://en.wikipedia.org/wiki/Reprieve_(album),album,Reprieve_(album),0.0
vallis alps,Artist,anything like reprieve by vallis alps,https://en.wikipedia.org/wiki/Vallis_Alps,musical group,Vallis_Alps,0.0059212035489331
yves tumor,Artist,similar to yves tumor the feeling when you walk away,https://en.wikipedia.org/wiki/Yves_Tumor,human,Yves_Tumor,0.0
the feeling when you walk away,WoA,similar to yves tumor the feeling when you walk away,,,,0.0
doom,WoA,music like doom 2016 soundtrack,https://en.wikipedia.org/wiki/Doom_(EP),extended play,Doom_(EP),0.0483413154422791
darkies,Artist,songs similar to darkies banana pie,https://en.wikipedia.org/wiki/Darkiel,human,Darkiel,0.0
banana pie,WoA,songs similar to darkies banana pie,,,,0.0
reel around the sun,WoA,similar music to reel around the sun lord of the dance the cup of tea the banshee hand me down the tackles,,,,0.0
 lord of the dance,WoA,similar music to reel around the sun lord of the dance the cup of tea the banshee hand me down the tackles,https://en.wikipedia.org/wiki/Lord_of_the_Dance_(hymn),musical work/composition,Lord_of_the_Dance_(hymn),1.4043393478547816
the cup of tea the banshee hand me down the tackles,WoA,similar music to reel around the sun lord of the dance the cup of tea the banshee hand me down the tackles,,,,0.0
some of adams blues,WoA,looking for something with a slow swaggering tune similar too some of adams blues,,,,0.0
how to fight loneliness,WoA,great songs about meaninglessness like how to fight loneliness by wilco or time by pink floyd,,,,0.0
wilco,Artist,great songs about meaninglessness like how to fight loneliness by wilco or time by pink floyd,https://en.wikipedia.org/wiki/Wilco,rock group,Wilco,5.082781146994764
time,WoA,great songs about meaninglessness like how to fight loneliness by wilco or time by pink floyd,https://en.wikipedia.org/wiki/Time_(Pink_Floyd_song),musical work/composition,Time_(Pink_Floyd_song),2.0342041744353256
pink floyd,Artist,great songs about meaninglessness like how to fight loneliness by wilco or time by pink floyd,https://en.wikipedia.org/wiki/Pink_Floyd,rock group,Pink_Floyd,7.217513633743452
lilly wood & the prick,Artist,similar songs like lilly wood & the prick and robin schulz prayer in c | 5th anniversary rework,,,,0.0
robin schulz,Artist,similar songs like lilly wood & the prick and robin schulz prayer in c | 5th anniversary rework,https://en.wikipedia.org/wiki/Robin_Schulz,human,Robin_Schulz,2.915518205757719
prayer in c,WoA,similar songs like lilly wood & the prick and robin schulz prayer in c | 5th anniversary rework,https://en.wikipedia.org/wiki/Prayer_in_C,song,Prayer_in_C,0.7813295632268566
sucré,Artist,looking for more artists that sound like sucré,https://en.wikipedia.org/wiki/Sucr%C3%A9_(band),musical group,Sucr%C3%A9_(band),0.0
guided by voices,Artist,wanting something more contemporary like guided by voices,https://en.wikipedia.org/wiki/Guided_by_Voices,musical group,Guided_by_Voices,4.2255740322452
goner,WoA,songs that are similar to goner by twenty one pilots,,,,0.0
twenty one pilots,Artist,songs that are similar to goner by twenty one pilots,https://en.wikipedia.org/wiki/Twenty_One_Pilots,musical group,Twenty_One_Pilots,3.959194682538017
tobi lou,Artist,artists like tobi lou and kota the friend,,,,0.0
kota the friend,Artist,artists like tobi lou and kota the friend,https://en.wikipedia.org/wiki/Kota_the_Friend,human,Kota_the_Friend,0.0
fox stevensons,Artist,music similar to fox stevensons sweet,https://en.wikipedia.org/wiki/Fox_Stevenson,human,Fox_Stevenson,0.8916755280915325
sweet,WoA,music similar to fox stevensons sweet,https://en.wikipedia.org/wiki/Sweet_(Chara_album),album,Sweet_(Chara_album),0.1204054072909954
elliott smiths,Artist,songs similar to elliott smiths independence day or son of sam,https://en.wikipedia.org/wiki/Elliott_Smith,human,Elliott_Smith,4.577180267175166
independence day,WoA,songs similar to elliott smiths independence day or son of sam,https://en.wikipedia.org/wiki/Independence_Day_(1996_film),film,Independence_Day_(1996_film),4.3731974368534114
son of sam,WoA,songs similar to elliott smiths independence day or son of sam,https://en.wikipedia.org/wiki/Son_of_Sam_(song),single,Son_of_Sam_(song),0.0
daria,WoA,any suggestions that are more local not as known songs that will fit this daria themed playlist,https://en.wikipedia.org/wiki/Dar%C3%ADa,single,Dar%C3%ADa,0.0
black magic boy,WoA,black magic boy fran hall,,,,0.0
fran hall,Artist,black magic boy fran hall,https://en.wikipedia.org/wiki/Fran_Halsall,human,Fran_Halsall,1.3184564122970084
through the valley,WoA,songs like through the valley and hurt,,,,0.0
hurt,WoA,songs like through the valley and hurt,https://en.wikipedia.org/wiki/Hurt_(Nine_Inch_Nails_song),musical work/composition,Hurt_(Nine_Inch_Nails_song),2.550944708622737
newton faulkner,Artist,artists like newton faulkner or halestorm | i like alot of music okay,https://en.wikipedia.org/wiki/Newton_Faulkner,human,Newton_Faulkner,3.2229080767078955
halestorm,Artist,artists like newton faulkner or halestorm | i like alot of music okay,https://en.wikipedia.org/wiki/Halestorm,musical group,Halestorm,3.668086627316345
i am me,WoA,songs like i am me | haywyre,https://en.wikipedia.org/wiki/I_Am_Me,album,I_Am_Me,1.1414547538270607
haywyre,Artist,songs like i am me | haywyre,https://en.wikipedia.org/wiki/Haywyre,human,Haywyre,0.6981221055112652
kyoto,WoA,looking for music like kyoto by aso,https://en.wikipedia.org/wiki/Kyoto_(Skrillex_song),song,Kyoto_(Skrillex_song),0.0
aso,Artist,looking for music like kyoto by aso,,,,0.0
kazi deyna,Artist,new artist i found kazi deyna,,,,0.0
carpenters,Artist,artists like carpenters and air supply,https://en.wikipedia.org/wiki/The_Carpenters,musical duo,The_Carpenters,4.963900109384252
air supply,Artist,artists like carpenters and air supply,https://en.wikipedia.org/wiki/Air_Supply,musical group,Air_Supply,4.0324088349677325
sℒen,Artist,i am looking for a drop scream similar to the one at 1 27 in the song sℒen its not love i gave you space,,,,0.0
 its not love i gave you space,WoA,i am looking for a drop scream similar to the one at 1 27 in the song sℒen its not love i gave you space,,,,0.0
porter robinsons,Artist,dont listen to a lot of edm but i really like porter robinsons shelter need more songs like it,https://en.wikipedia.org/wiki/Porter_Robinson,human,Porter_Robinson,3.2845958366737893
shelter,WoA,dont listen to a lot of edm but i really like porter robinsons shelter need more songs like it,https://en.wikipedia.org/wiki/Shelter_(Porter_Robinson_and_Madeon_song),single,Shelter_(Porter_Robinson_and_Madeon_song),0.6027175584955788
khai dreams,Artist,artists similar to khai dreams,,,,0.0
ceremony,WoA,know of any songs that sound similar to ceremony by new order,https://en.wikipedia.org/wiki/Ceremony_(New_Order_song),song,Ceremony_(New_Order_song),1.7461159297823272
new order,Artist,know of any songs that sound similar to ceremony by new order,https://en.wikipedia.org/wiki/New_Order_(band),rock group,New_Order_(band),5.76744504190423
cod waw zombies,WoA,songs bands like the metalcore easter eggs from cod waw zombies,,,,0.0
easter eggs,WoA,songs bands like the metalcore easter eggs from cod waw zombies,,,,0.0
alice,WoA,music similar to alice by pogo,https://en.wikipedia.org/wiki/Alice_(Avril_Lavigne_song),single,Alice_(Avril_Lavigne_song),1.1255485476758924
pogo,Artist,music similar to alice by pogo,https://en.wikipedia.org/wiki/Pogo_(musician),human,Pogo_(musician),0.0
pour it up,WoA,lean pour it up by lawdyamx,https://en.wikipedia.org/wiki/Pour_It_Up,single,Pour_It_Up,1.3259188041316694
lawdyamx,Artist,lean pour it up by lawdyamx,,,,0.0
therapiestunde 16,WoA,looking for a specific kind of calm techno which i enjoy listening to for studying | something with a slow build up and maybe talking in the beginning | eg therapiestunde 16 osten legal and giorgio by moroder | daft punk,,,,0.0
osten legal,Artist,looking for a specific kind of calm techno which i enjoy listening to for studying | something with a slow build up and maybe talking in the beginning | eg therapiestunde 16 osten legal and giorgio by moroder | daft punk,,,,0.0
daft punk,Artist,looking for a specific kind of calm techno which i enjoy listening to for studying | something with a slow build up and maybe talking in the beginning | eg therapiestunde 16 osten legal and giorgio by moroder | daft punk,https://en.wikipedia.org/wiki/Daft_Punk,electronica duo,Daft_Punk,5.504862620106499
giorgio by moroder,WoA,looking for a specific kind of calm techno which i enjoy listening to for studying | something with a slow build up and maybe talking in the beginning | eg therapiestunde 16 osten legal and giorgio by moroder | daft punk,https://en.wikipedia.org/wiki/Giorgio_by_Moroder,musical work/composition,Giorgio_by_Moroder,0.1679982272146549
nobody,WoA,are there any artists that have similar vibes to nobody by mitski,https://en.wikipedia.org/wiki/Nobody_(Wonder_Girls_song),song,Nobody_(Wonder_Girls_song),1.3883314510570326
mitski,Artist,are there any artists that have similar vibes to nobody by mitski,https://en.wikipedia.org/wiki/Mitski,human,Mitski,1.2585062886525051
whered all the time go,WoA,trying to find songs like whered all the time go by dr dog,,,,0.0
dr dog,Artist,trying to find songs like whered all the time go by dr dog,https://en.wikipedia.org/wiki/Donald_Adamson,human,Donald_Adamson,1.9458252960168672
gzuzs,Artist,looking for stuff like gzuzs wolke 7 album,https://en.wikipedia.org/wiki/Gzuz,human,Gzuz,0.0
wolke 7,WoA,looking for stuff like gzuzs wolke 7 album,,,,0.0
lost radiance,Artist,music similar to lost radiance | modular synth no drums,,,,0.0
bright eyes,Artist,looking for music similar to bright eyes at the bottom of everything,https://en.wikipedia.org/wiki/Bright_Eyes_(band),musical group,Bright_Eyes_(band),4.669737507369232
at the bottom of everything,WoA,looking for music similar to bright eyes at the bottom of everything,,,,0.0
new light,WoA,songs similar to new light by john mayer,https://en.wikipedia.org/wiki/New_Light_(song),single,New_Light_(song),0.0
john mayer,Artist,songs similar to new light by john mayer,https://en.wikipedia.org/wiki/John_Mayer_Trio,musical group,John_Mayer_Trio,1.7364804663592943
alice in chains,Artist,alice in chains fan looking for more,https://en.wikipedia.org/wiki/Alice_in_Chains,rock group,Alice_in_Chains,5.328549848801632
amity affliction,Artist,im looking for more metalcore bands like amity affliction,,,,0.0
nox arcana,Artist,any music artist like nox arcana,https://en.wikipedia.org/wiki/Nox_Arcana,musical group,Nox_Arcana,2.0442106304710848
pimp,WoA,this big band jazz cover of pimp | by 50 cent is groovy | what is this genre called,https://en.wikipedia.org/wiki/Pimp_(2010_film),film,Pimp_(2010_film),0.0
50 cent,Artist,this big band jazz cover of pimp | by 50 cent is groovy | what is this genre called,https://en.wikipedia.org/wiki/50_Cent,human,50_Cent,6.286401630663811
bonobo,Artist,similar songs to bonobo prelude,https://en.wikipedia.org/wiki/Bonobo_(musician),human,Bonobo_(musician),3.002042331349964
prelude,WoA,similar songs to bonobo prelude,https://en.wikipedia.org/wiki/Prelude_(EP),extended play,Prelude_(EP),0.0
ummet ozcan,Artist,songs similar to the beginning of change my heart by ummet ozcan ft laurell,https://en.wikipedia.org/wiki/Ummet_Ozcan,human,Ummet_Ozcan,1.7505522072228796
laurell,Artist,songs similar to the beginning of change my heart by ummet ozcan ft laurell,https://en.wikipedia.org/wiki/Laurell_(singer),human,Laurell_(singer),0.0
change my heart,WoA,songs similar to the beginning of change my heart by ummet ozcan ft laurell,,,,0.0
intruxx,WoA,instramental music similar to intruxx by glass animals,,,,0.0
glass animals,Artist,instramental music similar to intruxx by glass animals,https://en.wikipedia.org/wiki/Glass_Animals,musical group,Glass_Animals,2.3796181877263543
jay munly,Artist,music like jay munly,https://en.wikipedia.org/wiki/Jay_Munly,human,Jay_Munly,0.6393788292386358
 some people say,WoA,anything similar to some people say | love the dirty beat and the kind of spoken word intro to the drop,,,,0.0
murder your memory,WoA,looking for music like murder your memory by title fight,,,,0.0
title fight,Artist,looking for music like murder your memory by title fight,https://en.wikipedia.org/wiki/Title_Fight,musical group,Title_Fight,2.426715061713873
 i wish,WoA,any songs similar to i wish by skee lo | 95,https://en.wikipedia.org/wiki/I_Wish_(Morning_Musume_song),single,I_Wish_(Morning_Musume_song),0.2558000552454782
skee lo,Artist,any songs similar to i wish by skee lo | 95,https://en.wikipedia.org/wiki/Skee-Lo,human,Skee-Lo,2.1522036323378853
lovelyday,WoA,suggestions for songs like lovelyday by poptartpete,,,,0.0
poptartpete,Artist,suggestions for songs like lovelyday by poptartpete,,,,0.0
thrice,Artist,looking for bands like thrice thursday the juliana theory hoobastank haste,https://en.wikipedia.org/wiki/Thrice,musical group,Thrice,3.86166858892868
thursday,Artist,looking for bands like thrice thursday the juliana theory hoobastank haste,https://en.wikipedia.org/wiki/Thursday_(band),musical group,Thursday_(band),3.8417329262502857
the juliana theory,Artist,looking for bands like thrice thursday the juliana theory hoobastank haste,https://en.wikipedia.org/wiki/The_Juliana_Theory,musical group,The_Juliana_Theory,2.531354815369955
hoobastank,Artist,looking for bands like thrice thursday the juliana theory hoobastank haste,https://en.wikipedia.org/wiki/Hoobastank,rock group,Hoobastank,3.9901148217905753
haste,Artist,looking for bands like thrice thursday the juliana theory hoobastank haste,https://en.wikipedia.org/wiki/Haste_the_Day,musical group,Haste_the_Day,2.9406722759641344
black coast,Artist,know any music like black coast trndsttr | lucian remix,,,,0.0
trndsttr,WoA,know any music like black coast trndsttr | lucian remix,,,,0.0
lucian,Artist,know any music like black coast trndsttr | lucian remix,https://en.wikipedia.org/wiki/Luc%C3%ADa_(singer),human,Luc%C3%ADa_(singer),0.3054034976191939
brand new,Artist,something akin to any of the last three albums of brand new,https://en.wikipedia.org/wiki/Brand_New_(band),musical group,Brand_New_(band),3.903079117748044
paper mâché dream balloon,WoA,what should i listen to if i like the album paper mâché dream balloon by king gizzard and the lizard wizard,https://en.wikipedia.org/wiki/Paper_M%C3%A2ch%C3%A9_Dream_Balloon,album,Paper_M%C3%A2ch%C3%A9_Dream_Balloon,0.0
king gizzard and the lizard wizard,Artist,what should i listen to if i like the album paper mâché dream balloon by king gizzard and the lizard wizard,https://en.wikipedia.org/wiki/King_Gizzard_%26_the_Lizard_Wizard,musical group,King_Gizzard_%26_the_Lizard_Wizard,2.3189051038063777
dark was the night,WoA,looking for songs similar to dark was the night,https://en.wikipedia.org/wiki/Dark_Was_the_Night_(album),album,Dark_Was_the_Night_(album),0.0
suzi wu,Artist,suzi wu error 404,https://en.wikipedia.org/wiki/Suzi_Wu,human,Suzi_Wu,0.0
error 404,WoA,suzi wu error 404,,,,0.0
santeria,WoA,songs bands albums similar to santeria by sublime,https://en.wikipedia.org/wiki/Santeria_(album),album,Santeria_(album),0.0
sublime,Artist,songs bands albums similar to santeria by sublime,https://en.wikipedia.org/wiki/Sublime_(band),musical group,Sublime_(band),4.38922984438446
all the pretty girls,WoA,anything similar to all the pretty girls by kaleo,https://en.wikipedia.org/wiki/All_the_Pretty_Girls_(Vera_Blue_song),musical work/composition,All_the_Pretty_Girls_(Vera_Blue_song),0.0
kaleo,Artist,anything similar to all the pretty girls by kaleo,https://en.wikipedia.org/wiki/Kaleo_(band),musical group,Kaleo_(band),1.5862509729884984
tesseract,Artist,lf songs similar to tesseract luminary,https://en.wikipedia.org/wiki/Tesseract,duoprism,Tesseract,3.5668690487080355
luminary,WoA,lf songs similar to tesseract luminary,,,,0.0
hippie sabotage,Artist,looking for similar songs to hippie sabotage high enough | halsey flip,https://en.wikipedia.org/wiki/Hippie_Sabotage,musical duo,Hippie_Sabotage,0.8891460054819227
high enough | halsey flip,WoA,looking for similar songs to hippie sabotage high enough | halsey flip,,,,0.0
dré anthony,Artist,dré anthony bands,,,,0.0
bands,WoA,dré anthony bands,https://en.wikipedia.org/wiki/Bandstand_(album),album,Bandstand_(album),0.0753160988652101
unstoppable,WoA,what type of music is the score unstoppable | and what other songs might i like,https://en.wikipedia.org/wiki/Unstoppable_(Rascal_Flatts_album),album,Unstoppable_(Rascal_Flatts_album),0.7506300081139106
