preprocessed,original
rap songs like love yourz j cole and 2009 mac miller,Rap songs like Love Yourz-J. Cole and 2009-Mac Miller
looking for music similar to escape to hangover album by jjy band,"Looking for music similar to ""Escape To Hangover"" album by JJY Band"
sad songs of the 2000s,Sad songs of the 2000s?
recommend me an where to evolve to,Recommend me an where to evolve to
songs about upper middle class kids that dont know what its like to be poor,Songs about (upper) middle class kids that don't know what it's like to be poor
something like the hearthstone soundtrack,Something like the Hearthstone soundtrack?
anymore remixes of old songs like this,Anymore remixes of old songs like this?
similar tunes to tom zanetti eargasm | aaron jackson remix,Similar tunes to 'Tom Zanetti - Eargasm (Aaron Jackson remix)'
synth heavy dance electronic with vocals,synth-heavy dance/electronic with vocals
looking for songs like squib cakes by tower of power,"Looking for songs like ""Squib Cakes"" by Tower of Power"
anything like reprieve by vallis alps,Anything like Reprieve by Vallis Alps?
similar to yves tumor the feeling when you walk away,Similar to: Yves Tumor - The Feeling When You Walk Away
music like doom 2016 soundtrack,Music like Doom (2016) soundtrack.
any love country songs,Any love country songs?
songs similar to darkies banana pie,songs similar to Darkie's Banana Pie
similar music to reel around the sun lord of the dance the cup of tea the banshee hand me down the tackles,"Similar music to ""Reel Around The Sun"", ""Lord Of The Dance"", ""The Cup of Tea/The Banshee/Hand Me Down The Tackles"""
looking for something with a slow swaggering tune similar too some of adams blues,Looking for something with a slow swaggering tune similar too “Some of Adams blues”
great songs about meaninglessness like how to fight loneliness by wilco or time by pink floyd,"Great songs about meaninglessness like ""How To Fight Loneliness"" by Wilco or ""Time"" by Pink Floyd?"
similar songs like lilly wood & the prick and robin schulz prayer in c | 5th anniversary rework,Similar songs like Lilly Wood & The Prick and Robin Schulz - Prayer In C (5th Anniversary Rework)
looking for more artists that sound like sucré,Looking for more artists that sound like Sucré
im looking for some chill songs to listen to while just cruising around at night,I'm looking for some chill songs to listen to while just cruising around at night
i need indie rock songs with a huge final climax,I need indie/rock songs with a huge final climax.
wanting something more contemporary like guided by voices,Wanting something more contemporary like Guided by Voices
im searching for songs with slow tempo prominent basslines atmosphere,"Im searching for songs with slow Tempo, prominent basslines, atmosphere..."
high energy rock rap with a lot of deep brass,High energy rock/rap with a lot of deep BRASS?
looking for some more reggae island music groups or artists,Looking for some more reggae/island music groups or artists
looking for some dark songs,Looking for some dark songs
metal please,Metal Please
introspective music,Introspective music
suggestions for something similar to this masterpiece | i havent been able to find anything like it,suggestions for something similar to this masterpiece? I haven't been able to find anything like it.
recommend a song with a similar intro feel energy to this song,recommend a song with a similar intro/feel/energy to this song?
looking for dance club trap edm dubstep songs with non melodic preferably harsh high pitched sounds and heavy bass drops,"Looking for dance, club, trap, edm, dubstep songs with non-melodic, preferably harsh, high-pitched sounds and heavy bass drops."
french accordion swing like this,French Accordion Swing Like this
songs that are similar to goner by twenty one pilots,Songs that are similar to Goner by Twenty One Pilots.
suggestions for alternative indie rock,Suggestions for alternative/indie/rock
artists like tobi lou and kota the friend,Artists like Tobi Lou and Kota The Friend
i need songs like this,I need songs like this
request | free royalty free music,[request] free royalty free music
music similar to fox stevensons sweet,"Music similar to Fox Stevenson's ""Sweet"""
looking for very calm evening autumn winter music | sorta folksy and nostalgic,"Looking for very calm, evening autumn-winter music. Sorta folksy and nostalgic."
songs similar to elliott smiths independence day or son of sam,"Songs similar to Elliott Smith's ""Independence Day"" or ""Son of Sam"""
uplifting indie folk ishh type,Uplifting indie/folk/ishh type
any suggestions that are more local not as known songs that will fit this daria themed playlist,any suggestions that are more local/not as known songs that will fit this Daria themed playlist?
black magic boy fran hall,Black Magic Boy - Fran Hall
chill melodic hip hop,Chill/melodic hip-hop
pop songs that have an actual hook,Pop songs that HAVE AN ACTUAL HOOK?
suggest me something not too similar or different,Suggest me something not too similar or different
songs like through the valley and hurt,Songs like Through The Valley and Hurt
artists like newton faulkner or halestorm | i like alot of music okay,"Artists like Newton Faulkner, Or Halestorm ( I like alot of music okay???)"
songs like i am me | haywyre,Songs like I Am Me (Haywyre)
looking for music like kyoto by aso,Looking for music like kyoto by Aso
im looking for songs with airy echoey ghost like vocals and a lot of guitar,"I'm looking for songs with airy/echoey, ghost-like vocals and a lot of guitar."
please find more of this this is such smooth funky piano,"PLEASE find more of this, this is such smooth funky piano!!!"
new artist i found kazi deyna,New Artist I Found - Kazi Deyna
artists like carpenters and air supply,Artists like Carpenters and Air Supply?
i am looking for a drop scream similar to the one at 1 27 in the song sℒen its not love i gave you space,I am looking for a »drop/scream« similar to the one at 1:27 in the song: sℒen - IT'S NOT LOVE//I GAVE YOU SPACE
a love interest took his own life | emotional songs to help me cope,A love interest took his own life. Emotional songs to help me cope?
recommend me music similar to the one in this playlist | i use it for running,recommend me music similar to the one in this playlist? i use it for running
pop hip hop or indie that gives a strong personality i can get hooked onto easily,"Pop, Hip hop, or indie that gives a strong personality I can get hooked onto easily"
latin horns guitar with energy,Latin Horns / Guitar With Energy
looking for music with a strong beat to vibe to | would appreciate any suggestions,looking for music with a strong beat to vibe to. Would appreciate any suggestions :)
dont listen to a lot of edm but i really like porter robinsons shelter need more songs like it,"Dont listen to a lot of EDM, but I really like Porter Robinsons ""Shelter"", need more songs like it."
workout song suggestions,Workout song suggestions
looking for similar beat,Looking for similar beat
artists similar to khai dreams,Artists similar to Khai Dreams?
what are some good punk bands that arent grungy,What are some good punk bands that aren't 'grungy'?
what music would you give an angsty teen that has a narcissistic personality yet hates him self the most | something heavy that would be an outlet,What music would you give an angsty teen that has a narcissistic personality yet hates him self the most? Something heavy that would be an outlet
best of 2020,Best of 2020?
downtempo trip hop instrumentals,Downtempo/trip hop instrumentals?
know of any songs that sound similar to ceremony by new order,Know of any songs that sound similar to Ceremony by New Order?
looking for songs similar to this in composition | indie acoustic pop,Looking for songs similar to this in composition. (Indie/acoustic pop?)
some indie alt or math rock,Some Indie/Alt or Math Rock?
bubble gum r&b,Bubble gum R&B?
looking for epic intimidating scary powerful choir music,Looking for Epic/Intimidating/Scary/Powerful Choir Music
any songs related to sexual tension between two people or about both not being sure whether the other is into them,any songs related to sexual tension between two people or about both not being sure whether the other is into them?
songs bands like the metalcore easter eggs from cod waw zombies,Songs/Bands like the Metalcore Easter Eggs from COD:WAW Zombies?
music similar to alice by pogo,Music similar to Alice by Pogo?
songs to give a sense of exploration,Songs to give a sense of exploration
looking for songs that fit this genre of electronic music | i dont know what its called,Looking for songs that fit this genre of electronic music (I don't know what it's called)
lean pour it up by lawdyamx,Lean (Pour It Up) by LawdYamx
looking for a specific kind of calm techno which i enjoy listening to for studying | something with a slow build up and maybe talking in the beginning | eg therapiestunde 16 osten legal and giorgio by moroder | daft punk,Looking for a specific kind of calm techno which I enjoy listening to for studying. Something with a slow build up and maybe talking in the beginning. E.g. Therapiestunde 16 (Osten Legal) and Giorgio by Moroder (Daft Punk)
more beautiful smooth tunes like this,more beautiful smooth tunes like this
songs that make you believe in god,Songs that make you believe in god
are there any artists that have similar vibes to nobody by mitski,Are there any artists that have similar vibes to Nobody by Mitski?
obsessive love songs,obsessive love songs
cyberpunk japanese inspirations,Cyberpunk Japanese inspirations
trying to find songs like whered all the time go by dr dog,Trying to find songs like “where’d all the time go” by Dr. Dog
upbeat summer teenage road trip vibe songs,Upbeat summer teenage road trip vibe songs?
looking for songs with indian carnatic esque strings,Looking for songs with indian/carnatic-esque strings
looking for stuff like gzuzs wolke 7 album,"Looking for stuff like Gzuz's ""Wolke 7"" album"
mad at a girl,Mad at a girl...
music similar to lost radiance | modular synth no drums,"Music similar to Lost Radiance? (modular synth, no drums)"
stressful harsh anxiety inducing electronic music,"Stressful, Harsh, Anxiety inducing electronic music"
looking for music i can blast as i drive,Looking for music i can blast as i drive
looking for music similar to bright eyes at the bottom of everything,Looking for music similar to Bright Eyes - At The Bottom of Everything
lf songs that will make me feel something,LF songs that will make me feel something
songs similar to new light by john mayer,songs similar to new light by john mayer?
alice in chains fan looking for more,Alice in Chains fan looking for more.
im looking for more metalcore bands like amity affliction,I’m looking for more metalcore bands like Amity Affliction
any music artist like nox arcana,Any music artist like Nox Arcana
looking for new songs here my current playlist,Looking for new songs here my current playlist
looking for music to listen to while drunk and alone,Looking for music to listen to while drunk and alone.
anything techno,Anything techno
this big band jazz cover of pimp | by 50 cent is groovy | what is this genre called,This (big band/ jazz?) cover of P.I.M.P. by 50 Cent is groovy! What is this genre called?
looking for a genre,Looking for a genre
similar songs to bonobo prelude,Similar songs to Bonobo - Prelude?
music that sounds like this,Music that sounds like this
looking for hardrock metal songs with similar sounds,Looking for hardrock/metal songs with similar sounds
songs similar to the beginning of change my heart by ummet ozcan ft laurell,Songs similar to the beginning of Change my Heart by Ummet Ozcan ft Laurell
recommend songs like these,RECOMMEND SONGS LIKE THESE
music equipment recommendations,Music equipment recommendations?
looking for southern gothic inspired bands,Looking for southern gothic inspired bands
songs with spoken word,Songs with spoken word???
similar vibe to this | just comforting songs | im not sure how to describe it,"Similar vibe to this? Just, comforting songs? I'm not sure how to describe it"
instramental music similar to intruxx by glass animals,Instramental Music Similar to Intruxx by Glass Animals
music like jay munly,Music like Jay Munly
needing new music suggestions,Needing new music suggestions
and suggestions for my playlists | its mostly punk rock alternative rock and a few others scattered about,And suggestions for my playlists(its mostly punk rock/ alternative rock and a few others scattered about)
prog metal suggestions,Prog Metal Suggestions
anything similar to some people say | love the dirty beat and the kind of spoken word intro to the drop,anything similar to Some People Say? Love the dirty beat and the kind of spoken word intro to the drop
looking for music like murder your memory by title fight,Looking for music like murder your memory by title fight
suggestions about good obsessive love songs,Suggestions about good obsessive love songs?
any songs similar to i wish by skee lo | 95,any songs similar to “i wish” by skee-lo (‘95)?
any songs artists out there that sound like this | nice and mellow i love it,Any songs/ artists out there that sound like this? Nice and mellow I love it!
suggestions for songs like lovelyday by poptartpete,Suggestions for songs like LovelyDay by PoptartPete?
im looking for some grooves that give you the nostalgic vibe of being an innocent high schooler hanging out with a friend group in the 1970s before the internet corrupted teen minds,"I'm looking for some grooves that give you the nostalgic vibe of being an innocent high schooler hanging out with a friend group in the 1970s, before the internet corrupted teen minds"
looking for bands like thrice thursday the juliana theory hoobastank haste,"Looking for bands like Thrice, Thursday, The Juliana Theory, Hoobastank, Haste"
looking for some fast technical bluegrass,Looking for some fast technical bluegrass
songs for a witch | warning very nerdy,Songs for a Witch? Warning: Very Nerdy
looking for trippy fun songs with a repetitive beat,Looking for trippy/fun songs with a repetitive beat
trying to figure out what genre im looking for,Trying to figure out what Genre I'm looking for
know any music like black coast trndsttr | lucian remix,"Know any music like ""Black Coast - Trndsttr (Lucian Remix)""?"
something akin to any of the last three albums of brand new,Something akin to any of the last three albums of Brand New.
happy break up songs,Happy break up songs?
need suggestions for relatively newbie,Need suggestions for relatively newbie.
looking for metal songs similar to the below list,Looking for Metal songs similar to the below list
songs similar to these ones,songs similar to these ones?
song to send to a friend,Song to send to a friend.
episodic songs songs with different bits,"Episodic Songs/Songs with ""different bits'."
90s songs by black women,90s songs by Black Women.
what should i listen to if i like the album paper mâché dream balloon by king gizzard and the lizard wizard,What should I listen to if I like the album: Paper Mâché Dream Balloon by King Gizzard and the Lizard Wizard?
looking for songs similar to dark was the night,Looking for songs similar to dark was the night
suzi wu error 404,Suzi Wu - Error 404
songs bands albums similar to santeria by sublime,Songs / bands / albums similar to “Santeria” by Sublime
anything similar to all the pretty girls by kaleo,Anything similar to All The Pretty Girls by Kaleo?
loading up the bass cannon fire,Loading up the bass cannon...fire!
emotional songs with female singers,Emotional Songs with Female Singers
looking for recommendations based on a few songs punk rock mostly,"Looking for recommendations based on a few songs, punk-rock mostly"
lf songs similar to tesseract luminary,LF songs similar to Tesseract - Luminary
looking for songs with this specific unique effect,Looking for songs with this specific unique effect
looking for similar songs to hippie sabotage high enough | halsey flip,Looking for similar songs to Hippie Sabotage - High Enough (Halsey Flip)
looking for a sad song to listen to with my best friend who i wont see again for a long time,Looking for a sad song to listen to with my best friend who I won't see again for a long time.
tropical house hits 2020,Tropical House Hits 2020
80s style synthwave music what artists songs would i like,80s style Synthwave music what artists/songs would I like?
dré anthony bands,Dré Anthony - Bands
the electronic vibes,The electronic vibes
what type of music is the score unstoppable | and what other songs might i like,What type of music is The Score - Unstoppable? And what other songs might I like?
something similar to highly suspect self titled,Something similar to Highly Suspect self titled
suggestions needed,Suggestions needed
artists like yung gravy | upbeat,Artists like Yung Gravy (upbeat)
songs like i dont know by paul mccartney,"Songs like ""I don't know"" by Paul McCartney?"
songs about making money creating wealth etc,"Songs about making money, creating wealth etc. ?"
songs like green days brain stew,"Songs like Green Day's ""Brain Stew?"""
songs that are dark techno aka killer game music,Songs that are dark techno a.k.a killer game music.
im looking for more songs artists that resemble white iverson and go flex by post malone | the chill melodic vibes of both of those songs are so unique,"I’m looking for more songs/artists that resemble “White Iverson” and “Go Flex” by Post Malone. The chill, melodic vibes of both of those songs are so unique."
more classical like this | frank zappa regyptian strut please no frank suggestions,More CLASSICAL like this; Frank Zappa - Regyptian Strut -- please no Frank suggestions
any songs that sound similar to 12 28,any songs that sound similar to :12~28
any suggestions for french singers songs like videoclub,any suggestions for French singers/ songs like 'VIDEOCLUB'?
vaboh i never thought youd be my enemy,Vaboh - i never thought youd be my enemy
what are some good songs about penance and guilt about the past,What are some good songs about penance and guilt about the past?
songs like cigarette offonoff,Songs like Cigarette - offonoff
good full albums that tell a story,Good full albums that tell a story!
looking for psychedelic rock similar to this,Looking for psychedelic rock similar to this
looking for some sad black metal,Looking for some sad black metal
im having a party and i need some good music,I'm having a party and I need some good music.
song suggestions that are powerful guteral and utterly primal | ones that drop your balls through the floor elevate testosterone levels through the sky and eviscerate your larynx through the sheer power of your chants,"Song suggestions that are powerful, guteral, and utterly primal. Ones that drop your balls through the floor, elevate testosterone levels through the sky, and eviscerate your larynx through the sheer power of your chants."
know any songs with nonsense lyrics or are good while studying,Know any songs with nonsense lyrics or are good while studying?
song with the sane upbeat vibes as this kanye excerpt with african choir,Song with the sane upbeat vibes as this Kanye excerpt with African choir
songs or bands that sound similar to this,songs or bands that sound similar to this?
any albums similar to in the aeroplane over the sea and or the glow pt 2,"Any albums similar to ""in the aeroplane over the sea"" and or ""the glow pt 2""?"
looking for songs about water or fire similar to these,Looking for songs about water or fire similar to these...
into ben&ben songs any recommendations for similar genre music style,"Into Ben&Ben songs, any recommendations for similar genre/music style?"
tragedy music,Tragedy music?
suggest some music like $uicideboy$,suggest some music like $uicideboy$
looking for songs that sound similar to the crystal method smile,"Looking for songs that sound similar to ""The Crystal Method - Smile"""
similar artists to aliceband,Similar artists to AlicebanD ?
songs with epic kinda opera like vocals,Songs with epic kinda opera-like vocals?
roadtrip music suggestions,Roadtrip music suggestions?
help needed finding similar bops | i love the sounds and need to find a genre to classify this as,Help needed finding similar bops. I love the sounds and need to find a genre to classify this as.
songs similar to jai paul jasmine,Songs similar to Jai Paul - Jasmine
what artists are similar to agnes obel,What artists are similar to Agnes Obel
im looking for similar music like this one,I'm looking for similar music like this one. :)
need songs like icon by jaden smith,need songs like icon by jaden smith
back again for band suggestions,Back again for band suggestions
recommendations for music similar to roy orbisons 80s albums,Recommendations for music similar to Roy Orbison’s 80’s albums?
bittersweet songs about giving up,Bittersweet songs about giving up?
recommend a genre or similar songs that match the austin powers verse from erb,Recommend a genre or similar songs that match the Austin Powers verse from ERB
songs with production similar to babyjake cigarettes on patios,Songs with production similar to BabyJake- Cigarettes on Patios
music similiar to frank ocean blonde,Music similiar to Frank Ocean - Blonde?
songs similar to these three songs,Songs Similar to these Three songs?
musicians like akira yamaoka,Musicians like Akira Yamaoka?
kpop songs that define 2018,KPOP SONGS THAT DEFINE 2018
is there any similar music with acoustic guitar strumming like this,Is there any similar Music with acoustic guitar strumming like this?
sounds like hypnotized by fleetwood mac help on the way by grateful dead,Sounds like Hypnotized by Fleetwood Mac/Help on the Way by Grateful Dead?
looking for swing style music,Looking for swing style music
help for a playlist,Help for a playlist!
how do you call music with like japanese eastern elements | like nice chill beats but with the eastern elements vibes to it | or with arabic vibes | i tried several times looking for it but cant really find the good stuff,How do you call music with like japanese / eastern elements? Like nice chill beats but with the eastern elements / vibes to it. Or with arabic vibes. I tried several times looking for it but can't really find the good stuff.
what are some good songs to listen to specifically at night,What are some good songs to listen to specifically at night?
looking for some rather specific love romantic songs,Looking for some rather specific love/romantic songs.
what other music would i like,What other music would i like
suggest music that is similar to what is found on the o brother where art thou | soundtrack,suggest music that is similar to what is found on the O' Brother Where Art Thou? soundtrack?
songs like cute aggression by nicole dollanganger or kill v main by grimes,Songs like Cute Aggression by Nicole Dollanganger or Kill V Main by Grimes?
song for when you know youre not right for each other but you still love them,Song for when you know you're not right for each other but you still love them?
looking for more super deep beats like this | starting around 2 35,Looking for more super deep beats like this (starting around 2:35)
similar voices to gin wigmore and paloma faith,Similar Voices To Gin Wigmore and Paloma Faith
what music suggestions would you give based on this,What music suggestions would you give based on this?
some cool ambientish music,Some cool ambientish music
any songs that have a similar melody to negative space by spineshank,Any songs that have a similar melody to negative space by spineshank?
something like pretty vicious or gorillaz,Something like pretty vicious or gorillaz
suggest music like this please | from time 3 30 to 4 30,Suggest music like this please ! From time 3:30 to 4:30
any song or artist suggestions with a similar sound to this,Any song or artist suggestions with a similar sound to this?
gospel rap and r&b,Gospel rap and R&B
songs similar to black from breaking bad by dangermouse danielle luppi ft norah jones,"Songs similar to “Black” from Breaking Bad - by Dangermouse, Danielle Luppi, ft. Norah Jones"
looking for songs similar to this one | loving this genre atm,Looking for songs similar to this one? Loving this genre atm.
any songs kinda like one more light and heavy by linkin park,Any songs kinda like One More Light and Heavy by Linkin Park?
lester p astro girl,Lester P - Astro Girl
suggestions for songs similar to the following,suggestions for songs similar to the following:
songs like night traveler dont forget me,Songs like Night Traveler - Don't Forget Me?
looking for non atmospheric amen break dnb,Looking for non atmospheric Amen break DnB
songs like this bass y lofi violin track,Songs like this bass-y lofi violin track
songs that sound like this | the replacements androgynous,Songs that sound like this. The Replacements - Androgynous
a song similar in style to wilbur soots music,A song similar in style to Wilbur Soot’s music
i need heavy metal love songs if gendered then preferably about women,"I need heavy metal love songs, if gendered then preferably about women"
song similar to box of rain or ripple by the grateful dead,Song similar to Box of Rain or Ripple by the Grateful Dead?
looking for flute and or drum music with an old west style,Looking for flute and or drum music with an old West style
looking for high momentum edm synthwave songs,looking for high momentum EDM/Synthwave songs
looking for mysterious electronic ambient songs,"Looking for mysterious, electronic ambient songs"
drugs by lil aaron,Drugs by Lil Aaron
songs with saxophone solos instrumentals,Songs With Saxophone solos/instrumentals
any good songs like major lazers light it up remix,Any good songs like Major Lazer's Light It Up remix?
music with clever word play,Music with clever word play
looking for songs with heavy ancient greek references or mythological undertones,Looking for songs with heavy Ancient Greek references or mythological undertones
need suggestions for some new stuff,Need suggestions for some new stuff
what genre would you call this | the two guys duet and guitar thing | and are there any similar english songs,What genre would you call this (the two guys duet and guitar thing)? And are there any similar English songs?
any bands similar to morphine,any bands similar to Morphine?
looking for rock metal music with japanese lyrics | no weeb trash pls,Looking for rock/metal music with japanese lyrics (no weeb trash pls)
music with the similar feel as remember me,"Music with the similar feel as ""Remember me"""
trip hop acid jazz or downtempo songs with a female vocalist,"Trip-Hop , Acid Jazz or Downtempo songs with a female vocalist"
any other songs that sound like this,any other songs that sound like this
suggest something similar to mansionz im thinking about horses,"suggest something similar to ""mansionz - I'm Thinking About Horses""?"
preferably instrumental music like this,Preferably instrumental music like this...?
help me add good driving songs for my ireland trip,Help me add good driving songs for my Ireland Trip!
cal scruby kiiara,cal scruby - kiiara
tame impala elephant,Tame Impala Elephant.
whats the genre of music of these 2 songs,What's the genre of music of these 2 songs?
anfa rose im good prod | dopamne,Anfa Rose - I'm Good (Prod. DOPAM!NE)
if my two favourite songs are where is my mind by the pixies and mayonaise by the smashing pumpkins what song i would love,"If my two favourite songs are Where Is My Mind by The Pixies, and Mayonaise by The Smashing Pumpkins, what song I would love ?"
songs similar to saltwater by chicane,"Songs similar to ""Saltwater"" by Chicane?"
pop indie oldies | which songs resonate the most on those cool summer days when its windy and partly cloudy,[pop/indie/oldies] Which songs resonate the most on those cool summer days when it's windy and partly cloudy?
trying to find older tunes that give off a summer vibe,Trying to find older tunes that give off a summer vibe
are there any songs with a clarinet solo like this,Are there any songs with a clarinet solo like this
im in love with that 80s sounding music think stranger things driver but im not sure how to find more | what might you suggest,"I'm in love with that 80's sounding music (think Stranger Things, Driver), but I'm not sure how to find more. What might you suggest?"
request songs that are lyrically soothing and accepting of death past events homesickness loneliness solitude,"Request: Songs that are lyrically soothing and accepting of death, past events, homesickness, loneliness, solitude."
melodic and melancholic,melodic and melancholic
looking for songs similar to childhood by subculture sage,Looking for songs similar to Childhood by Subculture Sage.
im looking for songs about inner strength and being strong overcoming a bad day or bad times,I’m looking for songs about inner strength and being strong overcoming a bad day or bad times
exciting rap music that has an intense beat,Exciting rap music that has an intense beat.
music with this kind of vocal,Music with this kind of vocal?
video game background music,Video game background music?
looking for punchy bass songs,Looking for Punchy bass songs
my best friend boyfriend soulmate killed himself st patricks day | any songs to help me feel it,My best friend/boyfriend/soulmate killed himself st. Patrick's day. Any songs to help me feel it?
please suggest similar songs | alessia cara astrid s daya flume hailee steinfeld julia michaels kiiara mø zara larsson,"Please suggest similar songs (Alessia Cara, Astrid S, Daya, Flume, Hailee Steinfeld, Julia Michaels, Kiiara, MØ, Zara Larsson)"
emotional songs that build up throughout,Emotional songs that 'build up' throughout?
music for creeping around in the dark like a weirdo,"Music for creeping around in the dark, like a weirdo."
looking for some dark and grimy hip hop,Looking for some dark and grimy hip-hop
folk lo fi suggestions | very specific,folk lo-fi suggestions? very specific
looking for music like this,looking for music like this
music similar to the black skirts everything,Music similar to The Black Skirts - Everything?
need some chill music with unconventional instruments,Need some chill music with unconventional instruments
any songs like slow dancing in a burning room by john mayers,Any Songs like Slow Dancing in A Burning Room by John Mayers?
anything similar to this,Anything similar to this
tradition fluer de lis rdgldgrn,Tradition/Fluer De Lis - RDGLDGRN
any songs like whats up danger from into the spider verse,"Any songs like ""What's up danger"" from Into the Spider-verse"
any artists simular to kealy,Any artists simular to Kealy?
i love old town road and the git up | havent found anything similar,I love Old Town Road and The Git up. Haven't found anything similar.
looking for songs that give summer vibes,Looking for songs that give summer vibes
looking for post pop punk albums released within the power 3 years,Looking for post-pop punk albums released within the power 3 years
