id,text,start_offset,end_offset,label
14680,for fans of 70s psychedelia and progressive rock | think kansas meets king crimson and at the end grateful dead crashes the party,70,82,Artist_deduced
14680,for fans of 70s psychedelia and progressive rock | think kansas meets king crimson and at the end grateful dead crashes the party,98,111,Artist_known
14680,for fans of 70s psychedelia and progressive rock | think kansas meets king crimson and at the end grateful dead crashes the party,57,63,Artist_deduced
14681,music like metal gear risings ost,11,29,WoA_known
14682,dark unnerving bluesy songs like george ezras spectacular rival,33,45,Artist_known
14682,dark unnerving bluesy songs like george ezras spectacular rival,46,63,WoA_deduced
14684,allman bros live at fillmore east | cant get enough of it | any recs of similar albums bands,0,11,Artist_deduced
14684,allman bros live at fillmore east | cant get enough of it | any recs of similar albums bands,12,16,WoA_deduced
14684,allman bros live at fillmore east | cant get enough of it | any recs of similar albums bands,36,57,WoA_deduced
14688,like infected mushroom but more edgy,5,22,Artist_deduced
14689,songs similar to show me love by hundred waters,17,29,WoA_deduced
14689,songs similar to show me love by hundred waters,33,47,Artist_deduced
14690,newer 2005+ ballads in the style of toni braxtons un break my heart jessica simpson & nick lacheys where you are stevie wonders all in love is fair,36,49,Artist_deduced
14690,newer 2005+ ballads in the style of toni braxtons un break my heart jessica simpson & nick lacheys where you are stevie wonders all in love is fair,50,67,WoA_deduced
14690,newer 2005+ ballads in the style of toni braxtons un break my heart jessica simpson & nick lacheys where you are stevie wonders all in love is fair,68,83,Artist_deduced
14690,newer 2005+ ballads in the style of toni braxtons un break my heart jessica simpson & nick lacheys where you are stevie wonders all in love is fair,86,98,Artist_deduced
14690,newer 2005+ ballads in the style of toni braxtons un break my heart jessica simpson & nick lacheys where you are stevie wonders all in love is fair,99,112,WoA_deduced
14690,newer 2005+ ballads in the style of toni braxtons un break my heart jessica simpson & nick lacheys where you are stevie wonders all in love is fair,113,127,Artist_known
14690,newer 2005+ ballads in the style of toni braxtons un break my heart jessica simpson & nick lacheys where you are stevie wonders all in love is fair,128,147,WoA_deduced
14691,what should my wife listen to if she likes the regrettes le tigre kate nash and liz phair,43,56,Artist_deduced
14691,what should my wife listen to if she likes the regrettes le tigre kate nash and liz phair,57,65,Artist_deduced
14691,what should my wife listen to if she likes the regrettes le tigre kate nash and liz phair,66,75,Artist_deduced
14691,what should my wife listen to if she likes the regrettes le tigre kate nash and liz phair,80,89,Artist_deduced
14692,something giving off similar vibes as reborn from the heriditary soundtrack,38,44,WoA_deduced
14692,something giving off similar vibes as reborn from the heriditary soundtrack,54,64,WoA_known
14693,bands similar to audioslave,17,27,Artist_deduced
14696,hey recommend me artists similar to adam lambert,36,48,Artist_deduced
14698,looking for a song like rigamortus by kendrick lamar,24,34,WoA_deduced
14698,looking for a song like rigamortus by kendrick lamar,38,52,Artist_known
14700,rap songs like love yourz j cole and 2009 mac miller,15,25,WoA_deduced
14700,rap songs like love yourz j cole and 2009 mac miller,26,32,Artist_deduced
14700,rap songs like love yourz j cole and 2009 mac miller,42,52,Artist_known
14700,rap songs like love yourz j cole and 2009 mac miller,37,41,WoA_deduced
14701,looking for music similar to escape to hangover album by jjy band,39,47,WoA_deduced
14701,looking for music similar to escape to hangover album by jjy band,57,65,Artist_deduced
14705,something like the hearthstone soundtrack,19,30,WoA_deduced
14707,similar tunes to tom zanetti eargasm | aaron jackson remix,17,28,Artist_deduced
14707,similar tunes to tom zanetti eargasm | aaron jackson remix,29,36,WoA_deduced
14707,similar tunes to tom zanetti eargasm | aaron jackson remix,39,52,Artist_deduced
14709,looking for songs like squib cakes by tower of power,23,34,WoA_deduced
14709,looking for songs like squib cakes by tower of power,38,52,Artist_deduced
14710,anything like reprieve by vallis alps,14,22,WoA_deduced
14710,anything like reprieve by vallis alps,26,37,Artist_deduced
14711,similar to yves tumor the feeling when you walk away,11,21,Artist_deduced
14711,similar to yves tumor the feeling when you walk away,22,52,WoA_deduced
14712,music like doom 2016 soundtrack,11,20,WoA_known
14714,songs similar to darkies banana pie,17,24,Artist_deduced
14714,songs similar to darkies banana pie,25,35,WoA_deduced
14715,similar music to reel around the sun lord of the dance the cup of tea the banshee hand me down the tackles,70,81,Artist_deduced
14715,similar music to reel around the sun lord of the dance the cup of tea the banshee hand me down the tackles,17,36,WoA_deduced
14715,similar music to reel around the sun lord of the dance the cup of tea the banshee hand me down the tackles,37,54,Artist_deduced
14715,similar music to reel around the sun lord of the dance the cup of tea the banshee hand me down the tackles,55,69,WoA_deduced
14715,similar music to reel around the sun lord of the dance the cup of tea the banshee hand me down the tackles,82,94,WoA_deduced
14715,similar music to reel around the sun lord of the dance the cup of tea the banshee hand me down the tackles,95,106,Artist_deduced
14716,looking for something with a slow swaggering tune similar too some of adams blues,70,81,Artist_deduced
14717,great songs about meaninglessness like how to fight loneliness by wilco or time by pink floyd,39,62,WoA_deduced
14717,great songs about meaninglessness like how to fight loneliness by wilco or time by pink floyd,66,71,Artist_deduced
14717,great songs about meaninglessness like how to fight loneliness by wilco or time by pink floyd,75,79,WoA_known
14717,great songs about meaninglessness like how to fight loneliness by wilco or time by pink floyd,83,93,Artist_known
14718,similar songs like lilly wood & the prick and robin schulz prayer in c | 5th anniversary rework,19,41,Artist_known
14718,similar songs like lilly wood & the prick and robin schulz prayer in c | 5th anniversary rework,46,58,Artist_known
14718,similar songs like lilly wood & the prick and robin schulz prayer in c | 5th anniversary rework,59,70,WoA_deduced
14718,similar songs like lilly wood & the prick and robin schulz prayer in c | 5th anniversary rework,73,95,WoA_deduced
14719,looking for more artists that sound like sucré,41,46,Artist_deduced
14733,songs that are similar to goner by twenty one pilots,26,31,WoA_deduced
14733,songs that are similar to goner by twenty one pilots,35,52,Artist_deduced
14735,artists like tobi lou and kota the friend,13,21,Artist_deduced
14735,artists like tobi lou and kota the friend,26,41,Artist_deduced
14738,music similar to fox stevensons sweet,17,31,Artist_deduced
14738,music similar to fox stevensons sweet,32,37,WoA_deduced
14740,songs similar to elliott smiths independence day or son of sam,17,31,Artist_deduced
14740,songs similar to elliott smiths independence day or son of sam,32,48,WoA_deduced
14740,songs similar to elliott smiths independence day or son of sam,52,62,WoA_deduced
14742,any suggestions that are more local not as known songs that will fit this daria themed playlist,74,79,WoA_deduced
14743,black magic boy fran hall,0,15,WoA_deduced
14743,black magic boy fran hall,16,25,Artist_deduced
14747,songs like through the valley and hurt,11,29,WoA_deduced
14747,songs like through the valley and hurt,34,38,WoA_deduced
14748,artists like newton faulkner or halestorm | i like alot of music okay,13,28,Artist_deduced
14748,artists like newton faulkner or halestorm | i like alot of music okay,32,41,Artist_deduced
14749,songs like i am me | haywyre,11,18,WoA_deduced
14749,songs like i am me | haywyre,21,28,Artist_deduced
14750,looking for music like kyoto by aso,23,28,WoA_deduced
14750,looking for music like kyoto by aso,32,35,Artist_deduced
14753,new artist i found kazi deyna,19,29,Artist_deduced
14754,artists like carpenters and air supply,13,23,Artist_deduced
14754,artists like carpenters and air supply,28,38,Artist_deduced
14755,i am looking for a drop scream similar to the one at 1 27 in the song sℒen its not love i gave you space,70,104,WoA_deduced
14761,dont listen to a lot of edm but i really like porter robinsons shelter need more songs like it,46,62,Artist_deduced
14761,dont listen to a lot of edm but i really like porter robinsons shelter need more songs like it,63,70,WoA_deduced
14764,artists similar to khai dreams,19,30,Artist_deduced
14769,know of any songs that sound similar to ceremony by new order,40,48,WoA_deduced
14769,know of any songs that sound similar to ceremony by new order,52,61,Artist_known
14775,songs bands like the metalcore easter eggs from cod waw zombies,17,42,WoA_deduced
14775,songs bands like the metalcore easter eggs from cod waw zombies,48,63,WoA_deduced
14776,music similar to alice by pogo,17,22,WoA_deduced
14776,music similar to alice by pogo,26,30,Artist_deduced
14779,lean pour it up by lawdyamx,19,27,Artist_deduced
14779,lean pour it up by lawdyamx,0,15,WoA_deduced
14780,looking for a specific kind of calm techno which i enjoy listening to for studying | something with a slow build up and maybe talking in the beginning | eg therapiestunde 16 osten legal and giorgio by moroder | daft punk,211,220,Artist_known
14780,looking for a specific kind of calm techno which i enjoy listening to for studying | something with a slow build up and maybe talking in the beginning | eg therapiestunde 16 osten legal and giorgio by moroder | daft punk,156,173,WoA_deduced
14780,looking for a specific kind of calm techno which i enjoy listening to for studying | something with a slow build up and maybe talking in the beginning | eg therapiestunde 16 osten legal and giorgio by moroder | daft punk,174,185,Artist_deduced
14780,looking for a specific kind of calm techno which i enjoy listening to for studying | something with a slow build up and maybe talking in the beginning | eg therapiestunde 16 osten legal and giorgio by moroder | daft punk,190,208,WoA_known
14783,are there any artists that have similar vibes to nobody by mitski,49,55,WoA_deduced
14783,are there any artists that have similar vibes to nobody by mitski,59,65,Artist_deduced
14786,trying to find songs like whered all the time go by dr dog,52,58,Artist_deduced
14786,trying to find songs like whered all the time go by dr dog,26,48,WoA_deduced
14789,looking for stuff like gzuzs wolke 7 album,23,34,Artist_deduced
14791,music similar to lost radiance | modular synth no drums,17,30,Artist_or_WoA_deduced
14794,looking for music similar to bright eyes at the bottom of everything,29,40,Artist_deduced
14794,looking for music similar to bright eyes at the bottom of everything,41,68,WoA_deduced
14796,songs similar to new light by john mayer,17,26,WoA_deduced
14796,songs similar to new light by john mayer,30,40,Artist_deduced
14797,alice in chains fan looking for more,0,15,Artist_deduced
14798,im looking for more metalcore bands like amity affliction,41,57,Artist_deduced
14799,any music artist like nox arcana,22,32,Artist_deduced
14803,this big band jazz cover of pimp | by 50 cent is groovy | what is this genre called,28,32,WoA_deduced
14803,this big band jazz cover of pimp | by 50 cent is groovy | what is this genre called,38,45,Artist_known
14805,similar songs to bonobo prelude,17,23,Artist_deduced
14805,similar songs to bonobo prelude,24,31,WoA_deduced
14808,songs similar to the beginning of change my heart by ummet ozcan ft laurell,34,49,WoA_deduced
14808,songs similar to the beginning of change my heart by ummet ozcan ft laurell,53,64,Artist_deduced
14808,songs similar to the beginning of change my heart by ummet ozcan ft laurell,68,75,Artist_deduced
14814,instramental music similar to intruxx by glass animals,30,37,WoA_deduced
14814,instramental music similar to intruxx by glass animals,41,54,Artist_known
14815,music like jay munly,11,20,Artist_deduced
14819,anything similar to some people say | love the dirty beat and the kind of spoken word intro to the drop,20,35,WoA_deduced
14820,looking for music like murder your memory by title fight,23,41,WoA_deduced
14820,looking for music like murder your memory by title fight,45,56,Artist_deduced
14822,any songs similar to i wish by skee lo | 95,21,27,WoA_deduced
14822,any songs similar to i wish by skee lo | 95,31,38,Artist_deduced
14824,suggestions for songs like lovelyday by poptartpete,27,36,WoA_deduced
14824,suggestions for songs like lovelyday by poptartpete,40,51,Artist_deduced
14826,looking for bands like thrice thursday the juliana theory hoobastank haste,23,38,Artist_deduced
14826,looking for bands like thrice thursday the juliana theory hoobastank haste,39,57,Artist_deduced
14826,looking for bands like thrice thursday the juliana theory hoobastank haste,58,74,Artist_deduced
14831,know any music like black coast trndsttr | lucian remix,20,31,WoA_deduced
14831,know any music like black coast trndsttr | lucian remix,32,40,Artist_deduced
14831,know any music like black coast trndsttr | lucian remix,43,49,Artist_deduced
14832,something akin to any of the last three albums of brand new,50,59,Artist_deduced
14840,what should i listen to if i like the album paper mâché dream balloon by king gizzard and the lizard wizard,73,85,Artist_deduced
14840,what should i listen to if i like the album paper mâché dream balloon by king gizzard and the lizard wizard,94,107,Artist_deduced
14840,what should i listen to if i like the album paper mâché dream balloon by king gizzard and the lizard wizard,44,69,WoA_deduced
14841,looking for songs similar to dark was the night,29,47,WoA_deduced
14842,suzi wu error 404,0,7,Artist_deduced
14842,suzi wu error 404,8,17,WoA_deduced
14843,songs bands albums similar to santeria by sublime,30,38,WoA_deduced
14843,songs bands albums similar to santeria by sublime,42,49,Artist_deduced
14844,anything similar to all the pretty girls by kaleo,20,40,WoA_deduced
14844,anything similar to all the pretty girls by kaleo,44,49,Artist_deduced
14848,lf songs similar to tesseract luminary,20,29,WoA_deduced
14848,lf songs similar to tesseract luminary,30,38,Artist_deduced
14850,looking for similar songs to hippie sabotage high enough | halsey flip,29,44,WoA_deduced
14850,looking for similar songs to hippie sabotage high enough | halsey flip,45,56,WoA_deduced
14850,looking for similar songs to hippie sabotage high enough | halsey flip,59,70,WoA_deduced
14854,dré anthony bands,0,11,Artist_deduced
14856,what type of music is the score unstoppable | and what other songs might i like,32,43,WoA_deduced
14860,songs like i dont know by paul mccartney,26,40,Artist_known
14859,artists like yung gravy | upbeat,13,23,Artist_deduced
14859,artists like yung gravy | upbeat,26,32,Artist_deduced
14857,something similar to highly suspect self titled,36,47,Artist_deduced
14857,something similar to highly suspect self titled,21,35,WoA_deduced
14862,songs like green days brain stew,11,21,Artist_known
14862,songs like green days brain stew,22,32,WoA_deduced
14864,im looking for more songs artists that resemble white iverson and go flex by post malone | the chill melodic vibes of both of those songs are so unique,65,73,WoA_deduced
14864,im looking for more songs artists that resemble white iverson and go flex by post malone | the chill melodic vibes of both of those songs are so unique,77,88,Artist_known
14864,im looking for more songs artists that resemble white iverson and go flex by post malone | the chill melodic vibes of both of those songs are so unique,48,61,WoA_deduced
14865,more classical like this | frank zappa regyptian strut please no frank suggestions,27,38,Artist_known
14866,any songs that sound similar to 12 28,32,37,WoA_deduced
14867,any suggestions for french singers songs like videoclub,46,55,Artist_deduced
14868,vaboh i never thought youd be my enemy,0,5,Artist_deduced
14868,vaboh i never thought youd be my enemy,6,38,WoA_deduced
14870,songs like cigarette offonoff,11,29,Artist_or_WoA_deduced
14877,song with the sane upbeat vibes as this kanye excerpt with african choir,40,45,Artist_known
14879,any albums similar to in the aeroplane over the sea and or the glow pt 2,63,72,WoA_deduced
14879,any albums similar to in the aeroplane over the sea and or the glow pt 2,22,51,WoA_deduced
14881,into ben&ben songs any recommendations for similar genre music style,5,12,Artist_deduced
14883,suggest some music like $uicideboy$,24,35,Artist_deduced
14884,looking for songs that sound similar to the crystal method smile,40,58,Artist_deduced
14884,looking for songs that sound similar to the crystal method smile,59,64,WoA_deduced
14885,similar artists to aliceband,19,28,Artist_deduced
14889,songs similar to jai paul jasmine,17,33,Artist_deduced
14890,what artists are similar to agnes obel,28,38,Artist_known
14892,need songs like icon by jaden smith,16,20,WoA_deduced
14892,need songs like icon by jaden smith,24,35,Artist_known
14894,recommendations for music similar to roy orbisons 80s albums,37,49,Artist_known
14896,recommend a genre or similar songs that match the austin powers verse from erb,50,63,Artist_known
14896,recommend a genre or similar songs that match the austin powers verse from erb,75,78,WoA_deduced
14897,songs with production similar to babyjake cigarettes on patios,33,52,WoA_deduced
14897,songs with production similar to babyjake cigarettes on patios,56,62,WoA_deduced
14898,music similiar to frank ocean blonde,18,29,Artist_known
14898,music similiar to frank ocean blonde,30,36,WoA_deduced
14900,musicians like akira yamaoka,15,28,Artist_deduced
14903,sounds like hypnotized by fleetwood mac help on the way by grateful dead,12,22,WoA_deduced
14903,sounds like hypnotized by fleetwood mac help on the way by grateful dead,26,39,Artist_known
14903,sounds like hypnotized by fleetwood mac help on the way by grateful dead,59,72,Artist_known
14903,sounds like hypnotized by fleetwood mac help on the way by grateful dead,40,55,WoA_deduced
14910,suggest music that is similar to what is found on the o brother where art thou | soundtrack,54,78,WoA_known
14911,songs like cute aggression by nicole dollanganger or kill v main by grimes,11,26,WoA_deduced
14911,songs like cute aggression by nicole dollanganger or kill v main by grimes,30,49,Artist_deduced
14911,songs like cute aggression by nicole dollanganger or kill v main by grimes,53,64,WoA_deduced
14911,songs like cute aggression by nicole dollanganger or kill v main by grimes,68,74,Artist_known
14914,similar voices to gin wigmore and paloma faith,18,29,Artist_deduced
14914,similar voices to gin wigmore and paloma faith,34,46,Artist_deduced
14917,any songs that have a similar melody to negative space by spineshank,40,54,WoA_deduced
14917,any songs that have a similar melody to negative space by spineshank,58,68,Artist_deduced
14918,something like pretty vicious or gorillaz,15,29,Artist_deduced
14918,something like pretty vicious or gorillaz,33,41,Artist_known
14922,songs similar to black from breaking bad by dangermouse danielle luppi ft norah jones,28,40,WoA_known
14922,songs similar to black from breaking bad by dangermouse danielle luppi ft norah jones,74,85,Artist_known
14922,songs similar to black from breaking bad by dangermouse danielle luppi ft norah jones,17,22,WoA_deduced
14922,songs similar to black from breaking bad by dangermouse danielle luppi ft norah jones,44,55,Artist_deduced
14922,songs similar to black from breaking bad by dangermouse danielle luppi ft norah jones,56,70,Artist_deduced
14924,any songs kinda like one more light and heavy by linkin park,49,60,Artist_known
14924,any songs kinda like one more light and heavy by linkin park,21,35,WoA_deduced
14924,any songs kinda like one more light and heavy by linkin park,40,45,WoA_deduced
14925,lester p astro girl,0,8,Artist_deduced
14925,lester p astro girl,9,19,WoA_deduced
14927,songs like night traveler dont forget me,11,25,Artist_deduced
14927,songs like night traveler dont forget me,26,40,WoA_deduced
14930,songs that sound like this | the replacements androgynous,29,45,Artist_deduced
14930,songs that sound like this | the replacements androgynous,46,57,WoA_deduced
14931,a song similar in style to wilbur soots music,27,39,Artist_deduced
14933,song similar to box of rain or ripple by the grateful dead,16,27,WoA_deduced
14933,song similar to box of rain or ripple by the grateful dead,31,37,WoA_deduced
14933,song similar to box of rain or ripple by the grateful dead,45,58,Artist_known
14937,drugs by lil aaron,0,5,WoA_deduced
14937,drugs by lil aaron,9,18,Artist_deduced
14939,any good songs like major lazers light it up remix,20,32,Artist_known
14939,any good songs like major lazers light it up remix,33,44,WoA_deduced
14944,any bands similar to morphine,21,29,Artist_deduced
14946,music with the similar feel as remember me,31,42,Artist_or_WoA_deduced
14949,suggest something similar to mansionz im thinking about horses,29,37,Artist_deduced
14949,suggest something similar to mansionz im thinking about horses,38,62,WoA_deduced
14952,cal scruby kiiara,0,17,Artist_or_WoA_deduced
14953,tame impala elephant,0,11,Artist_known
14953,tame impala elephant,12,20,WoA_known
14955,anfa rose im good prod | dopamne,0,9,Artist_deduced
14955,anfa rose im good prod | dopamne,10,17,WoA_deduced
14955,anfa rose im good prod | dopamne,18,22,Artist_deduced
14955,anfa rose im good prod | dopamne,25,32,WoA_deduced
14956,if my two favourite songs are where is my mind by the pixies and mayonaise by the smashing pumpkins what song i would love,30,46,WoA_known
14956,if my two favourite songs are where is my mind by the pixies and mayonaise by the smashing pumpkins what song i would love,50,60,Artist_known
14956,if my two favourite songs are where is my mind by the pixies and mayonaise by the smashing pumpkins what song i would love,65,74,WoA_deduced
14956,if my two favourite songs are where is my mind by the pixies and mayonaise by the smashing pumpkins what song i would love,78,99,Artist_deduced
14957,songs similar to saltwater by chicane,17,26,WoA_deduced
14957,songs similar to saltwater by chicane,30,37,Artist_deduced
14971,please suggest similar songs | alessia cara astrid s daya flume hailee steinfeld julia michaels kiiara mø zara larsson,31,50,Artist_deduced
14971,please suggest similar songs | alessia cara astrid s daya flume hailee steinfeld julia michaels kiiara mø zara larsson,58,63,Artist_known
14971,please suggest similar songs | alessia cara astrid s daya flume hailee steinfeld julia michaels kiiara mø zara larsson,53,57,WoA_deduced
14971,please suggest similar songs | alessia cara astrid s daya flume hailee steinfeld julia michaels kiiara mø zara larsson,64,70,Artist_deduced
14971,please suggest similar songs | alessia cara astrid s daya flume hailee steinfeld julia michaels kiiara mø zara larsson,71,80,Artist_or_WoA_deduced
14971,please suggest similar songs | alessia cara astrid s daya flume hailee steinfeld julia michaels kiiara mø zara larsson,81,95,Artist_deduced
14971,please suggest similar songs | alessia cara astrid s daya flume hailee steinfeld julia michaels kiiara mø zara larsson,96,102,Artist_or_WoA_deduced
14971,please suggest similar songs | alessia cara astrid s daya flume hailee steinfeld julia michaels kiiara mø zara larsson,103,110,Artist_deduced
14971,please suggest similar songs | alessia cara astrid s daya flume hailee steinfeld julia michaels kiiara mø zara larsson,111,118,Artist_or_WoA_deduced
14977,music similar to the black skirts everything,21,33,Artist_deduced
14977,music similar to the black skirts everything,34,44,WoA_deduced
14979,any songs like slow dancing in a burning room by john mayers,33,45,WoA_deduced
14979,any songs like slow dancing in a burning room by john mayers,49,60,Artist_deduced
14982,any songs like whats up danger from into the spider verse,15,30,WoA_deduced
14982,any songs like whats up danger from into the spider verse,36,57,WoA_known
14983,any artists simular to kealy,23,28,Artist_deduced
14984,i love old town road and the git up | havent found anything similar,7,20,WoA_known
14984,i love old town road and the git up | havent found anything similar,25,35,WoA_deduced
14987,similar songs to candy castle by glass candy,17,29,WoA_deduced
14987,similar songs to candy castle by glass candy,33,44,Artist_deduced
14989,songs similar to sweet life by frank ocean and the palisades by childish gambino,31,42,Artist_known
14989,songs similar to sweet life by frank ocean and the palisades by childish gambino,64,80,Artist_known
14989,songs similar to sweet life by frank ocean and the palisades by childish gambino,47,60,WoA_deduced
14989,songs similar to sweet life by frank ocean and the palisades by childish gambino,17,27,WoA_deduced
14990,similar songs to kami,17,21,Artist_or_WoA_deduced
14991,any songs like are you in the mood | by bay faction,15,34,WoA_deduced
14991,any songs like are you in the mood | by bay faction,40,51,Artist_deduced
14993,looking for something similar to swans,33,38,Artist_deduced
14998,seeking anthems | quite or loud all it has to do is be epic and make you stop what youre doing and listen | all genres and artists welcome u2 to gloria gaynor to queen to monica | what makes you pump your fist,139,141,Artist_known
14998,seeking anthems | quite or loud all it has to do is be epic and make you stop what youre doing and listen | all genres and artists welcome u2 to gloria gaynor to queen to monica | what makes you pump your fist,145,158,Artist_deduced
14998,seeking anthems | quite or loud all it has to do is be epic and make you stop what youre doing and listen | all genres and artists welcome u2 to gloria gaynor to queen to monica | what makes you pump your fist,171,177,Artist_deduced
14998,seeking anthems | quite or loud all it has to do is be epic and make you stop what youre doing and listen | all genres and artists welcome u2 to gloria gaynor to queen to monica | what makes you pump your fist,162,167,Artist_known
15000,juice wrld motions | 999,21,24,WoA_deduced
15000,juice wrld motions | 999,0,18,Artist_deduced
15001,looking for music similar to gary bartz ntu troop celestial blues,29,39,Artist_deduced
15001,looking for music similar to gary bartz ntu troop celestial blues,40,49,Artist_deduced
15001,looking for music similar to gary bartz ntu troop celestial blues,50,65,Artist_deduced
15010,songs bands similar to sales getting it on off and on and porches mood,23,28,Artist_deduced
15010,songs bands similar to sales getting it on off and on and porches mood,29,53,WoA_deduced
15010,songs bands similar to sales getting it on off and on and porches mood,58,65,Artist_deduced
15010,songs bands similar to sales getting it on off and on and porches mood,66,70,WoA_deduced
15011,looking for more metal bands songs like make them suffer,40,56,WoA_deduced
15012,youngblood by 5 seconds of summer,0,10,WoA_deduced
15012,youngblood by 5 seconds of summer,14,33,Artist_deduced
15014,music like dexy midnight runners come on eileen and men at works land down under,11,32,Artist_deduced
15014,music like dexy midnight runners come on eileen and men at works land down under,33,47,WoA_deduced
15014,music like dexy midnight runners come on eileen and men at works land down under,52,64,Artist_deduced
15014,music like dexy midnight runners come on eileen and men at works land down under,65,80,WoA_deduced
15016,songs like cherokee by kamasi washington,11,19,WoA_known
15016,songs like cherokee by kamasi washington,23,40,Artist_known
15018,looking for something by a contemporary artist with an amy winehouse feel,55,68,Artist_known
15019,similar songs to this | quiet with slow melody | quake ost,49,54,WoA_known
15022,songs similar in sound to the live versions of who will save your soul by jewel,47,70,WoA_deduced
15022,songs similar in sound to the live versions of who will save your soul by jewel,74,79,Artist_deduced
15023,trying to find songs with a similar tone and sound to the metallica all within my hands acoustic shows,58,67,Artist_known
15023,trying to find songs with a similar tone and sound to the metallica all within my hands acoustic shows,68,87,WoA_deduced
15024,what wu tang album to go listen to after 36 chambers,5,12,Artist_known
15024,what wu tang album to go listen to after 36 chambers,41,52,WoA_deduced
15026,songs similar to the look by roxette,29,36,Artist_deduced
15026,songs similar to the look by roxette,17,25,WoA_deduced
15031,looking for songs similar to this lexa terrestrial mix moreso the beat than lyrics,34,50,Artist_or_WoA_deduced
15032,music similiar to lemmino infinity,18,34,Artist_or_WoA_deduced
15033,looking for music similar to some of the songs on the soundtrack of the show dark,77,81,WoA_known
15034,looking for more like this jam from gta vice city | yo te miré,36,49,WoA_known
15034,looking for more like this jam from gta vice city | yo te miré,52,62,WoA_deduced
15039,kate bush and ivan neville suggestions specific to two songs,0,9,Artist_deduced
15039,kate bush and ivan neville suggestions specific to two songs,14,26,Artist_deduced
15045,creepy sexy songs like all time low nin,23,31,WoA_deduced
15045,creepy sexy songs like all time low nin,32,39,Artist_deduced
15049,something similar to agar agar prettiest virgin | bass synth,21,30,Artist_known
15049,something similar to agar agar prettiest virgin | bass synth,31,47,WoA_known
15053,songs like trampoline by shaed or i feel like im drowning by two feet,11,21,WoA_deduced
15053,songs like trampoline by shaed or i feel like im drowning by two feet,25,30,Artist_deduced
15053,songs like trampoline by shaed or i feel like im drowning by two feet,34,57,WoA_deduced
15053,songs like trampoline by shaed or i feel like im drowning by two feet,61,69,Artist_deduced
15054,kikagaku moyo masana temples,0,28,Artist_or_WoA_deduced
15055,i liked bowies blackstar | what should i listen to next,8,14,Artist_known
15055,i liked bowies blackstar | what should i listen to next,15,24,WoA_known
15056,looking for songs similar to the new guilty gear theme,33,48,WoA_deduced
15057,i like best part by her drifting away by khai dreams and drowning | by eden | looking for newer maybe underrated artists with a similar style but any suggestion is appreciated,20,37,WoA_deduced
15057,i like best part by her drifting away by khai dreams and drowning | by eden | looking for newer maybe underrated artists with a similar style but any suggestion is appreciated,40,52,Artist_deduced
