mention,type,query,wiki_link,wikidata_type,wiki_name,exposure
i took a pill in ibiza,WoA,songs similar to i took a pill in ibiza seeb remix in the middle dj snake lush life zara larsson be the one | dua lipa,https://en.wikipedia.org/wiki/I_Took_a_Pill_in_Ibiza,single,I_Took_a_Pill_in_Ibiza,1.386493408317106
seeb,Artist,songs similar to i took a pill in ibiza seeb remix in the middle dj snake lush life zara larsson be the one | dua lipa,https://en.wikipedia.org/wiki/Seeb_(music_producers),musical duo,Seeb_(music_producers),1.6393484301447376
in the middle,WoA,songs similar to i took a pill in ibiza seeb remix in the middle dj snake lush life zara larsson be the one | dua lipa,https://en.wikipedia.org/wiki/In_the_Middle_(Sugababes_song),single,In_the_Middle_(Sugababes_song),1.045328003747933
dj snake,Artist,songs similar to i took a pill in ibiza seeb remix in the middle dj snake lush life zara larsson be the one | dua lipa,https://en.wikipedia.org/wiki/DJ_Snake,human,DJ_Snake,3.5902607161812643
lush life,WoA,songs similar to i took a pill in ibiza seeb remix in the middle dj snake lush life zara larsson be the one | dua lipa,https://en.wikipedia.org/wiki/Lush_Life_(Zara_Larsson_song),musical work/composition,Lush_Life_(Zara_Larsson_song),0.9648927827131876
zara larsson,Artist,songs similar to i took a pill in ibiza seeb remix in the middle dj snake lush life zara larsson be the one | dua lipa,https://en.wikipedia.org/wiki/Zara_Larsson,human,Zara_Larsson,3.2151156541389128
be the one,WoA,songs similar to i took a pill in ibiza seeb remix in the middle dj snake lush life zara larsson be the one | dua lipa,https://en.wikipedia.org/wiki/Be_the_One_(Dua_Lipa_song),single,Be_the_One_(Dua_Lipa_song),0.9633845760548958
dua lipa,Artist,songs similar to i took a pill in ibiza seeb remix in the middle dj snake lush life zara larsson be the one | dua lipa,https://en.wikipedia.org/wiki/Dua_Lipa,human,Dua_Lipa,3.388220961244567
curve,Artist,any modern bands from 2010s inspired by curve with a female vocalist faster pop rock hooks soaring choruses and atmospheric wall of guitars,https://en.wikipedia.org/wiki/Curve_(band),musical group,Curve_(band),3.076141346154106
drunk walk home,WoA,looking for songs like drunk walk home by mitski,,,,0.0
mitski,Artist,looking for songs like drunk walk home by mitski,https://en.wikipedia.org/wiki/Mitski,human,Mitski,1.2585062886525051
guardians of the galaxy,WoA,songs perfect for guardians of the galaxy,https://en.wikipedia.org/wiki/Guardians_of_the_Galaxy_(soundtrack),album,Guardians_of_the_Galaxy_(soundtrack),0.8933516160811497
ten feet,WoA,something like ten feet by curio,https://en.wikipedia.org/wiki/Ten_Feet_High,album,Ten_Feet_High,0.7247322508385068
curio,Artist,something like ten feet by curio,https://en.wikipedia.org/wiki/Curio_(band),musical group,Curio_(band),0.1109712790572956
spottieottiedopaliscious,WoA,songs like spottieottiedopaliscious by outcast,,,,0.0
outcast,Artist,songs like spottieottiedopaliscious by outcast,https://en.wikipedia.org/wiki/Outcast_(person),human,Outcast_(person),2.596750613526943
gnaw,WoA,songs like gnaw by alex g,https://en.wikipedia.org/wiki/Food_of_the_Gods_II,film,Food_of_the_Gods_II,0.3744432588520947
alex g,Artist,songs like gnaw by alex g,https://en.wikipedia.org/wiki/Alex_G,human,Alex_G,1.5122618569864643
lindécis,Artist,lindécis soulful chill remix,,,,0.0
soulful,WoA,lindécis soulful chill remix,https://en.wikipedia.org/wiki/Soulful_(Dionne_Warwick_album),album,Soulful_(Dionne_Warwick_album),0.4378857184359166
post malone,Artist,similar relaxing tunes to post malone psycho,https://en.wikipedia.org/wiki/Post_Malone,human,Post_Malone,3.190445301013062
psycho,WoA,similar relaxing tunes to post malone psycho,https://en.wikipedia.org/wiki/Psycho_(Post_Malone_song),single,Psycho_(Post_Malone_song),0.2945310325618475
milky chance,Artist,any songs like milky chance running,https://en.wikipedia.org/wiki/Milky_Chance,musical group,Milky_Chance,1.9969702569813013
running,WoA,any songs like milky chance running,https://en.wikipedia.org/wiki/Running_(Andr%C3%A1s_K%C3%A1llay-Saunders_song),single,Running_(Andr%C3%A1s_K%C3%A1llay-Saunders_song),0.7069103211842567
little lion man,WoA,music like little lion man by mumford & sons,https://en.wikipedia.org/wiki/Little_Lion_Man,single,Little_Lion_Man,1.0703819816777482
mumford & sons,Artist,music like little lion man by mumford & sons,https://en.wikipedia.org/wiki/Mumford_%26_Sons,musical group,Mumford_%26_Sons,4.432288214964414
6 underground,WoA,similar to 6 underground by sneaker pimps,https://en.wikipedia.org/wiki/6_Underground_(song),single,6_Underground_(song),0.0
sneaker pimps,Artist,similar to 6 underground by sneaker pimps,https://en.wikipedia.org/wiki/Sneaker_Pimps,musical group,Sneaker_Pimps,3.159103217995046
bishop gunn,Artist,what are some other artists like bishop gunn,https://en.wikipedia.org/wiki/Bishop_Gunn,musical group,Bishop_Gunn,0.0
this must be the place | naive melody,WoA,songs that have the same feeling as this must be the place | naive melody,,,,0.0
westworld,WoA,looking for something to listen to like westworld soundtrack,https://en.wikipedia.org/wiki/Westworld:_Season_1_(soundtrack),album,Westworld:_Season_1_(soundtrack),0.0
just my imagination,WoA,songs similar to just my imagination by the temptations,https://en.wikipedia.org/wiki/Just_My_Imagination_(The_Cranberries_song),single,Just_My_Imagination_(The_Cranberries_song),0.2900655250433583
the temptations,Artist,songs similar to just my imagination by the temptations,https://en.wikipedia.org/wiki/The_Temptations,musical group,The_Temptations,5.807450376517929
m2us,Artist,something like m2us magnolia without the dubstep,,,,0.0
magnolia,WoA,something like m2us magnolia without the dubstep,https://en.wikipedia.org/wiki/Magnolia_(film),film,Magnolia_(film),3.562889323671285
perry comos,Artist,request songs like perry comos anema e core | mediterranean love sentimental music,https://en.wikipedia.org/wiki/Perry_Como,human,Perry_Como,5.407950055335313
anema e core,WoA,request songs like perry comos anema e core | mediterranean love sentimental music,https://en.wikipedia.org/wiki/Anema_e_core_(song),musical work/composition,Anema_e_core_(song),0.9736898135783428
hotel california,WoA,noob here who loves 39 drift away hotel california suggest me some songs and especially bands,https://en.wikipedia.org/wiki/Hotel_California,song,Hotel_California,2.8875000166715807
drift away,WoA,noob here who loves 39 drift away hotel california suggest me some songs and especially bands,https://en.wikipedia.org/wiki/Drift_Away,single,Drift_Away,2.008067703967667
39,WoA,noob here who loves 39 drift away hotel california suggest me some songs and especially bands,https://en.wikipedia.org/wiki/39_(album),album,39_(album),0.0
waves,WoA,looking for music similar to waves by the bahamas,https://en.wikipedia.org/wiki/Waves_(Mr._Probz_song),single,Waves_(Mr._Probz_song),0.0
the bahamas,Artist,looking for music similar to waves by the bahamas,,,,0.0
a moon shaped pool,WoA,like daydreaming from a moon shaped pool by radiohead,https://en.wikipedia.org/wiki/A_Moon_Shaped_Pool,album,A_Moon_Shaped_Pool,2.0551129569396576
radiohead,Artist,like daydreaming from a moon shaped pool by radiohead,https://en.wikipedia.org/wiki/Radiohead,musical group,Radiohead,6.562410151614332
daydreaming,WoA,like daydreaming from a moon shaped pool by radiohead,https://en.wikipedia.org/wiki/Daydreaming_(Radiohead_song),single,Daydreaming_(Radiohead_song),0.4734742643485674
lady leshurr,Artist,female rap grime drill artists over the age of 30 | like lady leshurr or sa roc,https://en.wikipedia.org/wiki/Lady_Leshurr,human,Lady_Leshurr,1.9294882705024
sa roc,Artist,female rap grime drill artists over the age of 30 | like lady leshurr or sa roc,https://en.wikipedia.org/wiki/Sa-Roc,human,Sa-Roc,0.0
yesterday,WoA,looking for more songs similar in concept to yesterday by the beatles,https://en.wikipedia.org/wiki/Yesterday_(Beatles_song),musical work/composition,Yesterday_(Beatles_song),4.169866545000705
the beatles,Artist,looking for more songs similar in concept to yesterday by the beatles,https://en.wikipedia.org/wiki/The_Beatles,rock group,The_Beatles,8.838585733458892
stranger,WoA,looking for songs like the alternative stranger from skrillex,https://en.wikipedia.org/wiki/Stranger_(Hilary_Duff_song),single,Stranger_(Hilary_Duff_song),0.8732571977687122
skrillex,Artist,looking for songs like the alternative stranger from skrillex,https://en.wikipedia.org/wiki/Jack_%C3%9C,musical duo,Jack_%C3%9C,2.338610740542359
slip away,WoA,solos like slip away by mad season,https://en.wikipedia.org/wiki/Slip_Away_(Sanjoy_song),single,Slip_Away_(Sanjoy_song),0.0
mad season,Artist,solos like slip away by mad season,https://en.wikipedia.org/wiki/Mad_Season_(band),supergroup,Mad_Season_(band),2.3727760972884475
in this moment,Artist,similar to in this moment or pretty reckless,https://en.wikipedia.org/wiki/In_This_Moment,rock group,In_This_Moment,3.3327461964996026
pretty reckless,Artist,similar to in this moment or pretty reckless,https://en.wikipedia.org/wiki/The_Pretty_Reckless,musical group,The_Pretty_Reckless,3.036611997968942
shes gone away,WoA,looking for songs similar to shes gone away by nin,,,,0.0
nin,Artist,looking for songs similar to shes gone away by nin,https://en.wikipedia.org/wiki/Nine_Inch_Nails,musical group,Nine_Inch_Nails,6.2073476484124885
childish gambinos,Artist,electronic featuring low hymn chant similar to background in childish gambinos bonfire,https://en.wikipedia.org/wiki/Donald_Glover,human,Donald_Glover,4.559153054829544
bonfire,WoA,electronic featuring low hymn chant similar to background in childish gambinos bonfire,https://en.wikipedia.org/wiki/Bonfire_(album),album,Bonfire_(album),1.3659942739798243
blacks,Artist,songs where youre not sure if you should trust the artists statement like blacks wonderful life lou reeds perfect day and coldplays dont panic | we live in a beautiful world,https://en.wikipedia.org/wiki/Black_(singer),human,Black_(singer),2.438792275043033
lou reeds,Artist,songs where youre not sure if you should trust the artists statement like blacks wonderful life lou reeds perfect day and coldplays dont panic | we live in a beautiful world,https://en.wikipedia.org/wiki/Lou_Reed,human,Lou_Reed,6.187255994552006
wonderful life,WoA,songs where youre not sure if you should trust the artists statement like blacks wonderful life lou reeds perfect day and coldplays dont panic | we live in a beautiful world,https://en.wikipedia.org/wiki/Wonderful_Life_(Black_song),single,Wonderful_Life_(Black_song),1.274079681306702
perfect day,WoA,songs where youre not sure if you should trust the artists statement like blacks wonderful life lou reeds perfect day and coldplays dont panic | we live in a beautiful world,https://en.wikipedia.org/wiki/Perfect_Day_(Lou_Reed_song),musical work/composition,Perfect_Day_(Lou_Reed_song),2.659257612460328
coldplays,Artist,songs where youre not sure if you should trust the artists statement like blacks wonderful life lou reeds perfect day and coldplays dont panic | we live in a beautiful world,https://en.wikipedia.org/wiki/Coldplay,musical group,Coldplay,6.622045366823382
dont panic | we live in a beautiful world,WoA,songs where youre not sure if you should trust the artists statement like blacks wonderful life lou reeds perfect day and coldplays dont panic | we live in a beautiful world,,,,0.0
nursery,WoA,looking for songs genre with a similar beat to the end of nursery bbno$,https://en.wikipedia.org/wiki/Nursery_Cryme,album,Nursery_Cryme,2.138394535673168
bbno$,Artist,looking for songs genre with a similar beat to the end of nursery bbno$,https://en.wikipedia.org/wiki/Bbno$,human,Bbno$,0.0
say it aint so,WoA,songs like say it aint so by weezer,,,,0.0
weezer,Artist,songs like say it aint so by weezer,https://en.wikipedia.org/wiki/Weezer,rock group,Weezer,5.548280292067792
yoe mase,Artist,looking for songs like yoe mase ptsd,,,,0.0
ptsd,WoA,looking for songs like yoe mase ptsd,https://en.wikipedia.org/wiki/PTSD_(G_Herbo_album),album,PTSD_(G_Herbo_album),0.0
morrissey,Artist,music like morrissey and the smiths,https://en.wikipedia.org/wiki/Morrissey%E2%80%93Mullen,musical group,Morrissey%E2%80%93Mullen,2.075951545299196
the smiths,Artist,music like morrissey and the smiths,https://en.wikipedia.org/wiki/The_Smiths,rock group,The_Smiths,5.71741657469707
bad guy,WoA,song similar to the first minute of bad guy by billie eilish,https://en.wikipedia.org/wiki/Bad_Guy_(Billie_Eilish_song),single,Bad_Guy_(Billie_Eilish_song),0.0
billie eilish,Artist,song similar to the first minute of bad guy by billie eilish,https://en.wikipedia.org/wiki/Billie_Eilish,human,Billie_Eilish,1.2056049258203494
the main squeeze,Artist,bands like the main squeeze tauk,https://en.wikipedia.org/wiki/The_Main_Squeeze,musical group,The_Main_Squeeze,0.0
tauk,Artist,bands like the main squeeze tauk,https://en.wikipedia.org/wiki/Tauk_(band),musical group,Tauk_(band),0.2057948712810038
roderick porter,Artist,something like roderick porter baby,,,,0.0
baby,WoA,something like roderick porter baby,https://en.wikipedia.org/wiki/Baby_(Justin_Bieber_song),song,Baby_(Justin_Bieber_song),2.714717423943286
morphine,Artist,music similar to morphine robocobra quartett | featuring elements like saxophone prominent bass,https://en.wikipedia.org/wiki/Morphine_(band),musical group,Morphine_(band),2.9100793965541527
robocobra quartett,Artist,music similar to morphine robocobra quartett | featuring elements like saxophone prominent bass,,,,0.0
who loves the sun,WoA,songs similar to these couple house songs | who loves the sun electricity stay,https://en.wikipedia.org/wiki/Who_Loves_the_Sun,film,Who_Loves_the_Sun,0.2633544915558232
electricity stay,WoA,songs similar to these couple house songs | who loves the sun electricity stay,,,,0.0
white pony,WoA,albums that are similar to white pony by deftones or devil and god are raging inside me by brand new,https://en.wikipedia.org/wiki/White_Pony,album,White_Pony,1.8047181376002115
deftones,Artist,albums that are similar to white pony by deftones or devil and god are raging inside me by brand new,https://en.wikipedia.org/wiki/Deftones,rock group,Deftones,5.133547642523853
devil and god are raging inside me,WoA,albums that are similar to white pony by deftones or devil and god are raging inside me by brand new,,,,0.0
brand new,Artist,albums that are similar to white pony by deftones or devil and god are raging inside me by brand new,https://en.wikipedia.org/wiki/Brand_New_(band),musical group,Brand_New_(band),3.903079117748044
particle ants,WoA,know any glitchy songs like virtual self particle ants,,,,0.0
virtual self,Artist,know any glitchy songs like virtual self particle ants,https://en.wikipedia.org/wiki/Porter_Robinson,human,Porter_Robinson,3.2845958366737893
photek,Artist,any chill psychedelic dnb like photek,https://en.wikipedia.org/wiki/Photek,human,Photek,2.71380341361596
the brothers brights,Artist,songs similar to the brothers brights awake o sleeper,,,,0.0
awake o sleeper,WoA,songs similar to the brothers brights awake o sleeper,,,,0.0
of monsters and men,Artist,something similar to of monsters and men,https://en.wikipedia.org/wiki/Of_Monsters_and_Men,musical group,Of_Monsters_and_Men,3.364138367387506
who did you think i was,WoA,give some songs with a similar style to this blues rock funk rock song who did you think i was,https://en.wikipedia.org/wiki/Who_Did_You_Think_I_Was,single,Who_Did_You_Think_I_Was,0.0
lost boys,Artist,looking for music similar to this lost boys banger,https://en.wikipedia.org/wiki/Lost_Boyz,musical group,Lost_Boyz,2.6487773012294458
no church in the wild,WoA,anything similar to no church in the wild,https://en.wikipedia.org/wiki/No_Church_in_the_Wild,song,No_Church_in_the_Wild,1.7278440188142137
i love you baby,WoA,im looking for nice relaxing pop music like i love you baby,https://en.wikipedia.org/wiki/I_Love_You_Baby_(film),film,I_Love_You_Baby_(film),0.0
core,WoA,songs like core by rl grime,https://en.wikipedia.org/wiki/Core_(Stone_Temple_Pilots_album),album,Core_(Stone_Temple_Pilots_album),1.7971717428299847
rl grime,Artist,songs like core by rl grime,https://en.wikipedia.org/wiki/RL_Grime,human,RL_Grime,1.946327576542993
highly suspect,Artist,songs similar to 16 by highly suspect,https://en.wikipedia.org/wiki/Highly_Suspect,rock group,Highly_Suspect,1.8062173689092464
16,WoA,songs similar to 16 by highly suspect,https://en.wikipedia.org/wiki/16_(Robin_album),album,16_(Robin_album),0.0
milck,Artist,songs like devil devil by milck or prom queen by molly kate kestner,https://en.wikipedia.org/wiki/Milck,human,Milck,0.0
devil devil,WoA,songs like devil devil by milck or prom queen by molly kate kestner,,,,0.0
prom queen,WoA,songs like devil devil by milck or prom queen by molly kate kestner,https://en.wikipedia.org/wiki/Prom_Queen_(Lil_Wayne_song),single,Prom_Queen_(Lil_Wayne_song),0.0
molly kate kestner,Artist,songs like devil devil by milck or prom queen by molly kate kestner,https://en.wikipedia.org/wiki/Molly_Kate_Kestner,human,Molly_Kate_Kestner,0.5093627886452605
capital cities,Artist,music similar to capital cities,https://en.wikipedia.org/wiki/Capital_Cities_(band),musical duo,Capital_Cities_(band),2.8366904042592367
help im alive,WoA,looking for something similar to the first 35 seconds of help im alive by metric,,,,0.0
metric,Artist,looking for something similar to the first 35 seconds of help im alive by metric,https://en.wikipedia.org/wiki/Metric_(band),musical group,Metric_(band),3.903786581520036
you and me and jack,WoA,music similar to this you and me and jack willing to give gold if i there are some good suggestions mark engel in general,,,,0.0
mark engel,Artist,music similar to this you and me and jack willing to give gold if i there are some good suggestions mark engel in general,https://en.wikipedia.org/wiki/Mark_Engel,human,Mark_Engel,0.0
khaen,Artist,music similar to khaen whims,https://en.wikipedia.org/wiki/Khaemweset,human,Khaemweset,2.043558469158656
whims,WoA,music similar to khaen whims,https://en.wikipedia.org/wiki/Whims_of_Chambers,album,Whims_of_Chambers,0.4562938695601186
mindless self indulgence,Artist,bands like mindless self indulgence,https://en.wikipedia.org/wiki/Mindless_Self_Indulgence,musical group,Mindless_Self_Indulgence,3.4425674302233364
rhcp,Artist,gimme that rhcp give it away vibe i love so dearly,https://en.wikipedia.org/wiki/Red_Hot_Chili_Peppers,rock group,Red_Hot_Chili_Peppers,6.46590908197542
give it away,WoA,gimme that rhcp give it away vibe i love so dearly,https://en.wikipedia.org/wiki/Give_It_Away_(Red_Hot_Chili_Peppers_song),single,Give_It_Away_(Red_Hot_Chili_Peppers_song),2.56396897259644
january,WoA,songs similar to january by verzache,https://en.wikipedia.org/wiki/January_(album),album,January_(album),0.0
verzache,Artist,songs similar to january by verzache,https://en.wikipedia.org/wiki/Verzache,human,Verzache,0.0
taylor swift,Artist,looking for female pop music similar to taylor swift reputation and maybe something like dua lipa,https://en.wikipedia.org/wiki/Taylor_Swift,human,Taylor_Swift,6.401572044065052
dua lipa,Artist,looking for female pop music similar to taylor swift reputation and maybe something like dua lipa,https://en.wikipedia.org/wiki/Dua_Lipa,human,Dua_Lipa,3.388220961244567
reputation,WoA,looking for female pop music similar to taylor swift reputation and maybe something like dua lipa,https://en.wikipedia.org/wiki/Reputation_(album),album,Reputation_(album),0.0
woodstock,WoA,songs similar to woodstock by jon bellion or the less i know the better by tame impala,,,,0.0
jon bellion,Artist,songs similar to woodstock by jon bellion or the less i know the better by tame impala,https://en.wikipedia.org/wiki/Jon_Bellion,human,Jon_Bellion,2.245796259530268
the less i know the better,WoA,songs similar to woodstock by jon bellion or the less i know the better by tame impala,https://en.wikipedia.org/wiki/The_Less_I_Know_the_Better,single,The_Less_I_Know_the_Better,0.657607258633508
tame impala,Artist,songs similar to woodstock by jon bellion or the less i know the better by tame impala,https://en.wikipedia.org/wiki/Tame_Impala,musical group,Tame_Impala,3.877230085010712
fka twigs,Artist,can you recommend musicians like fka twigs,https://en.wikipedia.org/wiki/FKA_Twigs,human,FKA_Twigs,3.168530577675398
metallica,Artist,metallica songs suggest,https://en.wikipedia.org/wiki/Metallica,heavy metal band,Metallica,7.114205696370013
drive by,WoA,songs sounds like drive by by lil peep,https://en.wikipedia.org/wiki/Drive_By_(song),single,Drive_By_(song),1.431351945122696
lil peep,Artist,songs sounds like drive by by lil peep,https://en.wikipedia.org/wiki/Lil_Peep,human,Lil_Peep,2.231795390320613
willie colon,Artist,if i like willie colon la murga what else will i like,https://en.wikipedia.org/wiki/Willie_Col%C3%B3n,human,Willie_Col%C3%B3n,3.42785432848922
la murga,WoA,if i like willie colon la murga what else will i like,https://en.wikipedia.org/wiki/La_Murga,film,La_Murga,0.3079797061595393
kiwi,WoA,looking for songs that sound like kiwi by harry styles,https://en.wikipedia.org/wiki/Kiwi_(song),single,Kiwi_(song),0.1450872738236963
harry styles,Artist,looking for songs that sound like kiwi by harry styles,https://en.wikipedia.org/wiki/Harry_Styles,human,Harry_Styles,3.4338020798648934
together,WoA,similar song to together martin garrix and let me feel nicky romero&vicetone,https://en.wikipedia.org/wiki/Together_(Ryan_O%27Shaughnessy_song),musical work/composition,Together_(Ryan_O%27Shaughnessy_song),0.0
martin garrix,Artist,similar song to together martin garrix and let me feel nicky romero&vicetone,https://en.wikipedia.org/wiki/Martin_Garrix,human,Martin_Garrix,4.01957041189303
nicky romero,Artist,similar song to together martin garrix and let me feel nicky romero&vicetone,https://en.wikipedia.org/wiki/Nicky_Romero,human,Nicky_Romero,3.268993429670818
vicetone,Artist,similar song to together martin garrix and let me feel nicky romero&vicetone,https://en.wikipedia.org/wiki/Vicetone,musical duo,Vicetone,1.8487431934830096
let me feel,WoA,similar song to together martin garrix and let me feel nicky romero&vicetone,https://en.wikipedia.org/wiki/Let_Me_Feel_Your_Power,album,Let_Me_Feel_Your_Power,0.0
x ambassadors,Artist,songs similar to dont stay by x ambassadors,https://en.wikipedia.org/wiki/X_Ambassadors,musical group,X_Ambassadors,2.8286949229973253
dont stay,WoA,songs similar to dont stay by x ambassadors,,,,0.0
elephant,WoA,looking for some songs similar to elephant sebastian wibe,https://en.wikipedia.org/wiki/Elephant_(album),album,Elephant_(album),2.2421550704670654
sebastian,Artist,looking for some songs similar to elephant sebastian wibe,https://en.wikipedia.org/wiki/Sebastian_(singer),human,Sebastian_(singer),1.3807339960639968
troy baker,Artist,music similar to troy baker,https://en.wikipedia.org/wiki/Troy_Baker,human,Troy_Baker,3.706611872373761
the smiths,Artist,playlist dedicated to songs similar in feel and vibe than the smiths any suggestions | and what do you think,https://en.wikipedia.org/wiki/The_Smiths,rock group,The_Smiths,5.71741657469707
j cole,Artist,suggestions for j cole,https://en.wikipedia.org/wiki/J._Cole,human,J._Cole,4.7019309230135455
the hives,Artist,something like the hives,https://en.wikipedia.org/wiki/The_Hives,musical group,The_Hives,4.199991059926729
felix cartal,Artist,songs like felix cartal and lights love me,https://en.wikipedia.org/wiki/Felix_Cartal,human,Felix_Cartal,1.7046956367831232
lights,Artist,songs like felix cartal and lights love me,https://en.wikipedia.org/wiki/Lights_(musician),human,Lights_(musician),3.531398248516666
