preprocessed,original
looking for ambient hazy dark dreamy psychedelic music,Looking for ambient/hazy/dark/dreamy/psychedelic music
albums that are similar to white pony by deftones or devil and god are raging inside me by brand new,Albums that are similar to White Pony by Deftones or Devil and God Are Raging Inside Me by Brand New?
know any glitchy songs like virtual self particle ants,Know any glitchy songs like virtual self - particle ants
any chill psychedelic dnb like photek,Any chill psychedelic DnB like Photek
im looking for ambient electronic classical music,"I'm looking for ambient, electronic, classical music"
looking for afro esqu dance beats like this,Looking for Afro esqu dance beats like this
songs similar to the brothers brights awake o sleeper,Songs similar to The Brothers Bright's Awake O Sleeper
something similar to of monsters and men,Something similar to of monsters and men
i just want whatever you can suggest that sounds like this | i love it so much,I just want whatever you can suggest that sounds like this. I love it so much...
give some songs with a similar style to this blues rock funk rock song who did you think i was,"give some songs with a similar style to this Blues rock/Funk rock song ""Who did you think I was."""
looking for music similar to this lost boys banger,Looking for music similar to this ‘Lost Boys’ Banger
anything similar to no church in the wild,Anything similar to No Church in the Wild?
im looking for nice relaxing pop music like i love you baby,"Im looking for nice, relaxing pop music like I LOVE YOU BABY"
looking for chill songs,Looking For Chill Songs
songs like core by rl grime,Songs like Core by RL Grime
songs similar to 16 by highly suspect,Songs similar to 16 by Highly Suspect?
looking for some funky inspiration,Looking for some funky inspiration...
workout hits 2020,Workout Hits 2020
are there any progressive metal or post metal bands with a female vocalist and mature abstract lyrics,Are there any progressive metal or post-metal bands with a female vocalist and mature/abstract lyrics?
songs like devil devil by milck or prom queen by molly kate kestner,"Songs like ""Devil Devil"" by MILCK or ""Prom Queen"" by Molly Kate Kestner"
i need a 100th song,I need a 100th song
music similar to capital cities,Music Similar to Capital Cities
looking for something similar to the first 35 seconds of help im alive by metric,"Looking for something similar to the first 35 seconds of Help, I'm Alive by Metric"
music similar to this you and me and jack willing to give gold if i there are some good suggestions mark engel in general,"Music similar to this ""You and me and Jack"" willing to give gold if I there are some good suggestions/ Mark Engel in general"
music similar to khaen whims,Music similar to Khaen - Whims?
bands like mindless self indulgence,Bands like Mindless Self Indulgence
gimme that rhcp give it away vibe i love so dearly,Gimme that RHCP “Give it Away” vibe I love so dearly
suitable music for wedding slideshow,Suitable music for wedding slideshow?
music for damned souls with work to do and miles to go,Music for damned souls with Work to Do and Miles to Go?
forgot name of band,Forgot name of band
favorite jazz trio with trumpet,Favorite jazz trio with trumpet?
looking for angry hostile passionate 90s rap,Looking for angry hostile passionate 90s rap
songs similar to january by verzache,Songs similar to January by Verzache
indie anthems,Indie anthems.
looking for female pop music similar to taylor swift reputation and maybe something like dua lipa,"Looking for female pop music, similar to Taylor Swift Reputation and maybe something like Dua Lipa"
looking for songs similar to this sound vibe | chill and carefree | indie,Looking for songs similar to this sound/vibe. Chill and carefree (indie?)
pop punkish love songs that are soft,Pop-punkish love songs that are soft.
dark covers of songs,Dark covers of songs
want to expand my boundaries with new music,Want to expand my boundaries with new music
songs similar to woodstock by jon bellion or the less i know the better by tame impala,songs similar to Woodstock by Jon Bellion or The Less I Know The Better by Tame Impala?
music similar to this | especially around 1 13,music similar to this (especially around 1:13)
excessively vulgar songs pre 1960,"Excessively vulgar songs, pre-1960"
depression suicide death songs,Depression/suicide/death songs?
tell me what genre this is,tell me what genre this is?
can you recommend musicians like fka twigs,can you recommend musicians like FKA Twigs?
any heavy metal recommendations,Any heavy metal recommendations?
metallica songs suggest,MetallicA songs suggest ?
songs sounds like drive by by lil peep,Songs/sounds like Drive By by Lil Peep
looking for synth that has a sci fi feel,Looking for Synth that has a sci-fi feel
if i like willie colon la murga what else will i like,If I like Willie Colon - La Murga - What Else Will I like?
looking for songs that sound like kiwi by harry styles,"Looking for songs that sound like ""Kiwi"" by Harry Styles"
similar song to together martin garrix and let me feel nicky romero&vicetone,Similar song to Together-Martin Garrix and Let me feel-Nicky Romero&Vicetone
is there a very specific genre for these songs other than hip hop rap | do you have any similar recommendations,Is there a very specific genre for these songs other than Hip-Hop/Rap? Do you have any similar recommendations?
looking for non hip hop artists albums songs that give off a space like vibe,Looking for non-hip hop artists/albums/songs that give off a space-like vibe
where can i find music that has deep swells like this,Where can I find music that has deep swells like this?
songs similar to dont stay by x ambassadors,"Songs similar to ""Don't Stay"" By X Ambassadors"
optimistic female vocals,Optimistic female vocals?
songs similar to these | country,Songs similar to these? (Country)
songs thatll give you a creativity boost,Songs that’ll give you a creativity boost
looking for some songs similar to elephant sebastian wibe,Looking for some songs similar to Elephant - Sebastian Wibe
music similar to troy baker,Music Similar To Troy Baker?
playlist dedicated to songs similar in feel and vibe than the smiths any suggestions | and what do you think,"Playlist dedicated to songs similar in feel and vibe than The Smiths, any suggestions? And what do you think?"
suggestions for j cole,Suggestions for J. Cole
pieces like this,Pieces like this
looking songs that feel like this one,Looking Songs That Feel Like This One
im looking more hardstyle drum & bass gabber acid house etc | like this,"im looking more hardstyle, drum & bass, gabber, acid house etc. like this"
any songs like this,Any songs like this?
heavy funky and danceable electronic music,"heavy, funky and danceable electronic music"
something like the hives,Something like the hives?
creepy manic love songs stalker songs etc,"Creepy manic (love) songs/stalker songs, etc."
looking for some latin music,Looking for some latin music
good hip hop and r&b from the 90s and 00s,Good hip hop and R&B from the 90s and 00s?
songs like felix cartal and lights love me,Songs like Felix Cartal and Lights - Love Me
songs about being in love with a girl you know is bad for you,Songs about being in love with a girl you know is bad for you.
songs like danse macabre by the oh hellos,"Songs like ""Danse Macabre"" by the Oh Hellos?"
bands similar to trudy and the romance,Bands similar to Trudy and the Romance
im looking for music worthy of a mystery | any good detective themes similar to this | music only no lyrics,"I'm looking for music worthy of a mystery. any good detective themes, similar to this? (Music only-no lyrics)"
what are like sexy songs,What are like sexy songs? ._.
searching for songs like futures mask off,Searching for Songs like Future’s “Mask Off”
looking for these kinds of songs,Looking for these kinds of songs.
looking for pop rock power songs like this let em talk,Looking for pop/rock/power songs like this - Let 'Em Talk
help me find similar songs,Help me find similar songs
songs like the mini ladds remix,Songs like the Mini Ladd's remix?
gothic metal,Gothic Metal?
recommend me mixes of classical r&b soul with electronic | trance," recommend me ""mixes"" of classical/r&b/soul with electronic (trance)"
chill psych pop,Chill psych pop
looking for songs like these,Looking for songs like these
something similar to the chill ethereal and dark vibe of this song,"Something similar to the chill, ethereal and dark vibe of this song"
i just need some stuff out of my comfort zone,I just need some stuff out of my comfort zone
a song to play on the piano and sing along to that also works without singing,"A song to play on the piano and sing along to, that also works without singing"
a song similar to a place only we know female singer in blue dress playing a grand piano,A song similar to “a place only we know” female singer in blue dress playing a grand piano.
share music or artists similar to kashiwa daisuke,share music or artists similar to Kashiwa Daisuke?
please anything like this,Please Anything Like This
similar to chris stapleton or first aid kit,Similar to Chris Stapleton or First Aid Kit
lunar vacation,Lunar Vacation!
songs like muse plug in baby,Songs like Muse - Plug In Baby
hello | i am looking for any song as a suggestion,Hello . I am looking for any song as a suggestion
nepali songs,Nepali songs
looking for something similar to snowy white midnight blues,Looking for something similar to Snowy White - Midnight Blues
looking for english light rock bands similar to keytalk and gogovanillas,Looking for English 'light rock' bands similar to KEYTALK and go!go!vanillas.
looking for bands or artists like lana del rey the weeknd joji and hozier,"Looking for bands or artists like Lana del rey, the weeknd, joji and Hozier"
songs with a vibe like nevermind by leonard cohen,Songs with a vibe like Nevermind by Leonard Cohen?
rks lewis del mar,"RKS, Lewis Del Mar"
any bands with songs similar in style to paris by the chainsmokers,any bands with songs similar in style to Paris by the Chainsmokers?
kinda looking for blues music similar to this album,Kinda looking for blues music similar to this album
looking for synthwave music,Looking for synthwave music.
looking for action spy detective type music,Looking for action spy/detective type music
looking for newer rock metal,Looking for newer rock/metal
prog metal like seventh son and operation mind crime,Prog Metal like Seventh Son and Operation Mind Crime?
similar soundz | maybe a little heavier long shot but really vibin prayers,similar soundz? maybe a little heavier.. long shot but really vibin Prayers
help me to find this music genre,Help me to find this music genre
love the drop in this song raven link change feat | caver,Love the drop in this song - Raven Link - Change (feat. Caver)
music recommendations for a road trip,Music recommendations for a road trip
similar songs,Similar songs???
what style of music is this and where can i find more like it,"What style of music is this, and where can I find more like it?"
any songs similar,Any Songs Similar??
garage y rock punk artists or songs,Garage-y rock/punk artists or songs?
songs similar to i see you by kygo ft billy raffoul,Songs similar to I see You by Kygo ft. Billy Raffoul?
new music if i like sufjan beach house radiohead talking heads car seat headrest and the strokes,"new music if i like sufjan, beach house, radiohead, talking heads, car seat headrest, and the strokes?"
looking for something like dragons dogma into free dangan,Looking for something like Dragon's Dogma - Into Free ~Dangan~
more music like this depressing lyrics but a happy tone to it,"More music like this, Depressing lyrics but a happy tone to it."
12 seconds of gungor i am mountain,12 seconds of Gungor - I am Mountain
searching for epic songs with vocals | like starlight brigade or rise or live to win,Searching for Epic songs with vocals ! Like STARLIGHT BRIGADE or RISE or LIVE TO WIN
all dead all dead queen,"All dead, all dead - Queen"
came across dulce by flofilz looking for similar vibes,Came across Dulce by Flofilz .. looking for similar vibes!
looking for complex lyrically or musically high energy music,Looking for complex (lyrically or musically) high energy music.
songs like amour plastique,Songs like Amour Plastique?
looking for music that has a pause before the drop similar to zhu&nero dreams,"Looking For music that has a pause before the drop, similar to ZHU&Nero-dreams"
songs in same style as goodbye love by car seat headrest,Songs in same style as “Goodbye love” by car seat headrest
suggest any emo punk bands like snowing or just friends,suggest any emo/punk bands like snowing or just friends?
operatic glitch metal | anything like it,'Operatic glitch metal'. Anything like it?
more songs like act your age by bliss n eso | specifically like the upbeat lighthearted nature of the song its oddly motivating for me,"More songs like ""Act Your Age"" by Bliss n Eso? Specifically like the upbeat/lighthearted nature of the song - it's oddly motivating for me"
music for going through a breakup,Music for going through a breakup
song like glisten interlude jeremy zucker,Song like glisten (interlude) Jeremy zucker
looking for some clean music suggestions for a playlist at the salon i work at,Looking for some clean music suggestions for a playlist at the salon I work at
rock indie psychedelic songs with good but whiny vocals,Rock / Indie / Psychedelic Songs with good but whiny vocals?
help me find music like this,Help me find music like this
dreamy music | less reverb on vocals,Dreamy music (Less Reverb on Vocals)
just realized i liked edm + girl vocals | any suggestions,Just realized I liked EDM + Girl vocals. Any suggestions?
army choir with hip hop sample | i beg you to find more of this,Army choir with hip hop sample? I beg you to find more of this.
unrelenting energy like rev theorys hell yeah,"Unrelenting energy like Rev Theory's ""Hell Yeah'"
songs like this one great for mdma,Songs like this one great for MDMA?
im looking for new music,I’m looking for new music
albums like j dillas donuts,Albums like J Dilla's Donuts
music similar to glass animals,Music similar to Glass Animals
what is a song that you just cant get enough of,What is a song that you just can't get enough of?
a couple of requests anything that sounds like rise against and some good modern punk that actually sounds different and not ironically really unoriginal,"A couple of requests, Anything that sounds like rise against and some good modern punk that actually sounds different and not, ironically, really unoriginal"
music suggestions of songs that capture a liminal space type of vibe,"Music suggestions of songs that capture a ""liminal space"" type of vibe?"
help with choir or church trap dubstep,Help with choir or church trap/dubstep?
looking for vocal music with interesting text,Looking for vocal music with interesting text
looking for things like dream koala that dont degenerate into a single sound for the length of the song,Looking for things like dream koala that don't degenerate into a single sound for the length of the song
songs similar to deer creek canyon by sera cahoone,Songs similar to Deer Creek Canyon by Sera Cahoone
anything that resembles gunship and the midnight,Anything that resembles Gunship and The Midnight?
looking for thick dark jazz music like the 17 10 time in this video,"Looking for thick, dark jazz music like the 17:10 time in this video."
folky country songs like fleetwood mac the chain & crosby stills and nash helplessly hoping,Folky/country songs like Fleetwood Mac - The Chain & Crosby Stills and Nash - Helplessly Hoping
request | music with poetic deeply meaningful lyrics,[request] music with poetic/deeply meaningful lyrics
country americana that touches on social issues or other topics you wouldnt expect,Country/Americana that touches on social issues or other topics you wouldn't expect?
deep house covers 2020 deep house 2020,Deep House Covers 2020 - Deep House 2020
looking for songs with brass trumpets,Looking for songs with brass/trumpets?
new rapper,new rapper
music that sounds like weezers pinkerton album,Music that sounds like Weezer's Pinkerton album.
songs to listen to when youre madly in love or euphoric about someone,Songs to listen to when you're madly in love or euphoric about someone?
garage rock like this | having trouble,Garage rock like this? Having trouble.
something like better days by desso,"Something like ""Better Days"" by Desso?"
uniquely sang songs,Uniquely sang songs?
looking for artists songs with a similar style vibe to grandsons stuff,Looking for artists/songs with a similar style/vibe to Grandson’s stuff
what are albums that sound psychedelic jazzy like this,What are albums that sound Psychedelic/Jazzy like this?
trying to find songs with sounds similar to these ones,Trying to find songs with sounds similar to these ones
electronic music with sax violin or other kind of instruments of this kind,"Electronic music with sax, violin, or other kind of instruments of this kind?"
stuff like crywank,Stuff like Crywank?
need music,Need music
artists similar to still woozy,Artists similar to Still Woozy
songs like kiss from a rose,Songs like Kiss from a Rose
looking for more country inspired music,looking for more country inspired music.
what 2019 song is this,What 2019 song is this?
similar to bonnie prince billys cover of rubin and cherise,"Similar to Bonnie ""Prince"" Billy's cover of 'Rubin and Cherise'"
looking or spacey psychedelic music,looking or spacey psychedelic music
im looking for songs similar to dont get any closer by eluvium,"I'm looking for songs similar to ""Don't Get Any Closer"" by Eluvium"
1940s 1950s heart songs | french,1940’s - 1950’s heart-songs (French?)
brothers keeper by anderson paak,Brothers keeper by anderson .paak
materialistic sugar baby anthems,Materialistic/sugar baby anthems
looking for something similar to buttercup jack stauber,"Looking for something similar to ""Buttercup - Jack Stauber"""
music like mighty,Music like Mighty?
what are some good fast paced energetic rock indie or electro songs,"What are some good fast paced/energetic rock, indie or electro songs?"
music similar to the soundtrack of the movie coco,Music similar to the soundtrack of the movie Coco
looking for songs similar to this psychedelic like free of vocals or minimal vocals,"Looking for songs similar to this, psychedelic-like, free of vocals or minimal vocals"
chill piano electronic music,Chill piano / electronic music?
hip hop funk psychedelic music like el michels affair,Hip-hop/Funk/Psychedelic music like El Michels Affair
twangy jazzy 50s 60s guitar like you hear in a david lynch movie,Twangy jazzy 50s/60s guitar like you hear in a David Lynch movie ?
hit the road jack,Hit the road Jack!
bubblegum kpop songs like love shake by minx,Bubblegum Kpop songs like “Love Shake” by MINX?
any songs like this | suggestions,Any songs like this? (Suggestions)
adeyeme all day,ADEYEME' - ALL DAY
any shorter songs that give you chills,Any short(er) songs that give you chills
looking for more bands like novos baianos,Looking for more bands like Novos Baianos
rainy days songs,Rainy days songs?
songs like veridis quo by daft punk | baroque synth,Songs like Veridis Quo by Daft Punk (baroque synth?)
looking for something similar to the vocals with this one | its groovy as hell,Looking for something similar to the Vocals with this one. It's groovy as hell
any similar songs to george jeff jaden smith | specifically the beat,Any similar songs to George Jeff - Jaden smith? Specifically the beat.
lady singer songwriter self care playlist,Lady Singer-Songwriter Self-Care Playlist
similar singing style vibe of use me and down in mexico,Similar singing style/vibe of Use me and Down in Mexico
so long see you tomorrow bombay bicycle club any songs similar to this one,"So Long, See You Tomorrow - Bombay Bicycle Club: Any songs similar to this one?"
desperate for more,Desperate for more!
looking for songs for a laid back acoustic playlist,Looking for songs for a laid back acoustic playlist
looking for something with a hip hop or r&b feel with some jazzy undertones,Looking for something with a hip hop or r&b feel with some jazzy undertones
contemporary avant garde electronica experimental recommendations list,contemporary avant-garde / electronica / experimental recommendations list
indie alternative hard rock love songs,Indie/alternative/hard rock love songs?
artists bands like the format,Artists/Bands like The Format?
haley smalls voodoo doll,Haley Smalls - VooDoo Doll
looking for some nice old music,Looking for some Nice Old Music
looking for d&b techno ambient with cyberpunk ish overtones,Looking for: D&B/Techno/Ambient with cyberpunk-ish overtones
similar artists music to this hip hoppy beatboxy style,Similar artists/music to this hip-hoppy beatboxy style?
something similar to college & electric youth a real hero | drive original movie soundtrack,Something similar to College & Electric Youth - A Real Hero (Drive Original Movie Soundtrack)?
anything like this in existence looking for something that matches this vibe and sound,Anything like this in EXISTENCE?!? Looking for something that matches this vibe and sound?!
songs about living in your head,Songs about living in your head
im looking for music,I’m looking for music
looking for music or the genre of music of artists like data she kid velo sebastian,"Looking for music, or the genre of music of artists like DatA, she, Kid Velo, SebastiAn."
stuff like the song the magnificent seven by the clash,Stuff like the song The Magnificent Seven by The Clash?
baseball music,Baseball music
retro funk | dont know what this genre but i want to build on my playlist,Retro/funk? Don’t know what this genre but I want to build on my playlist.
song similar in feeling and vibe than grateful dead,Song similar in feeling and vibe than Grateful Dead.
help with new music,Help with new music
electronic music similar to fischerspooner flume or hermitude,"Electronic music similar to fischerspooner, flume or hermitude."
anthony russo yew nork,Anthony Russo-Yew Nork
similar to grizzly bear will calls | diplo remix,Similar to Grizzly Bear - Will Calls (Diplo Remix)
movie voices speeches dialogues as lyrics,Movie voices / Speeches / Dialogues as Lyrics
what would you reccommend probably from timberlake if i liked the snl trilogy | dick in a box,"What would you reccommend, probably from Timberlake, if I liked the SNL trilogy (dick in a box...)"
bands that are like dance gavin dance but without the screaming | i love the melodic guitar and the singing but the screaming is a bit much sometimes,"bands that are like Dance Gavin Dance, but without the screaming? I love the melodic guitar and the singing, but the screaming is a bit much sometimes."
gorenoise suggestions,Gorenoise suggestions
looking for music similar to bishops knife trick fall out boy and blue side jhope,Looking for music similar to Bishops Knife Trick -Fall out Boy and Blue Side- JHOPE
songs artists like the intro to stranger things,Songs/artists like the intro to stranger things
need some new music,Need some new music
heavy metal with good vocals,Heavy metal with good vocals?
music agency advertising,music agency advertising
